Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),"О внешности, манере держаться и общем впечатлении: молодое, свежее, нежное и невинное обаяние.","Обычно описывает конкретного человека, внешность, стиль или выражение лица.","У неё длинные чёрные волосы, и когда она улыбается, выглядит очень чистой и юной.","Главные герои этого фильма обладают особой чистой свежестью, свойственной студентам."
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),"О внутреннем мире, мыслях, душе, мотивах, дружбе или любви: без злобы, корысти и грязных намерений.",Чаще сочетается с абстрактными существительными; может употребляться и как существительное.,Душа ребёнка самая чистая: в ней нет ни малейшей примеси дурных мыслей.,"Между нами только чистые коллегиальные отношения, пожалуйста, не пойми неправильно."
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),"Книжное слово для постепенного расширения или усиления: от малого к большому, от близкого к далёкому.","Союз внутри предложения: соединяет слова и словосочетания, но не начинает самостоятельное придаточное.","Эта политика касается отдельных людей, семей и даже будущего всей страны.","Его научные результаты получили признание в школе, в провинции и даже в академических кругах всей страны."
Chapter 3,乃至 - 甚至,甚至 (shènzhì),"Подчёркивает крайний, неожиданный пример, выходящий за обычные ожидания; часто даёт эффект удивления.","Может быть союзом и наречием, соединять самостоятельные части; часто встречается с конструкцией 连……都/也…….","Он так занят, что у него даже нет времени поесть.","Эта задача настолько сложная, что даже опытные специалисты не могут её решить."
Chapter 3,体验 - 体味,体验 (tǐyàn),"Акцент на действии и личном участии: самому прожить ситуацию, попробовать занятие или протестировать продукт.","Берёт конкретные или активные объекты: образ жизни, занятие, новый продукт, технологию.",Молодым людям стоит больше ездить по разным местам и на собственном опыте узнавать иной образ жизни.,Huawei пригласила многих любителей цифровой техники опробовать свой новейший смартфон.
Chapter 3,体验 - 体味,体味 (tǐwèi),"Акцент на внутреннем размышлении и глубине чувства: медленно прочувствовать, осмыслить, насладиться смыслом.","Сочетается с абстрактными и глубокими объектами: вкус жизни, настроение стихотворения, тишина момента.","Только человек, переживший неудачу, по-настоящему чувствует, какой ценой даётся успех.","Выключи телефон, спокойно выпей чашку чая и прочувствуй тишину этого мгновения."
Chapter 3,体验 - 体会,体会 (tǐhuì),"Подчёркивает вывод, урок или эмоциональное понимание, полученное после пережитого опыта.","Употребляется и как глагол, и как существительное: впечатления, выводы, личное понимание.","Только став родителем, по-настоящему понимаешь, сколько трудностей пережили твои родители, воспитывая тебя.","После лекции все стали делиться своими впечатлениями и тем, что вынесли для себя."
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),"Мягкая, часто милая или трогательная застенчивость: смущение в любви, скромная улыбка, неловкость.","Описывает выражение лица и движения: смущённо улыбнуться, на лице появилось застенчивое выражение.","На первом свидании с человеком, который ему нравился, он выглядел немного смущённым.",Перед камерой деревенская девочка застенчиво улыбнулась.
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),"Застенчивость с примесью робости и страха: человек не уверен в себе, сжимается и боится проявиться.","О психологическом состоянии или черте характера, особенно в общении.","Новый одноклассник был робким и всё время прятался в углу, не говоря ни слова.",Он робко стоял под сценой и никак не решался подняться выступать.
Chapter 3,风行 - 流行,风行 (fēngxíng),"Мода или явление распространяется с огромной скоростью и силой, как внезапная культурная волна.",Более книжное слово; обычно требует указания масштаба или периода и плохо сочетается с обычными наречиями степени.,В последние годы этот минималистичный образ жизни стремительно распространился по всему миру.,"Несколько лет назад эта мобильная игра на время стала настоящим повальным увлечением, почти все в неё играли."
