"Chapter","Word Pair","Word","Nuance & Use Cases","Grammar Considerations","Example 1","Example 1 English","Example 2","Example 2 English"
"Chapter 3","清纯 - 纯洁","清纯 (qīngchún)","Describes physical appearance, looks, temperament, or mannerisms. Implies a youthful, fresh, sweet, and innocent look.","Usually modifies concrete people, looks, styles, or expressions (e.g., 清纯的长相, 眼神清纯).","她留着黑色的长发，笑起来的样子非常清纯。","She has long black hair and looks very pure/innocent when she smiles.","这部电影的男女主角都有一种学生特有的清纯气质。","Both the male and female leads in this movie have a fresh, innocent student temperament."
"Chapter 3","清纯 - 纯洁","纯洁 (chúnjié)","Describes the inner mind, thoughts, motives, soul, or abstract relationships (like friendship or love). Untainted by malice or greed.","Modifies abstract nouns (e.g., 纯洁的友谊, 纯洁的心灵) and can function as a noun (e.g., 保持内心的纯洁).","孩子的心灵是最纯洁的，没有一丝杂质。","A child's mind is the most pure, without a single trace of impurity.","我们之间只是纯洁的同事关系，请不要误会。","We have a purely professional relationship as colleagues; please don't misunderstand."
"Chapter 3","乃至 - 甚至","乃至 (nǎizhì)","Formal, written word showing gradual step-by-step progression, escalation, or expansion in scope (from small to large, close to far).","A conjunction that only connects words or phrases within a sentence. Cannot start a new clause independently.","这个政策不仅关系到个人，家庭，乃至整个国家的未来。","This policy affects individuals, families, and even the future of the entire nation.","他的研究成果得到了全校、全省乃至全国学术界的认可。","His research findings were recognized by the school, the province, and even the national academic community."
"Chapter 3","乃至 - 甚至","甚至 (shènzhì)","Highlights an extreme, unexpected, or surprising example that goes beyond normal expectations. Emphasizes shock value.","Acts as both a conjunction and an adverb. Can connect independent clauses. Frequently paired with '连……都/也……'.","他太忙了，甚至连吃饭的时间都没有。","He is so busy that he doesn't even have time to eat.","这个问题非常复杂，甚至连经验丰富的专家也无法解决。","This problem is highly complex; even experienced experts cannot solve it."
"Chapter 3","体验 - 体味","体验 (tǐyàn)","Focuses on action and physical presence. Personally going through a situation, lifestyle, activity, or testing a product.","Takes concrete or active objects (e.g., 体验生活, 体验新产品, 体验虚拟现实).","年轻人应该多去不同的地方旅游，体验不一样的生活方式。","Young people should travel to different places to experience different lifestyles firsthand.","华为邀请了许多数码爱好者来体验他们最新款的智能手机。","Huawei invited many digital enthusiasts to try out/experience their latest smartphone."
"Chapter 3","体验 - 体味","体味 (tǐwèi)","Focuses on mental reflection and emotional depth. Carefully tasting, pondering, or deeply appreciating abstract concepts or feelings.","Takes abstract, profound objects (e.g., 体味人生的酸甜苦辣, 体味诗歌的意境).","只有经历过失败的人，才能真正体味到成功的来之不易。","Only those who have experienced failure can truly savor and appreciate how hard-won success is.","关上手机，静静地喝一杯茶，去体味那一刻的宁静。","Turn off your phone, quietly drink a cup of tea, and savor the tranquility of that moment."
"Chapter 3","体验 - 体会","体会 (tǐhuì)","Emphasizes the mental result, lesson, insight, or emotional understanding gained after an experience. Answers what you learned or felt.","Frequently used as both a verb and a noun (e.g., 谈谈你的体会 = talk about your insights/takeaways).","只有自己当了父母，才能真正体会到父母当年养育我们的辛苦。","Only when you become a parent yourself can you truly understand/appreciate the hardships your parents went through to raise you.","听完这期讲座，大家纷纷分享了内心的体会和收获。","After listening to the lecture, everyone shared their personal insights and gains."
"Chapter 3","羞涩 - 羞怯","羞涩 (xiūsè)","A gentle, often endearing or neutral shyness. Romantic, modest, or socially awkward blushing/self-consciousness.","Can describe physical actions or facial expressions (e.g., 羞涩地一笑, 脸上露出羞涩的神情).","第一次和喜欢的人约会时，他显得有些羞涩。","When dating the person he liked for the first time, he seemed a bit shy/bashful.","面对镜头，那个乡村小女孩露出了羞涩的微笑。","Facing the camera, the little village girl gave a shy smile."
"Chapter 3","羞涩 - 羞怯","羞怯 (xiūqiè)","Combines shyness with fear, timidity, or cowardice (怯). Overly timid, lacks confidence, shrinks back or fears speaking out.","Focuses on a psychological state or personality trait of being timid in social settings (e.g., 性格羞怯, 羞怯地不敢见人).","这个新来的同学性格羞怯，总是躲在角落里不说话。","This new classmate is timid and shy, always hiding in the corner and staying quiet.","他羞怯地站在台下，怎么也不敢走上舞台演讲。","He stood beneath the stage timidly, not daring to step up to give his speech."
"Chapter 3","风行 - 流行","风行 (fēngxíng)","Suggests massive speed, irresistible momentum, and overwhelming popularity. A sudden, intense cultural craze or dominant fad.","More formal/literary. Usually takes a scope modifier (e.g., 风行一时, 风行全球). Generally cannot take degree adverbs like '很'.","这种极简主义的生活方式近年来风行全球。","This minimalist lifestyle has swept across the globe in recent years.","几年前，那款智能手机游戏曾风行一时，几乎人人都在玩。","A few years ago, that smartphone game was a massive fad for a time; almost everyone was playing it."
