Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,निगरानी करना और प्रेरित करना,माता-पिता को चाहिए कि वे बच्चों को समय पर होमवर्क पूरा करने के लिए प्रेरित करें।,कार्रवाई के लिए प्रोत्साहन।
Chapter 5,考级,ग्रेड परीक्षा देना,गर्मियों की छुट्टी में कई माता-पिता बच्चों को पियानो ग्रेड परीक्षा के लिए ले जाते हैं।,मानकीकृत कौशल परीक्षण।
Chapter 5,奢望,विलक्षण आशा; अत्यधिक माँग,उसके लिए पेट भर खाना खाना भी एक विलक्षण आशा है।,अवास्तविक अपेक्षा।
Chapter 5,熏陶,सकारात्मक प्रभाव; पोषण,वह विद्वान परिवार में बड़ा हुआ और उत्तम पारंपरिक संस्कृति का प्रभाव पाया।,समय के साथ धीरे-धीरे सकारात्मक प्रभाव।
Chapter 5,高雅,परिष्कृत; सुंदर,इस संगीत कक्ष में अक्सर परिष्कृत कलात्मक प्रस्तुतियाँ होती हैं।,"स्वाद, कला या व्यवहार के लिए।"
Chapter 5,就业,रोज़गार; नौकरी पाना,सरकार विभिन्न चैनलों से स्नातकों की नौकरी की समस्या हल करने का प्रयास कर रही है।,कार्यबल में शामिल होना।
Chapter 5,意愿,आकांक्षा; इच्छा,बच्चों के विषय चुनने की व्यक्तिगत आकांक्षा का सम्मान करना चाहिए।,अपनी इच्छा।
Chapter 5,苦心,कठिन परिश्रम,आप अभी माता-पिता के इस कठिन परिश्रम को पूरी तरह समझ नहीं सकते।,बड़ी देखभाल और सोच।
Chapter 5,期望值,अपेक्षा का स्तर,अपेक्षा बहुत ऊँची हो तो निराशा आसानी से होती है।,आशा की डिग्री।
Chapter 5,鹏程万里,उज्ज्वल भविष्य,आपकी पढ़ाई में प्रगति और उज्ज्वल भविष्य की शुभकामनाएँ।,सामान्य बधाई वाला मुहावरा।
Chapter 5,料,अनुमान लगाना; आशा करना,"मैंने सोचा वह आज नहीं आएगा, पर वह जल्दी पहुँच गया।",अक्सर 没/不 के साथ।
Chapter 5,尽力而为,पूरी कोशिश करना,"परिणाम जो भी हो, पूरी कोशिश की तो पछतावा नहीं।","परिणाम नहीं, प्रयास पर ज़ोर।"
Chapter 5,但愿,केवल आशा करता हूँ; काश,काश कल मौसम साफ रहे ताकि हमारा कार्यक्रम ठीक से हो।,ईमानदार इच्छा व्यक्त करता है।
Chapter 5,成才,योग्य व्यक्ति बनना,माता-पिता मेहनत करते हैं ताकि बच्चे पढ़कर सफल बन सकें।,क्षमता पूरी करना।
Chapter 5,包办,सब कुछ संभालना; बच्चे के लिए सब तय करना,माता-पिता को बच्चे के हर जीवन निर्णय में हस्तक्षेप नहीं करना चाहिए।,अक्सर अत्यधिक नियंत्रण।
Chapter 5,心甘情愿,पूरी इच्छा से,बेहतर शिक्षा के लिए माता-पिता दुख सहने को तैयार हैं।,पूर्ण स्वैच्छा।
Chapter 5,心态,मानसिक दृष्टिकोण; रवैया,कठिनाई में सकारात्मक मानसिक दृष्टिकोण बनाए रखना महत्वपूर्ण है।,मन की स्थिति।
Chapter 5,传授,ज्ञान सौंपना,बूढ़े प्रोफ़ेसर ने युवाओं को निःस्वार्थ भाव से ज्ञान दिया।,कौशल/बुद्धिमत्ता सिखाना।
Chapter 5,撒手,हाथ खींचना; छोड़ देना,बच्चे बड़े हो गए; माता-पिता को छोड़ना सीखना चाहिए।,जिम्मेदारी छोड़ना।
Chapter 5,强加,थोपना; जबरन लगाना,माता-पिता को अपनी इच्छाएँ बच्चों पर नहीं थोपनी चाहिए।,दूसरों की इच्छा का अनादर।
Chapter 5,足够,पर्याप्त; काफ़ी,पर्याप्त आत्मविश्वास हो तो कोई कठिनाई अजेय नहीं।,आवश्यक मात्रा।
Chapter 5,后劲,बाद का प्रभाव; लंबी ताकत,इस शराब का बाद का प्रभाव बड़ा है; पीते समय सावधान रहें।,निरंतर प्रभाव।
Chapter 5,揠苗助长,जल्दबाज़ी से बढ़ाने से नुकसान,सीखना क्रमिक होना चाहिए; जल्दबाज़ी से अक्सर उलटा परिणाम।,धैर्य के खिलाफ़ चेतावनी।
Chapter 5,神童,प्रतिभाशाली बच्चा,गणित प्रतियोगिता में प्रदर्शन से लोगों ने उसे प्रतिभाशाली कहा।,प्रतिभावान बच्चों के लिए।
Chapter 5,了不得,अद्भुत; अत्यधिक (डिग्री),पाँच साल में दर्जनों कविताएँ याद—वाकई अद्भुत।,प्रशंसा या डिग्री दोनों।
Chapter 5,体验,प्रत्यक्ष अनुभव,लेखक अक्सर ग्रामीण जीवन का अनुभव करने और प्रेरणा पाने जाते हैं।,व्यक्तिगत भागीदारी।
Chapter 5,学业,पढ़ाई; शिक्षा,नए सेमेस्टर में आपकी पढ़ाई में प्रगति की कामना।,शैक्षिक मार्ग।
Chapter 5,弱点,कमज़ोर पक्ष; कमज़ोरी,बहुत अधिक उधमपंखी उसकी सबसे बड़ी कमज़ोरी है।,दोष या नरम स्थान।
Chapter 5,人际交往,पारस्परिक संवाद,"विश्वविद्यालय केवल ज्ञान का स्थान नहीं, सामाजिक संवाद का अभ्यास भी है।",मेलजोल।
Chapter 5,卓越,उत्कृष्ट; शानदार,चिकित्सा अनुसंधान में उसने उत्कृष्ट उपलब्धियाँ हासिल कीं।,असाधारण गुणवत्ता।
