Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,친척·연고로 연결되어 있다,"우리는 친척이나 오래된 인연이 있는 고향 사람이라, 만날 때마다 유별나게 따뜻하다.",친척 관계나 오래된 사귐을 말할 때.
Chapter 3,妙龄,한창 젊고 아름다운 나이(주로 여성),"사진 속 어머니는 당시 한창 젊은 나이였고, 미소가 밝았다.","문어체, 주로 글에서 씀."
Chapter 3,飘然而至,가볍고 우아하게 다가오다,봄기운이 따뜻한 바람을 타고 가볍게 다가왔다.,도착을 문학적으로 묘사.
Chapter 3,去世,세상을 떠나다,어머니가 세상을 떠난 뒤에도 가족은 그녀가 입던 봄옷을 간직했다.,죽음을 돌려 말하는 완곡 표현.
Chapter 3,心中,마음속에,그 편지를 읽으며 그녀는 마음속에 다시 어머니를 그리워했다.,문학적 서술에 자주 씀.
Chapter 3,泛起,감정이 솟아오르다,지난일을 언급하자 그의 눈에 눈물이 맺혔다.,감정이나 물결이 일어날 때.
Chapter 3,追思,고인을 추모하다,매년 청명절마다 그는 묘에 가 어머니를 추모한다.,격식 있는 추모.
Chapter 3,惆怅,허전하고 울적하다,옛 물건이 추억을 불러일으키자 그녀는 다소 허전해졌다.,문학적 감정어.
Chapter 3,装束,"복장, 차림새",그녀의 복장은 소박하면서도 단정해 직업 여성에 어울렸다.,글쓰기에서는 동사로도 씀.
Chapter 3,时髦,"유행에 맞다, 세련되다","이 외투는 당시 매우 유행했고, 지금 봐도 촌스럽지 않다.",주로 옷에 대해.
Chapter 3,发型,"머리 모양, 헤어스타일",그녀는 상쾌한 헤어스타일로 바꾸어 훨씬 활기 있어 보였다.,외모 묘사에 흔함.
Chapter 3,脐,배꼽,로우라이즈 바지가 유행할 때 배꼽 노출 상의가 많은 논쟁을 불렀다.,신체·의복 용어.
Chapter 3,触目惊心,보기에 충격적이다,이렇게 심각한 낭비는 보기만 해도 충격적이다.,강한 부정적 시각적 충격.
Chapter 3,征集,공개 모집하다,"잡지가 산문을 공모하고, 그는 어머니에 대한 글을 투고했다.",출판에서 흔함.
Chapter 3,文集,"문집, 글 모음집",이 문집은 의복과 기억에 관한 작가의 글을 모았다.,출판 용어.
Chapter 3,附录,부록,부록에는 작가의 초기 사진과 옷 치수 기록이 실려 있다.,학술·도서 용어.
Chapter 3,谈吐,말투와 언행,그녀는 침착하게 말해 좋은 교양이 느껴진다.,말하는 방식을 가리킴.
