Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,superviser et exhorter,Les parents devraient exhorter leurs enfants à terminer leurs devoirs à temps.,Je pousse à l'action.
Chapter 5,考级,passer un examen,Beaucoup de parents prennent leurs enfants pour des examens de piano pendant les vacances d'été.,Tests de compétence normalisés.
Chapter 5,奢望,espoir sauvage; demande extravagante,"Pour lui, pouvoir manger un repas complet est un espoir extravagant.",Une attente irréaliste.
Chapter 5,熏陶,influencer positivement; nourrir (culturellement),Il a grandi dans une famille savante et a reçu une belle influence culturelle traditionnelle.,Une influence positive progressive au fil du temps.
Chapter 5,高雅,raffiné; élégant,Cette salle de concert accueille souvent des spectacles artistiques raffinés.,"Décrit le goût, l'art ou la manière."
Chapter 5,就业,emploi; obtenir un emploi,Le gouvernement travaille dur pour résoudre l'emploi des diplômés par divers moyens.,Rejoindre le personnel.
Chapter 5,意愿,aspiration; désir,Nous devons respecter les aspirations personnelles des enfants lors du choix d'un majeur.,Une volonté.
Chapter 5,苦心,effort assidu,Vous ne pouvez pas encore comprendre les efforts assidus de vos parents.,Très attentionné et réfléchi.
Chapter 5,期望值,Niveau d'attente,"Si le niveau d'attente est trop élevé, il est facile de se sentir frustré.",Degré d'espoir.
Chapter 5,鹏程万里,avoir un avenir prometteur,Je vous souhaite un progrès académique et un avenir prometteur.,Idiome de félicitations commune.
Chapter 5,料,prévoir; anticiper,"Je m'attendais à ce qu'il ne vienne pas aujourd'hui, mais il est arrivé tôt.",Souvent utilisé avec le code.
Chapter 5,尽力而为,Faites de votre mieux,"Quel que soit le résultat de l'examen, tant que vous faites de votre mieux, vous n'aurez aucun regret.","Souligne les efforts, pas les résultats."
Chapter 5,但愿,J'espère seulement; si seulement,J'espère seulement que le temps sera clair demain pour que notre activité puisse se dérouler en douceur.,Exprime un vœu sincère.
Chapter 5,成才,devenir une personne utile,Les parents travaillent dur pour soutenir l'éducation et le succès de leurs enfants.,Atteindre le potentiel.
Chapter 5,包办,prendre en charge tout; organiser quelqu'un,Les parents ne devraient pas organiser tous les choix de vie pour leurs enfants.,"Souvent, cela implique un contrôle excessif."
Chapter 5,心甘情愿,être parfaitement disposé,"Pour donner à leur enfant une meilleure éducation, les parents sont parfaitement disposés à endurer les épreuves.",Pleine volonté.
Chapter 5,心态,état d'esprit; attitude,"Pour faire face à des difficultés, il est important de maintenir un état d'esprit positif et optimiste.",État d'esprit.
Chapter 5,传授,transmettre (connaissances),Le vieux professeur a transmis ses connaissances académiques aux jeunes.,Compétences pédagogiques / sagesse.
Chapter 5,撒手,se laver les mains de; lâcher prise,Les enfants ont grandi; les parents devraient apprendre à lâcher prise.,Quitter la responsabilité.
Chapter 5,强加,imposer; forcer,Les parents ne devraient pas imposer leurs propres souhaits à leurs enfants.,Suggère le manque de respect pour la volonté des autres.
Chapter 5,足够,suffisant; suffisant,"Tant qu'il y a suffisamment de confiance, aucune difficulté n'est insurmontable.",Quantité adéquate.
Chapter 5,后劲,Après-effet; puissance persistante,Ce vin a un fort effet secondaire ; soyez prudent en buvant.,Impact continu.
Chapter 5,揠苗助长,gâcher les choses par une croissance précipitée (lit. tirer les semis),L'apprentissage devrait être progressif; les progrès rapides ne doivent être que des revers.,Mise en garde classique contre l'impatience.
