Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,relacionados a través de vínculos familiares o antiguos,"Somos viejos pueblos relacionados con lazos familiares, así que el encuentro se siente especialmente cálido.",Describe parentesco o conocimiento largo.
Chapter 3,妙龄,de la juventud (para las mujeres),"En la foto, la madre estaba en la cima de su juventud, con una sonrisa brillante.","Literario, a menudo en estilo escrito."
Chapter 3,飘然而至,llegar ligeramente; aparecer con gracia,El aliento de primavera llegó ligeramente sobre la brisa caliente.,Descripción literaria de la llegada.
Chapter 3,去世,Pasa.,"Después de que mamá falleció, la familia guardó la ropa de primavera que llevaba una vez.",Eufemismo político para la muerte.
Chapter 3,心中,en el corazón de uno; interiormente,"Leyendo esa carta, se sintió anhelada por su madre en su corazón.",A menudo en narración literaria.
Chapter 3,泛起,bien arriba; aumento (de sentimientos),Mencionar el pasado trajo una glistena de lágrimas a sus ojos.,Usado para emociones o ondas.
Chapter 3,追思,apreciar la memoria de (el fallecido),"Cada Qingming, va a la tumba para apreciar la memoria de su madre.",Recuerdo formal.
Chapter 3,惆怅,melancolía; tristeza,"Viejos objetos revolvieron recuerdos, dejándola un poco melancolía.",Palabra de ánimo literario.
Chapter 3,装束,vestido; atuendo,"Su atuendo era sencillo y elegante, encajando con una mujer profesional.",También se puede utilizar como verbo por escrito.
Chapter 3,时髦,de moda; elegante,Este abrigo era muy de moda entonces y todavía no parece fechado.,A menudo sobre ropa.
Chapter 3,发型,peinado,Ella cambió a un peinado fresco y parecía mucho más energético.,Común en la descripción de la apariencia.
Chapter 3,脐,ombligo; ombligo,"Cuando los pantalones de baja altura eran populares, las tapas de la barra de midriff provocaban mucha discusión.",Anatomía/clothing term.
Chapter 3,触目惊心,impactante; sorprendente,Tal grave desperdicio es realmente impactante ver.,Impacto visual negativo fuerte.
Chapter 3,征集,cobrar; solicitar;,"La revista está solicitando ensayos, y presentó uno sobre su madre.",Común en la publicación.
Chapter 3,文集,trabajos recogidos; antología,Esta antología recoge los escritos del autor sobre ropa y memoria.,El término publicado.
Chapter 3,附录,apéndice,El apéndice incluye fotos tempranas y registros de talla de ropa.,Académico/libro.
Chapter 3,谈吐,la manera de hablar; la dicción,"Habla con compostura, revelando buena educación.",Se refiere al estilo del discurso.
Chapter 3,得体,apropiado; apropiado,Vestir apropiadamente es muy importante en una entrevista.,Alabado por la propiedad.
Chapter 3,就算,incluso si; otorga eso,"Incluso si el estilo estaba fechado, Madre todavía no podía soportar tirar esa prenda.",Concesivo conector.
Chapter 3,推敲,pulido; deliberado,Él pulió el título de este ensayo durante mucho tiempo antes de establecerse en él.,De Jia Dao.
Chapter 3,眼影,sombra de ojos,Ella aplicó sólo un ligero toque de sombra de ojos y parecía refrescante.,vocabulario de maquillaje.
Chapter 3,灰晶,de cristal grisáceo,Esta sombra de ojos gris cristalina se adapta a la composición diaria.,Tiempo de color específico de texto.
Chapter 3,唇膏,lápiz labial,Eligió un lápiz labial ligero para que coincida con su simple traje de primavera.,Maquillaje.
Chapter 3,面容,características faciales; rostro,"En la foto vieja, la cara de mamá era suave y firme.",Formal/literario para la cara.
Chapter 3,别扭,incómodo; incómodo,"El tamaño está mal, así que usar esta prenda se siente incómodo.",Puede describir las relaciones o la ropa.
Chapter 3,借题发挥,utilizar un tema como pretexto para hacer un punto,No hablaba realmente de la ropa sino usándolas como pretexto para discutir el consumo.,A menudo tono crítico.
