"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"December 2025/成语","一无所有","yīwúsuǒyǒu","not having anything at all；utterly lacking；without two sticks to rub together","not having anything at all；utterly lacking；without two sticks to rub together","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","一蹴而就","yīcùjiù","succeed at the first try；比喻get there in one step (idiom)；easily done；success at a stroke；比喻get results overnight","succeed at the first try；to get there in one step；easily done；success at a stroke；to get results overnight","成语","","中性","只要资金到位, 这个工程会一蹴而就。","Zhǐyào zījīn dàowèi, zhège gōngchéng huì yị̄cù'érjiù.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","不同凡响","bùtóngfánxiǎng","F.E. outstanding；字面指 not a common chord (idiom)；outstanding；灿烂；out of the common run","F.E. outstanding；lit. not a common chord；outstanding；brilliant；out of the common run","成语","","褒义","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","不拘小节","bùjūxiǎojié","not be punctilious；not bother about trifles","not be punctilious；not bother about trifles","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","不胜其烦","bùshèngqífán","F.E. be pestered beyond endurance","F.E. be pestered beyond endurance","成语","","贬义","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","不落俗套","bùluòsútào","conform to no conventional pattern；比喻conform to no conventional pattern；unconventional；offbeat","conform to no conventional pattern；to conform to no conventional pattern；unconventional；offbeat","成语","不落俗套","中性","你的设计很新颖, 不落俗套。","Nǐ de shèjì hěn xīnyǐng, bụ̀luòsútào.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","与世隔绝","yǔshìgéjué","be secluded from the real world；地狱","be secluded from the real world；withdraw into one's shell 过着与世隔绝的日子 guò zhe yǔshìgéjué de rìzi live an isolated life","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","与生俱来","yǔshēngjùlái","F.E. be born with；inherent；innate","F.E. be born with；inherent；innate","成语","","中性","他的勇气是与生俱来的。","Tā de yǒngqì shì yǔshēngjùlái de.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","乐不思蜀","lèbùsīshǔ","so happy as to forget home and duty；indulge in pleasures","so happy as to forget home and duty；indulge in pleasures","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","优胜劣汰","yōushèngliètài","F.E. survival of the fittest","F.E. survival of the fittest","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","内心世界","nèixīn shìjiè","N. a person's inner world","N. a person's inner world","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","别有洞天","biéyǒudòngtiān","place of charm and beauty；scenery of exceptional charm；completely different world","place of charm and beauty；scenery of exceptional charm；completely different world","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","升级换代","shēngjíhuàndài","(of manufactured products) upgrade and update jìnjǐnián lái shùmǎ chǎnpǐn deshēngjíhuàndài yuèláiyuè kuài","(of manufactured products) upgrade and update jìnjǐnián lái shùmǎ chǎnpǐn deshēngjíhuàndài yuèláiyuè kuài","成语","","中性","近几年来数码产品的升级换代越来越快。","The upgrading and updating of digital products have accelerated for the past several years.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","多姿多彩","duōzīduōcǎi","diversity (of forms and colors)","diversity (of forms and colors)","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","富丽堂皇","fùlìtánghuáng","F.E. sumptuous；gorgeous；灿烂；辉煌","F.E. sumptuous；gorgeous；splendid","成语","","褒义","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","待人接物","dàirénjiēwù","the way one gets along with people","the way one gets along with people","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","所见所闻","suǒjiànsuǒwén","what one sees and hears","what one sees and hears","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","抛砖引玉","pāozhuānyǐnyù","humb. offer banal/humble remarks to spark abler talk by others；sacrifice a little to gain much","humb. offer banal/humble remarks to spark abler talk by others；sacrifice a little to gain much","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","掉以轻心","diàoyǐqīngxīn","F.E. lower one's guard","F.E. lower one's guard","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","日复一日","rìfùyīrì","F.E. day after day；day in and day out","F.E. day after day；day in and day out","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","日新月异","rìxīnyuèyì","sth. new each day；daily renewal, monthly change (idiom)；every day sees new developments；rapid progress","sth. new each day；daily renewal, monthly change；every day sees new developments；rapid progress","成语","这个城市日新月异","中性","这个城市日新月异。","Zhèige chéngshì rìxīnyuèyì.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","朝气蓬勃","zhāoqìpéngbó","full of youthful spirit；full of vigour and vitality；imbued with vitality 朝气蓬勃的青年 zhāoqìpéngbó de qīngnián spirited young people；energetic youth 朝气蓬勃的先锋队组织 zhāoqìpéngbó de xiānfēngduì zǔzhī a vigorous vanguard organization","full of youthful spirit；full of vigour and vitality；imbued with vitality 朝气蓬勃的青年 zhāoqìpéngbó de qīngnián spirited young people；energetic youth 朝气蓬勃的先锋队组织 zhāoqìpéngbó de xiānfēngduì zǔzhī a vigorous vanguard organization","成语","朝气蓬勃的青年","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","每况愈下","měikuàngyùxià","go from bad to worse","go from bad to worse","成语","他的健康每况愈下","中性","他的健康每况愈下。","Tā de jiànkāng měikuàngyùxià.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","狰狞面目","zhēngníngmiànmù","F.E. ferocious features；a vile visage","F.E. ferocious features；a vile visage","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","猴年马月","hóuniánmǎyuè","year of the monkey and month of the horse—time that will never come (as this is not a valid year/month in the Chinese calendar)；long time off；time that will never come","year of the monkey and month of the horse—time that will never come (as this is not a valid year/month in the Chinese calendar)；long time off；time that will never come","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/成语","生气勃勃","shēngqìbóbó","F.E. full of vitality","F.E. full of vitality","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
