Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),"Describe apariencia, rasgos, temperamento o modales. Sugiere una imagen juvenil, fresca, dulce e inocente.","Suele modificar personas, rasgos, estilos o expresiones concretas (por ejemplo, 清纯的长相, 眼神清纯).","Tiene el pelo largo y negro, y cuando sonrie se ve muy inocente y pura.",Los protagonistas de esta pelicula tienen ese aire fresco e inocente propio de estudiantes.
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),"Describe mente, pensamientos, intenciones, alma o relaciones abstractas como amistad y amor; sin malicia ni codicia.","Modifica sustantivos abstractos (纯洁的友谊, 纯洁的心灵) y tambien puede funcionar como sustantivo (保持内心的纯洁).","La mente de un nino es la mas pura, sin una sola impureza.",Entre nosotros solo hay una relacion profesional limpia entre colegas; no lo malinterpretes.
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),"Palabra formal y escrita que marca progresion escalonada o expansion de alcance (de pequeno a grande, de cercano a lejano).",Conjuncion que conecta solo palabras o frases dentro de una misma oracion; no inicia una clausula independiente.,"Esta politica afecta no solo a individuos y familias, sino incluso al futuro de toda la nacion.","Sus resultados de investigacion fueron reconocidos por la escuela, la provincia e incluso la comunidad academica nacional."
Chapter 3,乃至 - 甚至,甚至 (shènzhì),"Resalta un caso extremo, inesperado o sorprendente que sobrepasa lo normal; enfatiza impacto.",Funciona como conjuncion y adverbio. Puede unir clausulas independientes y suele combinarse con 连……都/也…….,Esta tan ocupado que ni siquiera tiene tiempo para comer.,Este problema es tan complejo que ni expertos con mucha experiencia pueden resolverlo.
Chapter 3,体验 - 体味,体验 (tǐyàn),"Se centra en la accion y la presencia fisica: vivir personalmente una situacion, estilo de vida o probar un producto.","Toma objetos concretos o activos (体验生活, 体验新产品, 体验虚拟现实).",Los jovenes deberian viajar a distintos lugares para experimentar estilos de vida diferentes en primera persona.,Huawei invito a muchos entusiastas de tecnologia a probar su ultimo smartphone.
Chapter 3,体验 - 体味,体味 (tǐwèi),"Se enfoca en reflexion mental y profundidad emocional: saborear, ponderar o apreciar a fondo conceptos abstractos o sentimientos.","Toma objetos abstractos y profundos (体味人生的酸甜苦辣, 体味诗歌的意境).",Solo quien ha pasado por el fracaso puede saborear de verdad lo dificil que es alcanzar el exito.,"Apaga el movil, toma una taza de te en silencio y saborea la tranquilidad de ese momento."
Chapter 3,体验 - 体会,体会 (tǐhuì),"Enfatiza el resultado mental: lecciones, comprension o sentimientos obtenidos tras una experiencia.",Se usa como verbo y sustantivo con frecuencia (谈谈你的体会 = habla de tus aprendizajes).,Solo cuando eres padre o madre comprendes de verdad el esfuerzo que hicieron tus padres para criarte.,"Despues de la charla, todos compartieron sus reflexiones y aprendizajes personales."
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),"Timidez suave, a menudo tierna o neutral: rubor romantico, modestia o incomodidad social leve.","Puede describir acciones o expresiones faciales (羞涩地一笑, 脸上露出羞涩的神情).","En su primera cita con la persona que le gustaba, se veia algo timido.","Frente a la camara, la nina del pueblo mostro una sonrisa timida."
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),"Combina timidez con miedo o falta de valor; demasiado cohibido, sin confianza, con tendencia a retraerse.","Se enfoca en rasgo psicologico o personalidad timida en contextos sociales (性格羞怯, 羞怯地不敢见人).",El nuevo companero es muy timido y siempre se queda callado en un rincon.,"Se quedo timidamente bajo el escenario, sin atreverse a subir a dar su discurso."
Chapter 3,风行 - 流行,风行 (fēngxíng),"Sugiere velocidad masiva, impulso imparable y gran auge: una moda intensa y dominante.","Mas formal y literario; suele llevar modificador de alcance (风行一时, 风行全球). En general no admite adverbios de grado como 很.",Este estilo de vida minimalista se ha extendido por todo el mundo en los ultimos anos.,"Hace unos anos, ese juego de movil fue una moda arrasadora por un tiempo; casi todos lo jugaban."
Chapter 3,风行 - 流行,流行 (liúxíng),"Termino general y amplio para algo muy aceptado, usado o gustado por el publico en cierto periodo, sin implicar impulso feroz.","Puede modificarse con adverbios de grado (很流行, 非常流行). Tambien describe propagacion de enfermedades (流行性感冒).",Entre los jovenes de hoy esta muy de moda vestir ropa de estilo retro.,La melodia de esta cancion popular es muy simple; con escucharla una vez la recuerdas.
Chapter 3,夸张 - 夸大,夸张 (kuāzhāng),Puede ser recurso artistico neutral (hiperbole) o describir lenguaje/comportamiento teatral y dramatizado en la vida diaria.,Puede funcionar como adjetivo (表情太夸张了) y como sustantivo/verbo en contextos retoricos.,Los caricaturistas suelen usar tecnicas exageradas para resaltar rasgos faciales de los personajes.,Solo tuvo una lesion leve; llorar asi es un poco demasiado dramatico.
Chapter 3,夸张 - 夸大,夸大 (kuādà),"Verbo negativo: distorsionar la verdad exagerando deliberadamente hechos, cifras o situaciones; implica falta de honestidad.","Verbo estrictamente transitivo que requiere objeto explicito (夸大事实, 夸大病情).",El anuncio de esta empresa claramente exagero la eficacia real del producto y podria estar enganando a consumidores.,Ante dificultades debemos atenernos a los hechos: ni ocultarlos ni exagerarlos.
Chapter 4,赞许 - 赞同,赞许 (zànxǔ),"Se centra en admiracion, elogio y aprobacion; suele fluir de alguien con mayor estatus a alguien con menor estatus.",Se usa a menudo como sustantivo (投去赞许的目光) o como objeto abstracto.,"Al ver que Xiao Ming cedio su asiento a una persona mayor, el profesor le lanzo una mirada de aprobacion.",Su idea innovadora recibio elogio y aprobacion unanimes de la alta direccion.
Chapter 4,赞许 - 赞同,赞同 (zàntóng),"Se centra en coincidencia intelectual con una opinion o propuesta, entre pares; no implica elogio.",Verbo puro. Suele llevar opiniones o personas como objeto directo (我赞同你的看法 / 赞同这个方案).,"Tras oir su analisis de mercado, la mayoria de gerentes dijo estar de acuerdo con su opinion.",No estoy de acuerdo con sacrificar calidad del producto por buscar velocidad.
Chapter 4,快捷 - 敏捷,快捷 (kuàijié),"Describe servicios, sistemas, transporte o metodos que ahorran tiempo y son muy eficientes; enfoca velocidad de proceso.",Suele modificar servicios u operaciones abstractas (快捷的支付方式).,Hoy internet vuelve la transmision de informacion extremadamente rapida y comoda; en segundos llega a todo el mundo.,"El metro es uno de los medios mas rapidos y eficientes de la ciudad, sin preocuparse por atascos."
Chapter 4,快捷 - 敏捷,敏捷 (mǐnjié),"Describe movimientos fisicos o facultades mentales agudas, rapidas y coordinadas.","Modifica acciones, pensamiento o rasgos fisicos humanos (思维敏捷, 身手敏捷).",No te dejes llevar por su edad: los movimientos de ese anciano siguen siendo muy agiles.,Los programadores necesitan pensamiento agil para encontrar errores de codigo en poco tiempo.
Chapter 4,预测 - 推测,预测 (yùcè),"Pronosticar resultados futuros con base en datos cientificos, calculos profesionales, estadisticas o modelos.","Puede ser verbo o sustantivo. Suele combinarse con resultados futuros (预测天气, 预测经济走向).",La oficina meteorologica pronostica lluvia torrencial para manana por la tarde y recomienda reducir desplazamientos.,Expertos estan prediciendo el impacto de la inteligencia artificial en el mercado laboral de los proximos cinco anos.
Chapter 4,预测 - 推测,推测 (tuīcè),"Especular o inferir hechos desconocidos, eventos pasados, motivos o razones con pistas y logica existentes.","Puede ser verbo o sustantivo. Suele combinarse con logica, intenciones o causas pasadas/presentes (根据线索推测).","Segun las huellas en la escena, la policia infirio que el sospechoso mide alrededor de 1.8 metros.",Por sus ojos hinchados se puede deducir que hace poco lloro mucho.
Chapter 4,过于 - 过分,过于 (guòyú),"Adverbio formal de ""excesivamente"" que modifica estados o sentimientos de forma objetiva.","Es puramente adverbio y debe ir seguido de adjetivo o verbo (过于谦虚, 过于担心). No aparece solo.","Persigue la perfeccion en exceso en el trabajo, y eso retraso el avance del proyecto.",Los padres no necesitan preocuparse demasiado por el futuro de sus hijos; deben darles oportunidad de enfrentar el mundo solos.
