Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就算……也……,"가정 양보: '비록 ~해도'. 일상 구어에서 가장 흔하며, 현실적인 가정이 결과를 바꾸지 않음을 나타냄.",내일 비가 아무리 많이 와도 산에 올라가야 한다.,네가 말하지 않아도 누가 한 일인지 알아맞힐 수 있다.,이번 시험에 떨어져도 자신을 잃으면 안 된다.
Chapter 3,即便……也……,가정 양보: '비록 ~하더라도'. 就算보다 문어적·격식적. 뉴스·공식 문맥에 자주 씀.,막대한 경제적 압박에 직면하더라도 회사는 제품 품질을 낮춰서는 안 된다.,아무리 뛰어난 기술을 갖추어도 노력하지 않으면 대회에서 우승할 수 없다.,세월이 많이 흘러도 그 어린 시절의 아름다운 기억은 여전히 선명하다.
Chapter 3,哪怕……也……,가정 양보: '비록 ~하더라도'. 결의·희생·최악의 상황을 감수하겠다는 강한 감정이 실림.,희망이 1%밖에 없어도 100%의 노력을 기울여야 한다.,꿈을 이루기 위해 아무리 고생해도 그는 기꺼이 받아들인다.,온 세상이 나를 반대해도 나는 내 선택을 고수하겠다.
Chapter 3,纵然……也……,가정 양보: '비록 ~하더라도'. 가장 문학적·시적. 일상 대화보다 문학·수필에 많음.,천리 산천이 가로막아도 고향으로 돌아가려는 발걸음은 막을 수 없다.,그에게 잘못이 천 가지 있어도 공개적으로 때려서는 안 된다.,고전 문학의 매력은 수천 년의 세월이 흘러도 결코 사라지지 않는다.
Chapter 3,多多,"용법 1: 동사 앞 부사, '~을 많이 하다'. 정중한 부탁·조언·격식 있는 글에 씀.",이번 프로젝트가 새로 시작되니 앞으로 많이 부탁드립니다.,신제품 디자인에 부족한 점이 있으니 전문가 여러분의 너른 이해를 부탁드립니다.,새 학교에 가면 반드시 급우들과 많이 교류해 새 환경에 빨리 적응하라.
Chapter 3,多多,용법 2: 후치 수식·관용어 多多益善(많을수록 좋다). '그 밖에 / 더욱이'의 뜻도 있음.,이런 긴급 구호 물자는 많을수록 좋다.,진짜 실력을 배울 수 있다면 고생이 많아도 상관없지 않은가?,"책 사는 예산은 나에게 한신의 병사를 세는 것과 같아, 많을수록 좋다."
Chapter 3,动词+不再,중단 표지: '더 이상 ~하지 않다'. 과거에 있던 행위·상태가 확실히 끝남.,이 좋은 소식을 듣고 마음속 불안이 완전히 사라지고 더는 남지 않았다.,청춘은 돌아오지 않으니 지금의 좋은 시간을 소중히 하자.,새 규정이 나오면서 예전의 번거로운 승인 절차는 더 이상 없어졌다.
Chapter 3,动词+免不了,불가피 표지: '피할 수 없다 / 어쩔 수 없이'. 자연스럽고 막을 수 없는 결과.,초보가 처음 운전하면 마음이 조금 긴장되는 것은 피할 수 없다.,성격이 완전히 다른 두 사람이 같이 살면 일상에서 마찰이 생기기 쉽다.,그의 부주의로 회사에 손해가 났으니 이번에는 매니저의 지적을 피할 수 없다.
Chapter 3,八成/七成/九成/X成,"용법 1: 백분율·비율. 一成=10%, 七成=70% 등.",조사에 따르면 이 회사 직원의 거의 70%가 현재 급여에 만족한다.,올해 날씨 때문에 과수원 사과 수확량이 약 20% 줄었다.,"이 계약에 따르면 이익의 60%는 네가, 40%는 내가 가져간다."
Chapter 3,八成/七成/九成/X成,용법 2: 구어 부사 '아마 ~일 것이다'(주로 八成·九成). 주관적 확신이 높음.,하늘이 이렇게 어두우니 아마 큰비가 올 것 같다.,지금까지 답장이 없으니 아홉할은 그 일을 잊은 모양이다.,하루 종일 멍하니 있는 걸 보니 아마 무슨 고민이 생긴 것 같다.
Chapter 3,就此XX,문어 부사: '이 시점에서 / 여기서 / 이로써'. 행동·상태가 이 지점에서 끝나거나 바뀜.,양측이 우호적으로 협상한 끝에 여기서 협력 협정을 맺기로 했다.,작은 오해 때문에 두 사람의 우정은 여기서 끝나 버려 안타깝다.,"과거 일로 더 이상 다투지 말고, 원한은 여기서 털어 버리자."
Chapter 3,无可XX,부정 구조: '…할 수 없다 / …할 길이 없다'. 특정 동사와 결합해 격식 있게 표현.,이 갑작스러운 타격 앞에서 그는 어쩔 수 없다는 듯한 웃음을 지었다.,그의 분석은 증거가 확실해 결론은 의심할 여지가 없다.,회사 기밀에 대한 기자의 질문에 대변인은 답할 수 없다고 했다.
Chapter 4,足以,용법 1: '…하기에 충분하다'. 어떤 결과를 일으킬 만한 정도에 이름.,그가 몇 년간 쌓은 경험은 주임 자리를 맡기에 충분하다.,이 한 가지 결정적 증거만으로도 피고의 거짓말을 모두 뒤집을 수 있다.,창밖의 아름다운 피아노 소리는 그의 마음속 모든 초조함을 가라앉히기에 충분하다.
Chapter 4,足以,용법 2: 不足以 / 难道不…足以 — 부족함·역문으로 기준 미달을 표현.,몇몇 간편 결제가 편하긴 하지만 그것만으로 모든 노인을 끌어들이기엔 부족하다.,입으로만 사과하는 것으로는 그의 부주의가 회사에 준 손해를 만회하기에 부족하다.,이런 사소한 어려움이 수년간 지켜 온 음악 꿈을 포기하게 할 만큼 크다는 말인가?
Chapter 4,随之而起,문어 관용: '~에 이어 곧바로 일어나다 / 그 여파로 생기다'. 1차 사건 뒤 2차 현상.,스마트폰이 보급되면서 모바일 결제와 라이브 산업이 그에 이어 급성장했다.,회의에서 급진적 혁신안이 나오자 회사 안의 각종 의혹의 목소리가 곧바로 일어났다.,전 세계 전통문화 열풍이 다시 일면 한푸 스튜디오와 고풍 문화 브랜드가 잇따라 생겨났다.
Chapter 4,起码,용법 1: 부사 '적어도 / 최소한'. 요구·기대의 최저선.,이 전문 피아노 급수 시험에 합격하려면 하루에 최소 세 시간은 연습해야 한다.,현재 공정으로 보면 이 대형 체육관을 짓는 데 최소 반년은 더 걸린다.,아무리 바빠도 어르신께 전화 한 통 드리는 것쯤은 할 수 있지 않나?
Chapter 4,起码,용법 2: 형용사 '기본적인 / 최소한의'. 반드시 지켜야 할 최저 기준.,남이 말할 때 함부로 끼어드는 것은 상대에 대한 최소한의 예의다.,기자로서 사실을 추구하는 것은 가장 기본적인 직업 윤리다.,네 추측은 구멍이 숭숭해 기본적인 논리조차 없다.
Chapter 4,过于,문어 부사: '지나치게 / 너무'. 이음절 형용사·심리 동사 앞에 씀.,그는 결정할 때 지나치게 우유부단해 소중한 투자 기회를 놓쳤다.,부모가 자녀 일상에 지나치게 간섭할 필요는 없고 독립심을 길러야 한다.,이 시장 예측 보고서의 결론은 지나치게 낙관적이라 잠재적 금융 위험을 무시했다.
Chapter 4,以……著称,격식 문형: '~로 유명하다'. 어떤 특징 때문에 이름난 것을 소개.,이 백 년 전통 식당은 세심한 서비스와 신선한 식재료로 유명하다.,그 젊은 바둑 기사는 대국에서 빠른 사고와 공격적인 기풍으로 유명하다.,이 강남 고택은 우아한 수향 풍경과 깊은 전통 문화로 세계에 알려져 있다.
Chapter 4,幸好,부사: '다행히'. 나쁜 상황이 더 악화되지 않게 막아 준 요인.,오늘 나갈 때 다행히 우산을 가져갔다. 안 그랐으면 한밤중 폭우에 흠뻑 젖었을 것이다.,다행히 전문 구조대가 신속히 도착해 폐허 속 부상자들이 즉시 구출되었다.,"방금 연설하다가 가사를 잊을 뻔했는데, 다행히 무대 아래 선생님의 격려하는 눈빛을 보고 진정할 수 있었다."
Chapter 5,给……以……,격식 문형: '~에게 …을 주다/부여하다'. 추상 명사(지원·신뢰·처벌 등)와 결합.,어려움에 처한 전통 수공예인에게 정부는 막대한 자금 지원을 제공했다.,선생님의 신뢰 어린 눈빛이 나에게 기말 피아노 급수 시험을 이겨 낼 큰 자신감을 주었다.,시험에서 부정행위를 한 사람에게 학교는 반드시 엄한 처벌을 내릴 것이다.
Chapter 5,纯属……,부사구: '전적으로 ~이다 / 순전히 ~'. 다른 가능성이 없음을 강조.,이국에서 우연히 마주친 것은 전적으로 우연이었고 사전 약속은 전혀 없었다.,그 전통문화센터가 곧 문 닫는다는 인터넷 소문은 전적으로 낭설이다.,어릴 때부터 그렇게 고상한 예술 환경에서 자란 것은 그에게 순전히 행운이었다.
