Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,रिश्तेदारी या पुरानी पहचान से जुड़ा,"हम रिश्तेदारी वाले पुराने गाँववाले हैं, मिलकर बहुत अपनापन लगता है।",रिश्ते या लंबी जान-पहचान बताता है।
Chapter 3,妙龄,युवावस्था की सर्वोत्तम अवस्था (महिलाओं के लिए),"तस्वीर में माँ उस समय अपनी युवावस्था में थीं, मुस्कान चमकदार थी।","साहित्यिक, अक्सर लिखित शैली।"
Chapter 3,飘然而至,हल्के से आना,वसंत की खुशबू गर्म हवा के साथ हल्के से आई।,आगमन का साहित्यिक वर्णन।
Chapter 3,去世,इहलोक से जाना (विनम्र),माँ के जाने के बाद घर में उनके वसंत के कपड़े रखे रहे।,मृत्यु के लिए विनम्र पर्याय।
Chapter 3,心中,हृदय में; अंतरतः,पत्र पढ़कर उसके हृदय में माँ की याद फिर उभरी।,अक्सर साहित्यिक वर्णन।
Chapter 3,泛起,उभरना (लहर/भावना),पुरानी बात सुनकर उसकी आँखों में आँसू उभरे।,भावनाओं या लहरों के लिए।
Chapter 3,追思,मृतक की स्मृति में चिंतन,हर क़िंगमिंग वह माँ की कब्र पर स्मरण करने जाता है।,औपचारिक स्मरण।
Chapter 3,惆怅,उदास; विरक्त,पुरानी वस्तुएँ देखकर वह कुछ उदास हो गई।,साहित्यिक मनोदशा।
Chapter 3,装束,पहनावा,"उसका पहनावा सरल और सुंदर था, पेशेवर महिला से मेल खाता था।",कपड़े; लिखित में क्रिया भी।
Chapter 3,时髦,फ़ैशनेबल; स्टाइलिश,"यह कोट उस समय बहुत फ़ैशनेबल था, आज भी पुराना नहीं लगता।",अक्सर कपड़ों के लिए।
Chapter 3,发型,हेयरस्टाइल,"उसने नई हेयरस्टाइल ली, पूरा रूप तरोताज़ा लगा।",दिखावट में सामान्य।
Chapter 3,脐,नाभि,लो-राइज़ फैशन के समय नाभि दिखाने वाले टॉप पर काफी चर्चा हुई।,शरीर/कपड़े शब्द।
Chapter 3,触目惊心,देखकर दहशत; चौंका देने वाला,इतनी बर्बादी देखकर दहशत होती है।,तीव्र नकारात्मक दृश्य प्रभाव।
Chapter 3,征集,आवाहन कर संग्रह,"पत्रिका निबंध आमंत्रित कर रही है, उसने माँ पर लिखा भेजा।",प्रकाशन में सामान्य।
Chapter 3,文集,संग्रह; संकलन,यह संग्रह लेखक के वस्त्र और स्मृति पर लेख रखता है।,प्रकाशन शब्द।
Chapter 3,附录,परिशिष्ट,परिशिष्ट में लेखक की पुरानी तस्वीरें और कपड़ों के माप हैं।,पुस्तक/शैक्षणिक शब्द।
Chapter 3,谈吐,बोलने का ढंग,"वह बोलने में शांत है, अच्छे संस्कार दिखते हैं।",भाषा शैली।
Chapter 3,得体,उचित; शोभनीय,इंटरव्यू में शोभनीय पहनावा बहुत महत्वपूर्ण है।,शिष्टाचार की प्रशंसा।
Chapter 3,就算,भले ही,"भले स्टाइल पुरानी हो, माँ उस कपड़े को फेंक नहीं सकतीं।",अनुमति संयोजक।
Chapter 3,推敲,शब्दों पर सोच-विचार,इस निबंध का शीर्षक तय करने में उसने बहुत सोचा।,जिया दाओ की कथा से।
Chapter 3,眼影,आई शैडो,"उसने हल्का आई शैडो लगाया, चेहरा तरोताज़ा लगा।",मेकअप शब्द।
Chapter 3,灰晶,धूसर क्रिस्टल चमक,यह धूसर-क्रिस्टल टोन का आई शैडो रोज़मर्रा मेकअप के लिए उपयुक्त है।,पाठ-विशिष्ट रंग शब्द।
Chapter 3,唇膏,लिपस्टिक,"उसने हल्के रंग की लिपस्टिक चुनी, सादे वसंत कपड़े के साथ।",मेकअप वस्तु।
Chapter 3,面容,चेहरा; मुखाकृति,पुरानी तस्वीर में माँ का चेहरा कोमल और दृढ़ था।,चेहरे के लिए औपचारिक/साहित्यिक।
Chapter 3,别扭,अजीब; असहज,"साइज़ गलत है, पहनने में असहज लगता है।",कपड़े या संबंध।
Chapter 3,借题发挥,बहाने से अपनी बात कहना,"वह सच में कपड़े नहीं, उपभोग पर बात कर रहा था।",अक्सर आलोचनात्मक स्वर।
Chapter 3,俏,प्यारा; चंचल सुंदर,वसंत के कपड़े उसे बहुत प्यारी लगती हैं।,अक्सर महिलाओं/दिखावट।
Chapter 3,酷,कूल; स्टाइलिश,उसे लगता है छोटे बाल और ट्रेंच कोट कूल लगते हैं।,उधार शब्द।
Chapter 3,时尚,फ़ैशन; प्रवृत्ति,"फ़ैशन जल्दी बदलता है, क्लासिक स्टाइल अधिक टिकाऊ।",संज्ञा या विशेषण।
Chapter 3,顺风,अनुकूल हवा; सहज सफलता,"काम में भी समय देखना चाहिए, अनुकूल समय में कम मेहनत।",अक्सर रूपक।
Chapter 3,逆风,विपरीत हवा; कठिनाई,उद्योग समायोजन के दौर में कंपनियाँ विपरीत हवा में चलती हैं।,रूपक कष्ट।
Chapter 3,免不了,अनिवार्य,कपड़ों की बात करें तो सौंदर्यशास्त्र और युग अनिवार्य आते हैं।,बोलचाल।
