Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就算……也……,Concession hypothétique : « même si ». La plus courante à l'oral ; scénarios réalistes qui ne changent pas le résultat.,"Même s'il pleut demain, nous devons absolument aller grimper.","Même si tu ne le dis pas, je peux quand même deviner qui l'a fait.","Même si tu ne réussis pas l'examen cette fois, tu ne dois pas perdre confiance."
Chapter 3,即便……也……,"Concession hypothétique : « même si / bien que ». Plus formel et écrit que 就算 ; ton plus objectif, fréquent dans les médias.","Même face à une pression économique énorme, l'entreprise ne devrait pas sacrifier la qualité.","Même si tu possèdes la technique la plus remarquable, sans effort tu ne peux pas gagner le championnat.","Même si de nombreuses années ont passé, ces beaux souvenirs d'enfance restent aussi nets qu'autrefois."
Chapter 3,哪怕……也……,Concession avec forte détermination ou sacrifice ; volonté d'affronter le pire scénario.,"Même s'il n'y a qu'un pour cent d'espoir, nous devons fournir cent pour cent d'efforts.","Pour réaliser son rêve, même s'il doit beaucoup souffrir, il le trouve que cela en vaut la peine.","Même si le monde entier s'oppose à moi, je maintiendrai mon choix."
Chapter 3,纵然……也……,"Concession la plus littéraire et poétique du groupe ; rare à l'oral, fréquent en littérature et essais.","Même à travers mille monts et mille rivières, rien ne peut arrêter mes pas vers la maison.","Même s'il a mille défauts, tu ne devrais pas le frapper en public.","Le charme de la littérature classique ne s'effacera jamais, même s'il traverse des milliers d'années."
Chapter 3,多多,"Sens 1 : adverbe avant le verbe = « faire davantage de [quelque chose] » ; demandes polies, correspondance, conseils.",C'est un tout nouveau projet ; merci de bien vouloir m'accorder votre aide à l'avenir.,Le design du nouveau produit a inévitablement des lacunes ; nous espérons beaucoup d'indulgence de la part des experts.,"Arrivé à la nouvelle école, tu dois beaucoup échanger avec tes camarades pour t'adapter au plus vite."
Chapter 3,多多,"Sens 2 : post-modificateur « et plus / en plus » ou idiomatique « plus il y en a, mieux c'est » (多多益善).","Pour ce type de matériel de secours crucial, plus il y en a, mieux c'est.","Tant qu'on peut apprendre de vraies compétences, que importe s'il y a beaucoup de peine ?","En ce qui concerne le budget pour acheter des livres, pour moi c'est comme Han Xin comptant ses troupes : plus il y en a, mieux c'est."
Chapter 3,动词+不再,Marqueur de cessation : « ne plus [verbe] » ou « cesser de [faire] » ; fin définitive d'une action passée.,"Après cette bonne nouvelle, l'anxiété dans son cœur a complètement disparu et n'est plus là.",La jeunesse s'en va et ne revient plus ; nous devons chérir le présent.,"Avec les nouveaux règlements, l'ancienne procédure d'approbation fastidieuse a été simplifiée à l'excès."
Chapter 3,动词+免不了,"Marqueur d'inévitabilité : « inévitable », « ne peut s'empêcher de » ; réaction ou résultat naturel.","Quand un débutant conduit pour la première fois, il ne peut s'empêcher d'être un peu nerveux.",Deux personnes aux caractères totalement différents qui vivent ensemble ont forcément des frictions au quotidien.,"Parce que sa négligence a causé une perte à l'entreprise, il ne pourra pas échapper à la critique du manager cette fois."
Chapter 3,八成/七成/九成/X成,Sens 1 : pourcentages littéraux ; chaque 成 = 10 % du total.,Les enquêtes montrent que près de 70 % des employés de cette entreprise sont satisfaits de leur salaire actuel.,"Cette année, à cause de la météo, la production de pommes du verger a baissé d'environ 20 %.",Ce contrat stipule que tu prends 60 % des bénéfices du projet et moi 40 %.
Chapter 3,八成/七成/九成/X成,Sens 2 : adverbe familier « très probablement » (surtout 八成 ou 九成) ; forte confiance subjective.,"Le ciel est si sombre ; à voir, il va très probablement pleuvoir fort.",Il n'a pas encore répondu au message ; je parie qu'il a neuf chances sur dix d'avoir oublié.,"À le voir distrait toute la journée, il a très probablement des soucis."
Chapter 3,就此XX,"Adverbe formel : « à ce moment-là », « sur-le-champ », « dès lors » ; une action ou un état se termine ou commence à ce point.","Après des consultations amicales, les deux parties ont décidé de conclure l'accord sur-le-champ.","À cause d'un malentendu, l'amitié étroite des deux s'est terminée là, ce qui est vraiment dommage.",Ne nous disputons plus pour le passé ; laissons les rancunes s'effacer à partir de maintenant.
Chapter 3,无可XX,Préfixe négatif formel : « il n'y a aucun moyen de… » ; se combine avec des verbes transitifs précis.,"Face à ce coup soudain, il a affiché un sourire résigné, celui de quelqu'un sans alternative.",Son analyse est étayée par des preuves solides ; la conclusion est naturellement incontestable.,"Face aux questions du journaliste sur les secrets commerciaux, le porte-parole a déclaré n'avoir aucun commentaire."
Chapter 4,足以,"Sens 1 : modifie verbes/actions = « suffisant pour », « assez pour » ; atteindre le seuil nécessaire.",L'expérience professionnelle accumulée ces années est largement suffisante pour le rendre qualifié au poste de superviseur.,Cette seule preuve accablante suffit à renverser tous les mensonges antérieurs de l'accusé.,Le piano magnifique et mélodieux dehors est largement suffisant pour apaiser toute l'agitation et l'anxiété en lui.
Chapter 4,足以,Sens 2 : structures négatives ou rhétoriques (不足以 / 难道不……) exprimant l'insuffisance ou questionnant un seuil.,"Certains moyens de paiement rapides sont pratiques, mais s'appuyer uniquement là-dessus est insuffisant pour attirer tous les seniors.",Ses excuses verbales ne suffisent pas à compenser les pertes financières causées par sa négligence.,Une si petite difficulté suffirait-elle vraiment à te faire abandonner le rêve musical que tu chéris depuis des années ?
Chapter 4,随之而起,"Idiomatique littéraire : « surgir aussitôt avec », « naître dans le sillage de » ; phénomène secondaire déclenché par un événement principal.","Avec la généralisation des smartphones, les paiements mobiles et le live-streaming ont surgi dans leur sillage.","Le manager a proposé un plan innovant radical en réunion, et diverses voix de doute dans l'entreprise se sont aussitôt élevées.","Avec le renouveau mondial de la culture traditionnelle, studios hanfu et marques créatives au style ancien ont fleuri."
Chapter 4,起码,Sens 1 : adverbe = « au moins / à tout le moins » ; seuil minimum requis ou attendu.,"Pour réussir cet examen de piano professionnel, tu dois t'entraîner au moins trois heures par jour.","Au rythme actuel des travaux, construire ce grand gymnase prendra au moins encore six mois.","Même si tu es très occupé au travail, appeler tes aînés pour prendre de leurs nouvelles, c'est au moins faisable."
Chapter 4,起码,Sens 2 : adjectif = « fondamental / de base / élémentaire » ; règles ou attentes minimales à respecter.,"Ne pas interrompre quand les autres parlent, c'est le respect fondamental envers autrui.","Pour un journaliste, chercher la vérité dans les faits est l'éthique professionnelle la plus élémentaire.",Ta supposition est pleine de failles et manque totalement de logique de base.
Chapter 4,过于,"Adverbe formel : « excessivement », « trop » ; suit directement un adjectif ou verbe psychologique dissyllabique.","Il était excessivement indécis en prenant des décisions, perdant ainsi cette précieuse opportunité d'investissement.",Les parents n'ont pas besoin d'interférer excessivement dans la vie quotidienne des enfants ; ils devraient cultiver leur autonomie.,"La conclusion du rapport de prévision était écrite de façon excessivement optimiste, ignorant totalement les risques financiers potentiels."
