Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就算……也……,Nhượng bộ giả định: “Dù cho / giả sử”. Thông dụng nhất trong khẩu ngữ hằng ngày; kịch bản giả định thực tế không làm đổi kết quả.,"Dù mai trời mưa to, chúng ta vẫn phải đi leo núi.","Dù anh không nói, tôi vẫn đoán được ai làm.","Dù lần thi này không đậu, anh cũng không được mất niềm tin."
Chapter 3,即便……也……,"Nhượng bộ giả định: “Dù / dù cho”. Trang trọng, văn viết hơn 就算; giọng khách quan, hay dùng trong tin tức hoặc văn bản chính thức.","Dù phải đối mặt áp lực kinh tế lớn, công ty cũng không nên hạ chất lượng sản phẩm.","Dù có kỹ thuật siêu việt, không chăm chỉ cũng không thể vô địch.","Dù đã qua nhiều năm, ký ức tuổi thơ vẫn rõ như ngày nào."
Chapter 3,哪怕……也……,"Nhượng bộ giả định mang sắc cảm xúc mạnh: quyết tâm, hy sinh, sẵn sàng đối mặt tình huống xấu nhất.","Dù chỉ còn một phần trăm hy vọng, chúng ta vẫn phải nỗ lực trăm phần trăm.","Để thực hiện ước mơ, dù phải chịu bao khổ, anh vẫn thấy đáng.","Dù cả thiên hạ phản đối, tôi vẫn giữ lựa chọn của mình."
Chapter 3,纵然……也……,"Nhượng bộ giả định trang trọng, văn học nhất trong nhóm; hiếm trong đời thường, thường gặp trong văn chương.","Dù qua muôn núi ngàn sông, không gì cản bước anh về nhà.","Dù anh có ngàn lỗi, anh cũng không nên đánh người trước mặt công chúng.","Sức hút văn học kinh điển, dù trải ngàn năm, cũng không phai."
Chapter 3,多多,"Cách 1: Phó từ trước động từ, “làm nhiều hơn”; dùng trong lời nhờ vả, thư từ trang trọng hoặc khuyên bảo.","Đây là dự án mới, sau này mong mọi người chiếu cố nhiều.","Thiết kế sản phẩm mới khó tránh thiếu sót, mong các chuyên gia khoan dung nhiều.","Sang trường mới, em phải giao lưu nhiều với bạn để thích nghi sớm."
Chapter 3,多多,"Cách 2: Hậu vị “và hơn nữa”, hoặc thành ngữ 多多益善 (càng nhiều càng tốt).",Vật tư cứu trợ quan trọng thế này càng nhiều càng tốt.,"Miễn học được bản lĩnh thật, chịu khổ nhiều có sao đâu?","Nói đến ngân sách mua sách, với tôi như Hàn Tín điểm binh—càng nhiều càng tốt."
Chapter 3,动词+不再,Chỉ sự chấm dứt hẳn hành động hoặc trạng thái từng có. “Không còn [động từ] nữa.”,"Nghe tin vui, lo âu trong lòng anh tan biến hẳn.","Tuổi trẻ đi không quay lại, ta phải trân trọng hiện tại.","Quy định mới ban hành, thủ tục phê duyệt rườm rà trước đây đã được đơn giản hóa."
Chapter 3,动词+免不了,"Đánh dấu điều không tránh khỏi, phản ứng hoặc kết quả tự nhiên. “Không tránh khỏi / hẳn sẽ…”","Lần đầu lái xe lên đường, trong lòng khó tránh hơi căng thẳng.","Hai người tính cách khác hẳn sống chung, đời thường khó tránh xích mích.","Vì bất cẩn gây thiệt hại cho công ty, lần này anh khó tránh bị sếp phê bình."
Chapter 3,八成/七成/九成/X成,Cách 1: Mô tả phần trăm chính xác; mỗi 成 = 10%.,Khảo sát cho thấy gần bảy phần mười nhân viên hài lòng với lương hiện tại.,"Năm nay vì thời tiết, sản lượng táo trong vườn giảm khoảng hai phần mười.","Hợp đồng quy định lợi nhuận anh sáu phần, tôi bốn phần."
Chapter 3,八成/七成/九成/X成,Cách 2: Phó từ khẩu ngữ “chắc là / đến tám chín phần” (thường chỉ 八成 hoặc 九成).,"Trời âm u thế này, nhìn là biết chắc sắp mưa to.","Anh chưa trả lời tin, tôi đoán chín phần là quên mất chuyện đó.","Cả ngày thất thần, chắc gặp chuyện phiền lòng."
Chapter 3,就此XX,"Phó từ trang trọng: “tại đây / ngay lúc này”; hành động hoặc trạng thái kết thúc, bắt đầu hoặc đổi ngay tại thời điểm đó.","Hai bên thương lượng thân thiện, quyết định ký thỏa thuận hợp tác ngay tại đây.","Vì hiểu lầm nhỏ, tình bạn thân kết thúc ngay lúc đó, thật đáng tiếc.","Đừng cãi chuyện quá khứ nữa, oán hận cứ để tan từ đây."
Chapter 3,无可XX,Tiền tố phủ định trang trọng: “không thể… / không có cách…”; kết hợp với động từ cụ thể.,"Đối mặt cú sốc đột ngột, anh nở nụ cười bất lực.","Phân tích của anh có bằng chứng rõ ràng, kết luận đương nhiên không thể nghi ngờ.","Trước câu hỏi bí mật thương mại, người phát ngôn nói không tiện trả lời."
Chapter 4,足以,Cách 1: Bổ ngữ cho hành động: “đủ để / đủ sức để” đạt ngưỡng cần thiết cho kết quả.,Kinh nghiệm tích lũy vài năm qua đủ để anh đảm đương vị trí trưởng nhóm.,Chỉ một chứng cứ sắt nét này đã đủ lật ngược mọi lời nói dối trước đây của bị cáo.,Tiếng piano du dương ngoài cửa đủ xoa dịu mọi bức bối và lo âu trong lòng anh.
Chapter 4,足以,Cách 2: Phủ định hoặc câu hỏi tu từ (不足以 / 难道不……): không đủ / liệu có đủ.,"Một số cách thanh toán tiện lợi, nhưng chỉ vậy thôi chưa đủ thu hút mọi người già.",Lời xin lỗi miệng không đủ bù thiệt hại tài chính do bất cẩn gây ra.,Chỉ khó khăn nhỏ thế này đã đủ khiến anh bỏ ước mơ âm nhạc bấy lâu sao?
Chapter 4,随之而起,Thành ngữ văn: “theo đó mà nảy sinh”; hiện tượng phụ xuất hiện ngay sau sự kiện chính.,"Smartphone phổ cập, ngành thanh toán di động và livestream bùng nổ theo đó.","Sếp đề xuất phương án táo bạo, tiếng nghi ngờ trong công ty dậy lên ngay.","Phong trào văn hóa truyền thống hồi sinh toàn cầu, xưởng Hán phục và thương hiệu cổ phong mọc lên theo."
