"Chapter","Grammar Point","Use Case / Meaning","Example 1","Example 1 English","Example 2","Example 2 English","Example 3","Example 3 English"
"Chapter 3","就算……也……","Hypothetical concessive: 'Even if'. Most colloquial and common in daily spoken Chinese. Deals with realistic hypothetical scenarios that won't alter the outcome.","就算明天下大雨，我们也一定要去爬山。","Even if it rains heavily tomorrow, we must go mountain climbing.","就算你不说，我也猜得到是谁干的。","Even if you don't say it, I can still guess who did it.","就算这次考试没通过，你也不能失去信心。","Even if you don't pass the exam this time, you cannot lose your confidence."
"Chapter 3","即便……也……","Hypothetical concessive: 'Even if / Even though'. More formal and written (书面语) than 就算. Carries a smoother, more objective tone used in news or formal contexts.","即便面临巨大的经济压力，公司也不应该降低产品的质量。","Even if faced with massive financial pressure, the company should not sacrifice product quality.","即便你拥有再高超的技术，不努力也无法在比赛中夺冠。","Even if you possess the most superb skills, you cannot win the championship without hard work.","即便是过去了很多年，那段童年的美好记忆也依然清晰如初。","Even if many years have passed, those beautiful childhood memories remain as clear as ever."
"Chapter 3","哪怕……也……","Hypothetical concessive: 'Even if'. Carries a strong emotional tone of resolution, sacrifice, or willingness to face the absolute worst-case scenario or extreme hardship.","哪怕只有百分之一的希望，我们也要付出百分之百的努力。","Even if there is only a one percent hope, we must put in one hundred percent effort.","为了实现梦想，哪怕吃再多苦，他也觉得心甘情愿。","To achieve his dream, even if he has to suffer much bitterness, he feels it is completely worth it.","哪怕全天下的人都反对我，我也要坚持自己的选择。","Even if the whole world opposes me, I will still stand by my choice."
"Chapter 3","纵然……也……","Hypothetical concessive: 'Even if / Even though'. The most literary, formal, and poetic of the group. Rarely used in casual speech; found in literature and essays.","纵然千山万水，也阻挡不了我想回家的脚步。","Even across thousands of mountains and rivers, nothing can stop my steps from returning home.","纵然他有千般不是，你也不应该当众动手打人。","Even if he has a thousand faults, you still should not resort to hitting him in public.","经典文学的魅力，纵然历经千百年的时光，也绝不会消逝。","The charm of classic literature will never fade, even if it endures hundreds or thousands of years of time."
"Chapter 3","多多","Use Case 1: Adverbial before verbs meaning 'do more of [something]'. Used in polite requests, formal correspondence, or giving advice.","这是一个全新的项目，以后还请大家多多关照。","This is a brand-new project; please look after/help me a lot in the future.","新产品的设计难免有不足之处，还请各位专家多多包涵。","The design of the new product inevitably has shortcomings; we hope the experts will show plenty of understanding/forbearance.","到了新学校后，你一定要和同学们多多交流，尽快适应新环境。","After arriving at the new school, you must communicate a lot with your classmates to adapt to the new environment as soon as possible."
"Chapter 3","多多","Use Case 2: Post-modifier meaning 'and more / plus' or fixed idiom meaning 'the more, the better' (多多益善).","这种关键的救援物资多多益善，越多越好。","This kind of critical rescue supply follows 'the more, the better' principle—the more, the better.","只要能学到真本事，吃苦多多又有何妨？","As long as one can learn real skills, what does it matter if there is a lot of hardship?","谈到买书的预算，对我来说那是韩信点兵，多多益善。","When it comes to the budget for buying books, for me it's like Han Xin counting troops—the more, the better."
"Chapter 3","动词+不再","Cessation indicator: 'No longer [verb]' or 'stop [doing something]'. Marks a definitive end to an action or state that used to happen in the past.","听到这个好消息后，他心里的焦虑彻底消失不再。","After hearing this good news, the anxiety in his heart completely disappeared and was no longer present.","青春一去复不再，我们一定要珍惜当下的好时光。","Youth goes and returns no more; we must cherish the good times of the present.","随着新规定的出台，原先繁琐的审批流程已简化不再。","With the release of the new regulations, the original tedious approval process has been simplified out of existence."
"Chapter 3","动词+免不了","Inevitability marker: 'Unavoidable', 'bound to happen', or 'cannot escape'. Indicates that an outcome or reaction is natural and impossible to prevent.","新手第一次开车上路，心里免不了会有些紧张。","When a beginner drives on the road for the first time, they naturally cannot avoid feeling a bit nervous.","两个性格完全不同的人住在一起，日常生活中免不了产生摩擦。","When two people with completely different personalities live together, they are bound to experience friction in daily life.","他因为粗心给公司造成了损失，这次免不了要受到经理的批评。","Because his carelessness caused a loss for the company, he cannot escape being criticized by the manager this time."
"Chapter 3","八成/七成/九成/X成","Use Case 1: Describing exact percentages or literal proportions where each '成' represents 10% of a total.","调查显示，这家公司有将近七成的员工对目前的薪资表示满意。","Surveys show that nearly 70% of this company's employees are satisfied with their current salary.","今年因为天气原因，果园里的苹果减产了两成左右。","This year, due to weather reasons, apple production in the orchard decreased by about 20%.","这份合同规定，项目的利润你拿六成，我拿四成。","This contract stipulates that you take 60% of the project profits, and I take 40%."
"Chapter 3","八成/七成/九成/X成","Use Case 2: Colloquial Adverb meaning 'most likely / in all probability' (typically restricted to 八成 or 九成). High subjective confidence.","天阴得这么厉害，看样子八成是要下大雨了。","The sky is so dark; looking at it, it is most likely going to rain heavily.","他到现在还没回信息，我猜他九成是把这件事给忘了。","He hasn't replied to the message yet; I guess odds are that he forgot about it.","看他一整天都魂不守舍的，八成是遇到了什么烦心事。","Seeing him absent-minded all day, he most likely ran into some troubling matters."
