Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,"Sert à énumérer plusieurs activités ou raisons simultanées, souvent pour exprimer qu'on est débordé. « À la fois [X], et [Y], et en plus [Z]… »"
Chapter 5,再……再……也……,"Insiste sur le fait que, quelle que soit l'extrémité de la condition ou l'effort fourni, le résultat ne changera pas. « Même si [X] ou [Y], quand même… »"
Chapter 5,……得不能再……了,Structure superlative : quelque chose a atteint sa limite absolue. « Tellement [X] qu'on ne pourrait pas être plus [X] »
Chapter 5,可……可……,"Indique une flexibilité ou un choix : l'action peut se faire de l'une ou de l'autre façon, selon la préférence ou une double capacité. « On peut [X] ou on peut [Y] »"
Chapter 5,取决于……,Indique qu'un résultat dépend entièrement d'une condition ou d'un facteur. « Cela dépend de… / est déterminé par… »
Chapter 5,……是……了点儿，不过……,"Concede un petit défaut, puis oppose un point positif plus important. « [X] est un peu trop [adjectif], mais… »"
Chapter 7,……都……了，哪能跟……比呀,"Question rhétorique soulignant un contraste énorme, comme si la comparaison était impossible. « [X] en est déjà là, comment pourrait-on le comparer à [Y] ? »"
Chapter 7,……了事,"Régler une affaire de façon négligée ou expéditive, juste pour en finir. « En faire le minimum pour que ce soit fini / bâcler »"
Chapter 7,……则……，……不……则……,"Structure conditionnelle formelle ou écrite : « Si [condition], alors [A] ; sinon, [B] »"
Chapter 7,不失为,"Façon formelle de dire que quelque chose reste un bon choix ou une bonne méthode, même s'il n'est pas parfait. « Peut encore passer pour / n'est pas mal comme… »"
Chapter 7,为了……起见，……,"Indique le motif ou la précaution derrière une action préventive. « Pour le bien de [sécurité, commodité, etc.], [action]… »"
Chapter 7,……是……，……是……,"Insiste sur le fait que deux choses sont distinctes et ne doivent pas être confondues. « [X], c'est [X], et [Y], c'est [Y] »"
Chapter 8,……而已,"En fin de phrase, minimise l'importance, l'ampleur ou la valeur de quelque chose. « Ce n'est que… / rien de plus que… / simplement »"
Chapter 8,……的可怜,"Modifie un verbe ou un adjectif pour dire qu'une quantité, une fréquence ou un état est pitoyablement faible. « Pitoyablement [petit/peu/pauvre] »"
Chapter 8,……透了,"Suit un verbe ou un adjectif pour marquer un degré extrême, souvent négatif ou épuisant. « Complètement / à fond / jusqu'au bout »"
Chapter 8,可想而知,L'idiome indique qu'on peut facilement deviner le résultat ou la difficulté à partir des faits. « On peut bien imaginer / il va de soi que… »
Chapter 8,想也/都别想,Refus catégorique et familier d'une idée ou d'une demande irréaliste. « N'y pense même pas ! / hors de question ! »
Chapter 8,难以……,Suivi d'un verbe dissyllabique pour dire qu'une action est difficile ou impossible. « Difficile de… / il est difficile de… »
Chapter 9,时不时地……,"Une action se produit souvent, mais à intervalles irréguliers. « De temps en temps / de temps à autre »"
Chapter 9,……得够呛 （……真够呛）,"Expression familière : une situation, un sentiment ou un état est insupportable ou très dur. « À un point insupportable / dans un sale état »"
Chapter 9,……，不仅如此……,"Introduit un détail supplémentaire, souvent plus fort que le précédent. « …, et non seulement cela, mais aussi… / en outre »"
Chapter 9,不……则已，一……就得（要）……,"Si l'on ne fait pas [X], rien ne se passe ; mais une fois qu'on le fait, cela entraîne aussitôt une conséquence extrême. « Dès qu'il/elle [X], il/elle va jusqu'au bout »"
Chapter 9,……得慌,S'associe à certains adjectifs ou verbes psychologiques pour une sensation physique ou mentale insupportable. « Terriblement [anxieux/ennuyé/étouffé/paniqué] »
Chapter 9,（饱/忍/大）受（尽）……之苦,"Subir pleinement une douleur, une épreuve, une détresse ou une maladie. « Souffrir profondément de / endurer les affres de… »"
