Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,liés par des liens familiaux ou anciens,"Nous sommes de vieilles villes liées par des liens familiaux, donc la rencontre se sent particulièrement chaleureuse.",Décrit la parenté ou une longue connaissance.
Chapter 3,妙龄,prime de la jeunesse (pour les femmes),"Sur la photo, Mère était dans la fleur de sa jeunesse, avec un sourire éclatant.","Littéraire, souvent écrit."
Chapter 3,飘然而至,arriver à la légère ; apparaître gracieusement,Le souffle du printemps arriva légèrement sur la brise chaude.,Description littéraire de l'arrivée.
Chapter 3,去世,passer,"Après la mort de maman, la famille a gardé les vêtements de printemps qu'elle portait.",L'euphémisme poli pour la mort.
Chapter 3,心中,dans son cœur; intérieurement,"En lisant cette lettre, elle s'est sentie à nouveau aspirante pour sa mère dans son cœur.",Souvent dans la narration littéraire.
Chapter 3,泛起,Bien haut; montée (de sentiments),Le fait de mentionner le passé lui a apporté une lueur de larmes aux yeux.,Utilisé pour les émotions ou les ondulations.
Chapter 3,追思,chérir la mémoire de (le défunt),"Chaque Qingming, il va dans la tombe pour chérir la mémoire de sa mère.",Un souvenir formel.
Chapter 3,惆怅,mélancolie; triste,"De vieux objets remirent des souvenirs, la laissant un peu mélancolique.",Mot d'humeur littéraire.
Chapter 3,装束,robe; tenue,"Son costume était simple et élégant, il convenait à une femme professionnelle.",Peut aussi être utilisé comme verbe par écrit.
Chapter 3,时髦,à la mode; élégant,Ce manteau était très à la mode alors et ne semble toujours pas daté.,Souvent sur les vêtements.
Chapter 3,发型,coiffure,Elle a changé pour une coiffure fraîche et avait l'air beaucoup plus énergique.,Description de l'apparence commune.
Chapter 3,脐,nombril; bouton ventre,"Quand les pantalons de taille basse étaient populaires, les hauts à barreaux midriff ont suscité beaucoup de discussions.",Terme d'anatomie/d'habillement.
Chapter 3,触目惊心,choquant; étonnement,Un tel gaspillage est vraiment choquant à voir.,Fort impact visuel négatif.
Chapter 3,征集,recueillir; solliciter,"La revue sollicite des essais, et il en a soumis un sur sa mère.",Commun dans l'édition.
Chapter 3,文集,travaux collectés; anthologie,Cette anthologie rassemble les écrits de l'auteur sur les vêtements et la mémoire.,Terme de publication.
Chapter 3,附录,Annexe,L'annexe comprend les premières photos et les enregistrements de la taille des vêtements.,Terme académique/livre.
Chapter 3,谈吐,la manière de parler; diction,"Elle parle avec calme, révélant une bonne éducation.",Se réfère au style de la parole.
Chapter 3,得体,approprié; approprié,L'habillage approprié est très important dans une entrevue.,Loué pour le bien-fondé.
Chapter 3,就算,même si; accordé que,"Même si le style était daté, Mère ne pouvait pas supporter de jeter ce vêtement.",Connecteur concessif.
Chapter 3,推敲,polir la formulation; délibéré,Il a poli le titre de cet essai pendant longtemps avant de s'y fixer.,De l'histoire de Jia Dao.
Chapter 3,眼影,ombre oculaire,Elle n'applique qu'une légère touche d'ombre à paupières et semble rafraîchie.,Le vocabulaire du maquillage.
Chapter 3,灰晶,cristal grisâtre,Cette ombre à paupières grisâtre teinte de cristal convient au maquillage quotidien.,Terme de couleur spécifique au texte.
Chapter 3,唇膏,rouge à lèvres,Elle a choisi un rouge à lèvres léger pour correspondre à sa tenue de printemps simple.,Maquillage.
Chapter 3,面容,traits du visage; visage,"Sur la vieille photo, le visage de Mère était doux et ferme.",Formel/littéraire pour visage.
Chapter 3,别扭,inconfortable; inconfortable,"La taille est fausse, donc porter ce vêtement est gênant.",Peut décrire des relations ou des vêtements.
Chapter 3,借题发挥,utiliser un sujet comme prétexte pour faire un point,"Il ne parlait pas vraiment de vêtements, mais de leur utilisation comme prétexte pour discuter de la consommation.",Ton souvent critique.
Chapter 3,俏,joli; vif et charmant,La tenue de printemps la rendait particulièrement jolie.,Souvent pour les femmes / apparence.
Chapter 3,酷,frais; élégant,Elle pense que les cheveux courts avec un manteau de tranchée sont cool.,Utilisation de mots de prêt.
Chapter 3,时尚,mode; tendance,"La mode change rapidement, mais les styles classiques durent plus longtemps.",Peut être nom ou adjectif.
