"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"Chapter 1","两手空空","liǎng shǒu kōngkōng","手里没有什么东西。","empty-handed","形","～地回来；～而归；两手～","中性","他去求职，结果两手空空地回来了。","He went to look for a job but came back empty-handed.","Used for having no possessions or results.","","一无所有"
"Chapter 1","蒸蒸日上","zhēngzhēng rì shàng","比喻事业一天天向上发展。","flourishing","动","生意～；事业～；发展～","褒义","祝您的公司业务蒸蒸日上。","I wish your company's business flourishes more every day.","Commonly used in well-wishes for business.","","兴旺"
"Chapter 1","价位","jiàwèi","指商品和服务价格所处的档次。","price level","名","～适中；～合理；高～","中性","这件衣服的价位属于中等。","The price level of this clothing is medium.","Used to categorize products by cost.","","价格"
"Chapter 1","适中","shìzhōng","合适，不太贵也不太便宜。","moderate","形","价格～；温度～；大小～","中性","这家餐厅的价格适中，味道也不错。","This restaurant's prices are moderate and the taste is good.","Often refers to price, size, or degree.","","合适"
"Chapter 1","派头","pàitóu","气派。","style; manner","名","有～；大～；摆～","中性","他穿上西装后，很有大老板的派头。","After putting on a suit, he has the manner of a big boss.","Can be slightly ironic depending on context.","","气派"
"Chapter 1","高档","gāodàng","高级档次的（商品、服务等）。","high-end","形","～住宅；～酒店；～餐厅","褒义","这条街上有很多高档商店。","There are many high-end shops on this street.","Opposite of 低档.","","高级"
"Chapter 1","露天","lùtiān","在房屋外，没有遮挡。","open-air","名","～影院；～市场；～音乐会","中性","夏天我们喜欢去露天游泳池。","We like going to open-air swimming pools in summer.","Used for outdoor venues.","","室外"
"Chapter 1","风吹日晒","fēngchuī rìshài","寒风吹，烈日晒。","exposed to the weather","动","经受～；长期～；不怕～","中性","建筑工人们每天都要经受风吹日晒。","Construction workers are exposed to the wind and sun every day.","Describes harsh outdoor working conditions.","","饱经风霜"
"Chapter 1","车位","chēwèi","停车的位置。","parking space","名","找～；占～；没有～","中性","在这个商场找个车位真不容易。","It's really not easy to find a parking space in this mall.","Common in urban life.","","车库"
"Chapter 1","代步工具","dàibù gōngjù","代替走路的交通工具。","means of transport","名","主要的～；～首选；以...为～","中性","自行车是他主要的代步工具。","The bicycle is his main means of transport.","Literally ""tool to replace walking.""","","交通工具"
"Chapter 1","中档","zhōngdàng","中等档次的。","mid-range","形","～商品；～市场；～消费","中性","这家酒店的定位是中档市场。","This hotel targets the mid-range market.","Between high-end and low-end.","","普通"
"Chapter 1","实惠","shíhuì","有实际的好处。","affordable; practical","形","经济～；价格～；～耐用","褒义","去批发市场买东西既方便又实惠。","Buying things at the wholesale market is both convenient and affordable.","Focuses on getting value for money.","","实惠"
"Chapter 1","固定资产","gùdìng zīchǎn","不变动、不移动的资产。","fixed assets","名","投资～；增加～；管理～","中性","房产和机器属于公司的固定资产。","Real estate and machinery are fixed assets of the company.","Accounting and business term.","","财产"
"Chapter 1","客户","kèhù","顾客，客商。","customer; client","名","开发新～；老～；服务～","中性","我们需要诚恳地对待每一位客户。","We need to treat every client sincerely.","Common in business settings.","","顾客"
"Chapter 1","实力","shílì","实在的力量。","strength; power","名","～雄厚；～相当；有～","中性","他的比赛表现证明了他的实力。","His performance in the match proved his strength.","Used for companies, athletes, or countries.","","能力"
"Chapter 1","贷款","dàikuǎn","从银行借钱。","loan; to provide a loan","动","申请～；～买房；银行～","中性","他打算贷款买一套新房子。","He plans to take out a loan to buy a new house.","Can be a noun or a verb.","","借款"
"Chapter 1","包装","bāozhuāng","指打扮自己或商品的装饰。","packaging; self-promotion","动","～自己；～产品；过度～","中性","现代艺人都需要经过专业的包装。","Modern artists all need professional packaging/branding.","Can refer to physical boxes or image branding.","","装潢"
"Chapter 1","合身","héshēn","(衣服等)穿在身上很合适。","well-fitting","形","非常～；～得体；衣服～","中性","这件西装穿在他身上非常合身。","This suit fits him very well.","Only used for clothing.","","合适"
"Chapter 1","量身定做","liáng shēn dìng zuò","根据身体的尺寸特制做的。","tailor-made","动","～服务；～方案；～服装","中性","这套礼服是请名家量身定做的。","This gown was tailor-made by a famous designer.","Can be used for specific plans or solutions.","","定制"
"Chapter 1","质地","zhìdì","某种材料的性质。","texture; quality","名","～坚硬；～柔软；～上乘","中性","这种面料质地柔软，穿着舒服。","This fabric has a soft texture and is comfortable to wear.","Used for physical materials.","","质量"
"Chapter 1","手感","shǒugǎn","手摸上去的感觉。","feel; touch","名","～不错；～柔软；～好","口语","这件毛衣的手感非常暖和。","This sweater feels very warm to the touch.","Usually used for fabrics or products.","","摸"
"Chapter 1","做工","zuògōng","指制作的技术和质量。","workmanship","名","～细腻；～精细；～考究","中性","这件手工制品的做工非常讲究。","The workmanship of this handmade product is very exquisite.","Focuses on how something was made.","","工艺"
"Chapter 1","赠品","zèngpǐn","赠送的物品。","gift; freebie","名","附送～；促销～；买一送一的～","中性","超市里买大桶油常有赠品。","Supermarkets often give freebies when you buy large jugs of oil.","Common in retail.","","礼物"
"Chapter 1","情结","qíngjié","深藏心底的感情。","complex; attachment","名","怀旧～；故乡～；文化～","中性","老一辈人对土地总有一种深厚的情结。","The older generation always has a deep attachment to the land.","Psychological term used broadly.","","情节"
"Chapter 1","信誉","xìnyù","信用和名誉。","reputation; credit","名","～卓著；～良好；建立～","褒义","企业的信誉是生存的根本。","A company's reputation is the root of its survival.","Used for businesses or individuals.","","名誉"
"Chapter 1","代名词","dàimíngcí","替代某种事物的词语。","synonym; pronoun","名","成为...的～；...的～；相当于～","中性","在很多人眼中，这种跑车就是财富的代名词。","For many, this sports car is a synonym for wealth.","Used metaphorically.","","绰号"
"Chapter 1","钟有独钟","qíng yǒu dú zhōng","对某事或事物有特别喜爱的感情。","have a soft spot for","动","对她～；对...～；情有独钟","褒义","他对中国书法情有独钟。","He has a special liking for Chinese calligraphy.","Usually written as 情有独钟.","","偏爱"
"Chapter 1","一概","yīgài","全部如此，没有例外。","all; without exception","副","～拒绝；～否定；～不知","中性","这些要求被他一概否定了。","He rejected all these requests without exception.","Used for categorical statements.","","一律"
"Chapter 1","大款","dàkuǎn","拥有较多钱财的人。","tycoon; rich person","名","当了～；像个～；～派头","口语","他创业成功后成了一个大款。","He became a tycoon after his business succeeded.","Informal term.","","富翁"
"Chapter 1","崇拜","chóngbài","崇敬、敬佩。","worship; adore","动","～偶像；～明星；～英雄","中性","学生们都很崇拜这位杰出的科学家。","The students all adore this outstanding scientist.","High level of respect.","","敬佩"
"Chapter 1","攀比","pānbǐ","多指在物质方面跟别人比较。","keep up with the Joneses","动","盲目～；互相～；～心理","贬义","我们不应该在生活上互相攀比。","We shouldn't compete with each other in terms of lifestyle.","Usually negative.","","比较"
"Chapter 1","一掷千金","yí zhì qiān jīn","形容挥霍无度，花钱很大。","spend money like water","动","～的行为；～消费；～一把","贬义","他为了赌博不惜一掷千金。","He didn't hesitate to spend money like water on gambling.","Describes extreme extravagance.","","挥霍"
"Chapter 1","身份","shēnfèn","指人的社会地位。","status; identity","名","～地位；～证；～象征","中性","请出示您的身份证明。","Please show your identity certification.","Status in society or personal ID.","","地位"
"Chapter 1","陷入","xiànrù","处于不利的境地。","fall into","动","～沉思；～困境；～危机","贬义","国家陷入了长期的经济衰退。","The country fell into a long economic recession.","Often used with negative states.","","陷入"
"Chapter 1","怪圈","guàiquān","比喻难以摆脱的现象。","vicious circle","名","逃出～；陷入～；走出～","贬义","很多企业都陷入了降价竞争的怪圈。","Many companies have fallen into the vicious circle of price wars.","A ""strange circle"" of events.","","恶性循环"
"Chapter 1","图","tú","为了，贪图。","seek; aim for","动","～方便；～省钱；～省事","口语","他这样做只是图个名声。","He did this just to seek fame.","Focusing on a specific benefit.","","贪图"
