"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"November 2025/专用名词；PKU Sem1 文学课/专有名词","呼伦贝尔","hūlúnbèi","Hulun Buir (grassland)；Hulun Buir (grassland)","Hulun Buir (grassland)；Hulun Buir (grassland)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词；PKU Sem1 文学课/专有名词","成吉思汗","chéngjísīhán","Genghis Khan (1162-1227)；Genghis Khan (1162-1227)","Genghis Khan (1162-1227)；Genghis Khan (1162-1227)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词；PKU Sem1 文学课/专有名词","重阳","chóngyáng","the Double Ninth Festival (the 9th day of the 9th lunar month)；Double Ninth or Yang Festival；9th day of 9th lunar month；the Double Ninth Festival (the 9th day of the 9th lunar month)；Double Ninth or Yang Festival；9th day of 9th lunar month","the Double Ninth Festival (the 9th day of the 9th lunar month)；Double Ninth or Yang Festival；9th day of 9th lunar month；the Double Ninth Festival (the 9th day of the 9th lunar month)；Double Ninth or Yang Festival；9th day of 9th lunar month","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"October 2025/专用名词；November 2025/生词；PKU Sem1 文学课/专有名词","香橼","xiāngyuán","botany citron (Citrus medica)；botany citron (Citrus medica)；botany citron (Citrus medica)","botany citron (Citrus medica)；botany citron (Citrus medica)；botany citron (Citrus medica)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","八仙桌","bāxiānzhuō","old fashioned square table to seat eight people","old fashioned square table to seat eight people","名","","中性","","","","",""
"PKU Sem1 文学课/专有名词","康乃馨","kāng nǎi xīn","carnation","carnation","名","","中性","","","","",""
"PKU Sem1 文学课/专有名词","张大千","zhāng dàqiān","(1899-1983) N. internationally known painter","(1899-1983) N. internationally known painter","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","张爱玲","zhāng àilíng","Eileen Chang (1920-1995), famous Chinese-American novelist","Eileen Chang (1920-1995), famous Chinese-American novelist","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","栾","luán","B.F. , bot. goldenrain tree in luánshù N. Surname","B.F. , bot. goldenrain tree in luánshù N. Surname","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","泰坦尼克号","tàitǎnníkè hào","RMS Titanic, British passenger liner that sank in 1912","RMS Titanic, British passenger liner that sank in 1912","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","癌转移","ái zhuǎnyí","the metastasis of a carcinoma","the metastasis of a carcinoma","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","石绿","shí","malachite green (a green pigment made from malachite, often used in traditional Chinese painting)","malachite green (a green pigment made from malachite, often used in traditional Chinese painting)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","石青","shíqīng","azurite blue (a blue pigment made from azurite, often used in traditional Chinese painting)；azurite；copper azurite 2CuCO3-Cu(OH)2；azure blue","azurite blue (a blue pigment made from azurite, often used in traditional Chinese painting)；azurite；copper azurite 2CuCO3-Cu(OH)2；azure blue","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","金丝","jīn sī","literally Gold Thread , a high-grade tuocha (沱茶) manufactured by the Xia Guan (下关) factory；more generally, a term applied to bud-only hongcha (红茶、烘茶)","literally Gold Thread , a high-grade tuocha (沱茶) manufactured by the Xia Guan (下关) factory；more generally, a term applied to bud-only hongcha (红茶、烘茶)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"PKU Sem1 文学课/专有名词","黄鼠狼","huángshǔláng","Siberian weasel (Mustela sibirica)","Siberian weasel (Mustela sibirica)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
