"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"December 2025","不失为","bùshī wéi","P. may after all be accepted/considered as","P. may after all be accepted/considered as","名","","中性","","","","",""
"December 2025","不好说","bù hǎoshuō","unpleasant to say or speak of；causing difficulties；not sure/certain","unpleasant to say or speak of；causing difficulties；not sure/certain","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","不容","bù róng","AUX. not tolerate/brook V. not welcome；must not；cannot；to not allow","AUX. not tolerate/brook V. not welcome；must not；cannot；to not allow；cannot tolerate","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","两面性","liǎngmiànxìng","事物具有的两个相对方面或特点。","dual nature；two-sidedness","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","主流","zhǔliú","main stream/current；essential/main aspect/trend；main stream (of a river)；fig. the essential point","main stream/current；essential/main aspect/trend；main stream (of a river)；fig. the essential point；main viewpoint of a matter；mainstream (culture etc)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","低头族","dītóuzú","smartphone addicts","smartphone addicts","名","","中性","","","","",""
"December 2025","十全十美","shíquánshíměi","perfect in every way；complete and beautiful；比喻be perfect (idiom)","perfect in every way；complete and beautiful；to be perfect","成语","","中性","天下没有十全十美的事。","Tiānxià méiyǒu shíquánshíměi de ²shì.","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025","双刃剑","shuāngrènjiàn","double-edged sword","double-edged sword","名","","中性","","","","",""
"December 2025","媒体","méitǐ","media；information；news brief","media；information；news brief","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","小觑","xiǎoqù","V. look at with contempt；轻视；to have contempt for","V. look at with contempt；to despise；to have contempt for","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","常态","chángtài","N. normality","N. normality","名","","中性","他受了惊吓, 好一会儿才恢复常态。","Tā shòule jīngxià, hǎo yị̄huìr cái huīfù chángtài.","","",""
"December 2025","机制","jīzhì","ATTR. machine-processed N. mechanism","ATTR. machine-processed N. mechanism","名","","中性","","","","",""
"December 2025","游山玩水","yóushānwánshuǐ","F.E. go on a scenic tour","F.E. go on a scenic tour","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025","电视剧","diànshìjù","N. TV play/drama；TV series；TV drama；CL:部[bu4]","N. TV play/drama；TV series；TV drama；CL:部","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","监督","jiāndū","V. supervise；superintend","V. supervise；superintend","名","","中性","他在假释期间必须受到监督。","Tā zài jiǎshì qījiān bìxū shòudào jiāndū.","一词多义，结合上下文判断具体义项。","",""
"December 2025","监管","jiānguǎn","V. keep watch on (prisoners/etc.)；to oversee；to take charge of；to supervise","V. keep watch on (prisoners/etc.)；to oversee；to take charge of；to supervise；to administer；supervisory；supervision","名","","中性","工地上的事儿由他监管。","Gōngdì shang de shìr yóu tā jiānguǎn.","一词多义，结合上下文判断具体义项。","",""
"December 2025","认同","rèntóng","have a meeting of minds；identify N. identification；to approve of；to endorse","have a meeting of minds；identify N. identification；to approve of；to endorse；to acknowledge；to recognize；to identify oneself with","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","话语权","huàyǔquán","power of discourse","power of discourse","名","","中性","","","","",""
"December 2025","负面","fùmiàn","N. reverse/negative side；negative；the negative side","N. reverse/negative side；negative；the negative side","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025","违法乱纪","wéifǎluànjì","F.E. violate law and discipline；(lit.) to break the law and violate the rules (idiom)；(fig.) misconduct","F.E. violate law and discipline；(lit.) to break the law and violate the rules；(fig.) misconduct","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"December 2025/生词","三文治","sānwénzhì","(loanword) sandwich","(loanword) sandwich","名","","中性","","","","",""
"December 2025/生词","三明治","sānmíngzhì","N. , loan sandwich","N. , loan sandwich","名","","中性","","","","",""
"December 2025/生词","下酒","xiàjiǔ","be appropriate to have with alcohol；down one's drink","to be appropriate to have with alcohol；to down one's drink","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"December 2025/生词","不妨","bùfáng","there is no harm in","there is no harm in","名","不妨一试","中性","不妨一试。","Bùfáng yī shì.","","",""
"December 2025/生词","世人","shìrén","people (in general)；people around the world；everyone","people (in general)；people around the world；everyone","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025/生词","世界级","shìjièjí","ATTR. world-class","ATTR. world-class","名","","中性","","","","",""
"December 2025/生词","主持人","zhǔchírén","N. host；anchor；chair","N. host；anchor；chair","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025/生词","主食","zhǔshí","staple/principal food","staple/principal food","名","我的主食是米饭","中性","我的主食是米饭。","Wǒ de zhǔshí shì mǐfàn.","","",""
"December 2025/生词","乌托邦","wūtuōbāng","Utopia","Utopia","名","","中性","","","","",""
"December 2025/生词","乖僻","guāipì","eccentric；odd；unreasonable","eccentric；odd；unreasonable","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"December 2025/生词","予","yǔ","give；grant；bestow 不予批准 bùyǔ pīzhǔn reject；turn down 给予罚款 gěi yǔ fákuǎn fine sb","give；grant；bestow 不予批准 bùyǔ pīzhǔn reject；turn down 给予罚款 gěi yǔ fákuǎn fine sb","名","不予批准；给予罚款；免予处分；请予批示","中性","不予批准 bùyǔ pīzhǔn reject; turn down 给予罚款 gěi yǔ fákuǎn fine sb.; levy a fine on sb. 免予处分 Miǎn yǔ chǔfèn exempt sb. from punishment 请予批示。","Miǎn yǔ chǔfèn exempt sb.","一词多义，结合上下文判断具体义项。","",""
"December 2025/生词","事业","shìyè","cause；undertaking；enterprise；facilities；career；pursuit；service","cause；undertaking；enterprise；facilities；career；pursuit；service；project；activity；(charitable, political or revolutionary) cause；publicly funded institution, enterprise or foundation；occupation；CL:個|个","名","","中性","他一辈子从事教育事业。","Tā yị̄bèizi cóngshì jiàoyù shìyè.","一词多义，结合上下文判断具体义项。","",""
"December 2025/生词","交加","jiāojiā","(of two or more things) to occur at the same time；to be mingled；to accompany each other","(of two or more things) to occur at the same time；to be mingled；to accompany each other","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
