"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"Chapter 5","督促","dūcù","监督并催促。","supervise and urge","动","～学习；表达～；尊重～","中性","家长应该督促孩子按时完成作业。","Parents should urge their children to finish homework on time.","Pushing for action.","","催促"
"Chapter 5","考级","kǎo jí","参加专业定级考试。","take a grade exam","动","参加钢琴～；一片～；理解～","中性","很多家长在暑假期间带孩子去参加钢琴考级。","Many parents take their children for piano grade exams during summer break.","Standardized skill testing.","","考试"
"Chapter 5","奢望","shēwàng","过高的希望。","wild hope; extravagant demand","名","不敢～；～太高；降低～","贬义","对他来说，能吃顿饱饭就是一种奢望。","For him, being able to eat a full meal is an extravagant hope.","Unrealistic expectation.","","期望"
"Chapter 5","熏陶","xūntáo","长期接触好的事物而受到影响。","influence (positively); nurture","动","受到～；艺术～；在…环境中～","褒义","他从小在书香门第长大，受到很好的传统文化熏陶。","He grew up in a scholarly family and received a fine traditional cultural influence.","Gradual positive influence over time.","","感染"
"Chapter 5","高雅","gāoyǎ","高尚，不庸俗。","refined; elegant","形","～的艺术；～情趣；举止～","褒义","这家音乐厅经常举办高雅艺术演出。","This concert hall often hosts refined artistic performances.","Describes taste, art, or manner.","","文雅"
"Chapter 5","就业","jiùyè","得到职业，参加工作。","employment; get a job","动","～机会；～问题；～形势","中性","政府正在努力通过多种渠道解决大学生就业问题。","The government is working hard to solve graduate employment through various channels.","Joining the workforce.","","失业"
"Chapter 5","意愿","yìyuàn","愿望，心愿。","aspiration; desire","名","尊重个人～；表达～；个人～","中性","我们应该尊重孩子选择专业的个人意愿。","We should respect children's personal aspirations when choosing a major.","One's own will.","","愿望"
"Chapter 5","苦心","kǔxīn","辛苦地用在某些事上的心思。","painstaking effort","名","一片～；辜负～；体会～","褒义","父母的这一片苦心，你现在还不能完全理解。","You can't fully understand your parents' painstaking efforts yet.","Great care and thought.","","操心"
"Chapter 5","期望值","qīwàng zhí","希望的程度。","expectation level","名","～过高；提高～；降低～","中性","如果期望值定得太高，很容易产生挫败感。","If the expectation level is set too high, it's easy to feel frustrated.","Degree of hope.","","期望"
"Chapter 5","鹏程万里","péngchéng wànlǐ","比喻前程非常远大。","have a bright future ahead","祝福","祝你～；～的祝福；前程～","褒义","祝你学业进步，鹏程万里。","I wish you academic progress and a bright future ahead.","Common congratulatory idiom.","","前程似锦"
"Chapter 5","料","liào","预料；估计。","expect; anticipate","动","没～到；～事如神；～不到","中性","我料他今天不会来，没想到他提前到了。","I expected he wouldn't come today, but he arrived early.","Often used with 没/不.","","不料"
"Chapter 5","尽力而为","jìnlì ér wéi","用尽全力去做。","do one's best","动","只能～；～地去试；～做好","褒义","考试结果如何，只要尽力而为就没有遗憾。","Whatever the exam result, as long as you do your best, you will have no regrets.","Emphasizes effort, not outcome.","","全力以赴"
"Chapter 5","但愿","dànyuàn","只希望。","I only hope; if only","副","～如此；～平安；～你能成功","中性","但愿明天的天气晴朗，我们的活动能顺利进行。","I only hope the weather is clear tomorrow so our activity can go smoothly.","Expresses a sincere wish.","","希望"
"Chapter 5","成才","chéngcái","成为人才。","become a useful person","动","培养～；～之路；望子～","褒义","父母辛苦工作，就是为了供孩子读书成才。","Parents work hard just to support their children's education and success.","Achieving potential.","","成功"
"Chapter 5","包办","bāobàn","全部承担办理；也指家长替子女决定一切。","take charge of everything; arrange for someone","动","父母～；～婚姻；～一切","贬义","父母不应该包办孩子的所有人生选择。","Parents should not arrange every life choice for their children.","Often implies overcontrol.","","代劳"
"Chapter 5","心甘情愿","xīn gān qíng yuàn","从心底愿意。","be perfectly willing","动","～地付出；～吃苦；～奉献","中性","为了能让孩子受到更好的教育，父母心甘情愿吃苦。","To give their child a better education, parents are perfectly willing to endure hardship.","Total willingness.","","情愿"
"Chapter 5","心态","xīntài","心理状态。","mindset; attitude","名","调整～；保持～；积极～","中性","面对困难，保持一个积极乐观的心态很重要。","When facing difficulties, maintaining a positive and optimistic mindset is important.","State of mind.","","心理"
"Chapter 5","传授","chuánshòu","把知识、技艺教给别人。","pass on (knowledge)","动","～经验；～技艺；～知识","中性","老教授无私地向年轻人传授学术知识。","The old professor selflessly passed on academic knowledge to young people.","Teaching skills/wisdom.","","教授"
