Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,同時に起きている複数の事柄を並べ、忙しい・手一杯な様子を表す。「〜も〜も、さらに〜も…」。
Chapter 5,再……再……也……,どれほど極端な条件や努力をしても結果は変わらないことを強調する。「どんなに〜しても、どんなに〜しても、それでも…」。
Chapter 5,……得不能再……了,程度が限界まで達したことを表す最上級の構文。「〜というほど〜で、これ以上〜ない」。
Chapter 5,可……可……,どちらでもよい、選択の余地があることを示す。「〜でもよいし、〜でもよい」。
Chapter 5,取决于……,結果が特定の条件や要因に完全に左右されることを表す。「〜次第だ／〜によって決まる」。
Chapter 5,……是……了点儿，不过……,軽い欠点を認めたうえで、大きな長所を述べる。「〜は少し〜すぎるが、しかし…」。
Chapter 7,……都……了，哪能跟……比呀,二者の差が大きすぎて比較にならないことを強調する反語。「〜もこうなったのに、どうして〜と比べられるのか」。
Chapter 7,……了事,ぞんざいに片づけて終わらせること。「いい加減に済ませる／形だけ済ませる」。
Chapter 7,……则……，……不……则……,書き言葉的な条件構文。「〜なら…、〜しなければ…」。
Chapter 7,不失为,完璧ではなくても、依然としてよい選択・方法であることを表す。「〜といえる／悪くない〜だ」。
Chapter 7,为了……起见，……,予防的な行動の理由・動機を述べる。「〜のため、…する」。
Chapter 7,……是……，……是……,二つは別物であり混同してはいけないことを強調する。「〜は〜、〜は〜（別問題だ）」。
Chapter 8,……而已,重要性・規模・価値を小さく見せる文末表現。「〜にすぎない／ただの〜だ」。
Chapter 8,……的可怜,量・頻度・状態が極端に少ない・低いことを表す。「〜でかわいそうなほど／〜でみじめなほど」。
Chapter 8,……透了,程度が極限に達したことを表し、多くは強い否定的・徹底的なニュアンスを伴う。「すっかり〜だ／〜きりだ」。
Chapter 8,可想而知,状況から結果や困難さが容易に想像できることを表す。「想像に難くない／いかにも〜だろう」。
Chapter 8,想也/都别想,非現実的な要求を強く断る口語。「そんなこと考えるな／論外だ」。
Chapter 8,难以……,二音節の動詞と結び、行為が困難・不可能であることを表す。「〜しがたい／〜しにくい」。
Chapter 9,时不时地……,不規則に、ときどき行われることを表す。「ときどき〜する」。
Chapter 9,……得够呛 （……真够呛）,状況・感覚が耐えがたいほどひどいことを表す口語。「〜でたまらない／〜で大変だ」。
Chapter 9,……，不仅如此……,前の内容に加え、さらに程度の高い事柄を述べる。「…だけでなく、さらに…」。
Chapter 9,不……则已，一……就得（要）……,しなければ何も起きないが、一度すると極端な結果になることを強調する。「〜しなければよいが、〜するとすぐ…」。
Chapter 9,……得慌,不快・不安などが耐えがたいほど強いことを表す。「〜で息苦しい／〜でたまらない」。
Chapter 9,（饱/忍/大）受（尽）……之苦,特定の苦痛・苦難を深く味わう・耐え忍ぶ。「〜の苦しみにあう／〜の苦しみを味わう」。
