"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"December 2025/专用名词","三峡","sān xiá","P.W. the Three Gorges of the Yangtze River；Three Gorges on the Chang Jiang or Yangtze, namely: Qutang Gorge 瞿塘峽|瞿塘峡[Qu2 tang2 Xia2], Wuxia Gorge 巫峽|巫峡[Wu1 Xia2] and Xiling Gorge 西陵峽|西陵峡[Xi1 ling2 Xia2]；Sanxia or Sanhsia town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan","P.W. the Three Gorges of the Yangtze River；Three Gorges on the Chang Jiang or Yangtze, namely: Qutang Gorge 瞿塘峽|瞿塘峡 , Wuxia Gorge 巫峽|巫峡 and Xiling Gorge 西陵峽|西陵峡；Sanxia or Sanhsia town in New Taipei City 新北市 , Taiwan","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","东坡肘子","dōngpōzhǒuzi","Dongpo pork shoulder, traditional dish said to have been created by Northern Song dynasty writer Su Dongpo 苏东坡","Dongpo pork shoulder, traditional dish said to have been created by Northern Song dynasty writer Su Dongpo 苏东坡","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","伤寒症","shānghánzhèng","typhoid","typhoid","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","南京路","nánjīnglù","Nanjing St., large commercial street in Shanghai","Nanjing St., large commercial street in Shanghai","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","埃菲尔铁塔","āifēi tiětǎ","Eiffel Tower (France)","Eiffel Tower (France)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","巴黎","bālí","P.W. Paris","P.W. Paris","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","斗地主","dòudìzhǔ","dou dizhu (""fight the landlord"") (card game)","dou dizhu (""fight the landlord"") (card game)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","朝鲜半岛","cháoxiǎn bàndǎo","Korean Peninsula","Korean Peninsula","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","李世民","lǐ shìmín","Li Shimin, personal name of second Tang emperor Taizong (599-649), reigned 626-649","Li Shimin, personal name of second Tang emperor Taizong (599-649), reigned 626-649","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","","唐太宗"
"December 2025/专用名词","杜甫草堂","dù fǔ cǎotáng","Du Fu Cottage (in Chengdu, Sichuan Province, a shrine built in the poet’smemory on the site where his modest house used to stand)","Du Fu Cottage (in Chengdu, Sichuan Province, a shrine built in the poet’smemory on the site where his modest house used to stand)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","林肯","línkěn","N. Abraham Lincoln (1809-1865)；Lincoln (name)；Abraham Lincoln (1809-1865), US president 1861-1865；Lincoln, US car make","N. Abraham Lincoln (1809-1865)；Lincoln (name)；Abraham Lincoln (1809-1865), US president 1861-1865；Lincoln, US car make","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","清迈","qīngmài","Chiang Mai, city in Thailand","Chiang Mai, city in Thailand","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","秦岭","qínlǐng","N. Qinling Mountains or Nan Shan (in Gansu)","N. Qinling Mountains or Nan Shan (in Gansu)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","终结者","zhōngjiézhě","FILM The Terminator","FILM The Terminator","名","","中性","","","","",""
"December 2025/专用名词","聊斋志异","liáozhāizhìyì","Strange Tales from the Liaozhai Studio；Strange Stories from a Chinese Studio；Strange Tales from Make-Do Studio (a collection of supernatural tales by Pu Songling (蒲松龄,1640-1715) of the Qing Dynasty)","Strange Tales from the Liaozhai Studio；Strange Stories from a Chinese Studio；Strange Tales from Make-Do Studio (a collection of supernatural tales by Pu Songling (蒲松龄,1640-1715) of the Qing Dynasty)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","自由女神像","zìyóu shénxiàng","Statue of Liberty","Statue of Liberty","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","苏格兰","sūgélán","Scotland","Scotland","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","苗人","miáorén","N. Miao nationality","N. Miao nationality","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","英镑","yīngbàng","British pound","British pound","名","","中性","","","","",""
"December 2025/专用名词","葛洲坝","gézhōubà","name of a place, Gezhouba Dam on the Changjiang River, in Sichuan","name of a place, Gezhouba Dam on the Changjiang River, in Sichuan","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","藏红花","zànghónghuā","bot. saffron crocus","bot. saffron crocus","专名","","中性","","M: ²kē / 棵 2 Ch.","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","蜻蜓","qīngtíng","N. dragonfly","N. dragonfly","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","西湖","xī hú","P.W. West Lake (in Hangzhou)；Xihu or West lake (place name)；West Lake in Hangzhou 杭州, Zhejiang；Xihu or Hsihu township in Miaoli county 苗栗縣|苗栗县[Miao2 li4 xian4], northwest Taiwan","P.W. West Lake (in Hangzhou)；Xihu or West lake (place name)；West Lake in Hangzhou 杭州, Zhejiang；Xihu or Hsihu township in Miaoli county 苗栗縣|苗栗县 , northwest Taiwan","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","都江堰","dūjiāngyàn","P.W. the Dujiang Dam；Dujiangyan in Sichuan, a famous water engineering project and World Heritage Site；see 都江堰市[Du1 jiang1 yan4 Shi4]","P.W. the Dujiang Dam；Dujiangyan in Sichuan, a famous water engineering project and World Heritage Site；see 都江堰市","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","雪碧","xuěbì","Sprite (soft drink)","Sprite (soft drink)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","首尔","shǒu","replace )","to replace )","动","","中性","","","动词用法，注意宾语和常见搭配。","","汉城"
"December 2025/专用名词","鲇鱼","niányú","ichthyology catfish","ichthyology catfish","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","黄包车","huángbāochē","rickshaw","rickshaw","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"December 2025/专用名词","黄山","huáng shān","P.W. Huangshan (mountain in Anhui)","P.W. Huangshan (mountain in Anhui)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","喉咙","hóulong","throat","throat","专名","喉咙痛；他喉咙叫哑了；我渴得喉咙直冒烟","中性","喉咙痛 hóulong tòng have a sore throat 他喉咙叫哑了。","Tā hóulong jiào yā le.","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","基督教","jīdūjiào","Christian religion；Christianity","Christian religion；Christianity","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","外滩","wàitān","the Bund (in Shanghai)","the Bund (in Shanghai)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","小儿麻痹症","xiǎo mábìzhèng","N. , med. infantile paralysis；polio","N. , med. infantile paralysis；polio","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","市长","shìzhǎng","ADDRESS Mayor","ADDRESS Mayor","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","攀岩","pān yán","sports rock-climb；cliff-climb","sports rock-climb；cliff-climb","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","教堂","jiàotáng","church 大教堂 dàjiàotáng cathedral 小教堂 xiǎojiàotáng chapel；church；chapel；CL:座[zuo4],所[suo3],間|间[jian1]","church 大教堂 dàjiàotáng cathedral 小教堂 xiǎojiàotáng chapel；church；chapel；CL:座 ,所 ,間|间","专名","大教堂；小教堂","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","新冠","xīnguān","novel coronavirus (abbr. for ) (esp. SARS-CoV-2, the virus causing COVID-19)","novel coronavirus (abbr. for ) (esp. SARS-CoV-2, the virus causing COVID-19)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","","新型冠状病毒"
"November 2025/专用名词","新冠肺炎","xīnguānfèiyán","COVID-19, the coronavirus disease identified in 2019","COVID-19, the coronavirus disease identified in 2019","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","泌尿学","mìniàoxué","medicine urology；urinology","medicine urology；urinology","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","海绵宝宝","hǎimián bǎobǎo","SpongeBob SquarePants (US animated TV series, 1999–)","SpongeBob SquarePants (US animated TV series, 1999–)","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","清真寺","qīngzhēnsì","mosque","mosque","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
"November 2025/专用名词","珊瑚","shānhú","coral","coral","专名","","中性","","","专有名词，多用于识别语境，不必过度扩展。","",""
