"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"Movie 4","恁","nèn","河南方言里常说的""你""，语气比普通话更亲近。","you (Henan dialect)","方言","恁说；恁咋看；恁家里","口语","恁今儿来得真早，俺也去给你买瓶水。","You came early today; I'll go buy you some water.","多见于河南口语对话，书面表达里通常换成""你""。","","你"
"Movie 4","白","bái","河南方言里表示""别""，常用于劝阻。","don't (Henan dialect)","方言","白着急；白吵；白折腾","口语","你白跟他犟了，先把正事办完再说。","Don't argue with him now; finish the important thing first.","语气直接，常放在动词前。","","别"
"Movie 4","中","zhōng","河南方言里表示""行、可以""，用于认可。","okay; works (Henan dialect)","方言","中不中；这法子中；中得很","口语","这个方案中，咱就按这个节奏推进。","This plan works; let's move forward with it.","常见问答式表达""中不中""。","","行"
"Movie 4","妞","niū","河南方言里常指""女儿""，也可亲昵称呼小姑娘。","daughter; girl (Henan dialect)","方言","俺妞；小妞；妞儿","口语","他一提起自家妞，脸上马上就带笑。","He smiles right away when he talks about his daughter.","带有地域色彩和亲昵感。","","女儿"
"Movie 4","咋","zǎ","河南方言里表示""怎么""，用于提问或反问。","how; why (Henan dialect)","方言","咋办；咋回事；咋想的","口语","这都到节骨眼了，你咋还不出发？","It's already crunch time. Why haven't you left yet?","高频疑问词，口语感很强。","","怎么"
"Movie 4","手艺","shǒuyì","靠长期练习形成的技术本领，常指做饭或手工能力。","craftsmanship; skill","名","做饭手艺；手艺高超","中性","他靠一手好手艺在片场很快站稳脚跟。","He established himself on set with excellent skills.","可用于夸赞专业能力。","","本事"
"Movie 4","双胞胎","shuāngbāotāi","同一次妊娠出生的两个孩子。","twins","名","一对双胞胎；双胞胎姐妹","中性","剧里那对双胞胎一出场就把全场逗笑了。","The twins made everyone laugh as soon as they appeared.","数量通常与""对""搭配。","","孪生"
"Movie 4","轻重缓急","qīngzhònghuǎnjí","事情在重要性和紧迫性上的先后次序。","priority and urgency","名","分清轻重缓急；事情有轻重缓急","中性","排拍摄计划前，导演先把轻重缓急理了一遍。","Before scheduling shoots, the director sorted out priorities.","多用于安排任务。","","先后"
"Movie 4","明事理","míng shìlǐ","懂道理、识大体，能体谅别人。","sensible; reasonable","形","孩子明事理；通情达理","褒义","她虽然年轻，但说话办事特别明事理。","She is young but very sensible in speech and action.","常用于评价性格与教养。","","懂事"
"Movie 4","云游","yúnyóu","四处游历，多带有随性漂泊的意味。","to roam; travel around","动","云游四海；四方云游","中性","他拍完这部戏就想一个人云游半年。","He wants to roam for half a year after finishing this film.","书面和口语都可见。","","游历"
"Movie 4","亲家","qìngjia","两家因子女婚姻而形成的亲属关系。","relatives by marriage","名","两家亲家；亲家见面","中性","两位亲家第一次见面就聊得特别投机。","The two in-laws hit it off at their first meeting.","语境多与婚嫁相关。","","姻亲"
"Movie 4","熬","áo","长期忍受身心上的辛苦或压力。","to endure; tough it out","动","熬日子；熬夜；太熬人","中性","连续照顾病人一个月，真是太熬人了。","Caring for a patient for a month straight is exhausting.","常说""熬人""表达难受。","","忍"
"Movie 4","拌嘴","bànzuǐ","因为小事争辩，通常不算严重冲突。","to bicker","动","两口子拌嘴；跟人拌嘴","中性","他们俩天天拌嘴，但转头又一起做饭。","They bicker every day but cook together right after.","偏口语，语气较轻。","","争嘴"
"Movie 4","抑郁","yìyù","情绪长期低落、兴趣减退的心理状态。","depressed; depression","形","抑郁情绪；抑郁状态","中性","他最近总把自己关在屋里，像是有点抑郁。","He has been locking himself in his room lately, seeming depressed.","可作形容词，也可指状态。","","低落"
"Movie 4","不为人知","bùwéirénzhī","外界不了解、很少被公开提到。","unknown to the public","形","不为人知的秘密；不为人知的故事","中性","这位配角背后有一段不为人知的往事。","There is an unknown past behind this supporting role.","常用于铺垫剧情反转。","","鲜为人知"
"Movie 4","焦虑","jiāolǜ","因担心结果而持续不安。","anxious; anxiety","形","感到焦虑；焦虑情绪","中性","临近首映那几天，整个团队都很焦虑。","In the days before premiere, the whole team felt anxious.","口语里也可作名词。","","不安"
"Movie 4","丧失","sàngshī","原本拥有的能力、机会或资格失去。","to lose; forfeit","动","丧失信心；丧失机会","中性","他一味逃避，慢慢丧失了翻盘的机会。","By always avoiding things, he gradually lost his chance to turn around.","语义较正式。","","失去"
