Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就算……也……,"Уступительное «даже если». Самое разговорное; реалистичная гипотеза, которая не меняет исход.","Даже если завтра пойдёт сильный дождь, мы всё равно должны идти в горы.","Даже если ты ничего не скажешь, я всё равно догадаюсь, кто это сделал.","Даже если на этот раз не сдашь экзамен, нельзя терять уверенность."
Chapter 3,即便……也……,"Уступительное «даже если / хотя». Книжнее и формальнее, чем 就算; часто в новостях и официальных текстах.",Даже при огромном экономическом давлении компания не должна снижать качество продукции.,"Даже обладая выдающимся мастерством, без усилий не выиграешь чемпионат.","Даже если прошло много лет, детские воспоминания остаются такими же яркими."
Chapter 3,哪怕……也……,"Уступительное с сильной эмоцией: решимость, жертва, готовность к худшему.","Даже если надежда один процент, мы должны приложить сто процентов усилий.",Ради мечты он готов сколько угодно страдать — и считает это того стоящим.,"Даже если весь мир против меня, я останусь при своём выборе."
Chapter 3,纵然……也……,"Самое литературное и поэтичное уступление; в быту редко, чаще в прозе и эссе.",Пусть тысячи гор и рек — ничто не остановит мои шаги домой.,Пусть у него тысяча недостатков — всё равно нельзя бить его при всех.,"Очарование классической литературы не угаснет, хоть пройдут тысячелетия."
Chapter 3,多多,Значение 1: наречие перед глаголом — «делать больше чего-либо»; вежливые просьбы и советы.,Это совершенно новый проект — прошу впредь оказать мне большую поддержку.,У нового продукта неизбежно есть недочёты — просим снисходительности экспертов.,"В новой школе обязательно много общайся с одноклассниками, чтобы быстрее привыкнуть."
Chapter 3,多多,"Значение 2: после существительного «и ещё» или идиома 多多益善 — «чем больше, тем лучше».","Такие спасательные запасы — чем больше, тем лучше.","Если можно получить настоящее мастерство, что значат лишние трудности?","С бюджетом на книги для меня как с войсками Хань Синя: чем больше, тем лучше."
Chapter 3,动词+不再,Прекращение: «больше не …»; действие или состояние окончательно исчезло.,"Услышав хорошую новость, он совсем избавился от тревоги — её больше нет.",Юность уходит и не возвращается — береги настоящее время.,С новыми правилами прежняя громоздкая процедура согласования исчезла.
Chapter 3,动词+免不了,"Неизбежность: «нельзя не … / неизбежно»; естественный, неотвратимый исход.",Новичку за рулём в первый раз неизбежно немного волноваться.,Двум людям с разным характером вместе жить — трения в быту неизбежны.,Из-за его небрежности фирма понесла убытки — критики начальника не миновать.
Chapter 3,八成/七成/九成/X成,Значение 1: доли и проценты; один 成 = 10%.,Опрос: почти 70% сотрудников компании довольны текущей зарплатой.,В этом году из-за погоды урожай яблок в саду упал примерно на 20%.,"По договору 60% прибыли — тебе, 40% — мне."
Chapter 3,八成/七成/九成/X成,"Значение 2: разговорное наречие «скорее всего» (чаще 八成, 九成); субъективная уверенность.","Небо такое мрачное — похоже, скоро пойдёт сильный дождь.","Он до сих пор не ответил — девять десятых, что забыл об этом.","Весь день витает в облаках — наверное, какая-то забота его мучает."
