"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"November 2025/生词；PKU Sem1 文学课/生词","争气","zhēngqì","fight to excel combative spirit；to work hard for sth；to resolve on improvement；determined not to fall short；fight to excel combative spirit；to work hard for sth；to resolve on improvement；determined not to fall short","fight to excel combative spirit；to work hard for sth；to resolve on improvement；determined not to fall short；fight to excel combative spirit；to work hard for sth；to resolve on improvement；determined not to fall short","名","你要给中国人争气；你要给中国人争气","中性","你要给中国人争气。","Nǐ yào gěi Zhōngguórén zhēngqì.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","亲家","qìngjia","parents of one's daughter-in-law or son-in-law；relatives by marriage；parents of one's daughter-in-law or son-in-law；relatives by marriage","parents of one's daughter-in-law or son-in-law；relatives by marriage；parents of one's daughter-in-law or son-in-law；relatives by marriage","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","停滞","tíngzhì","stagnate；bog down；stop N. indigestion；stagnation；at a standstill；stagnate；bog down；stop N. indigestion；stagnation；at a standstill","stagnate；bog down；stop N. indigestion；stagnation；at a standstill；bogged down；stagnate；bog down；stop N. indigestion；stagnation；at a standstill；bogged down","名","","中性","现在经济处于停滞状态。","Xiànzài jīngjì chǔyú tíngzhì zhuàngtài.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","卖弄","màinong","show off；parade 卖弄风骚 màinong fēngsāo play the coquette；flirtatious 卖弄学问 Màinong xuéwen show off one’s learning；parade one’s knowledge 卖弄小聪明 màinong xiǎocōngming try to be smart；V. show off；to show off；to make a display of","show off；parade 卖弄风骚 màinong fēngsāo play the coquette；flirtatious 卖弄学问 Màinong xuéwen show off one’s learning；parade one’s knowledge 卖弄小聪明 màinong xiǎocōngming try to be smart；smart aleck；V. show off；to show off；to make a display of","名","卖弄风骚；卖弄学问；卖弄小聪明","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","占","zhàn","occupy；seize；take 占用不少时间 Zhànyòng bùshǎo shíjiān take up much time；time-consuming；账户；per cent of the total output value；占的常用义项，详见英文释义。","occupy；seize；take 占用不少时间 Zhànyòng bùshǎo shíjiān take up much time；time-consuming；constitute；hold；make up；account for 占多数 zhàn duō shù constitute the majority 占少数 zhàn shǎoshù constitute the minority 占统治地位 zhàn tǒngzhì dìwèi hold (or occupy) a dominant position 占世界第一位 zhàn shìjiè dì-yī wèi rank first in the world 占总产值的百分之四十 zhàn zǒngchǎnzhí de bǎifēn zhī sìshí make up (or account for, amount to)；per cent of the total output value","名","占用不少时间；占多数；占少数；占统治地位","中性","占用不少时间 Zhànyòng bùshǎo shíjiān take up much time; time-consuming 2 constitute; hold; make up; account for 占多数 zhàn duō shù constitute the majority 占少数 zhàn shǎoshù constitute the minority 占统治地位 zhàn tǒngzhì dìwèi hold (or occupy) a dominant position 占世界第一位 zhàn shìjiè dì-yī wèi rank first in the world 占总产值的百分之四十 zhàn zǒngchǎnzhí de bǎifēn zhī sìshí make up (or account for, amount to) 40 per cent of the total output value 海洋几乎占地球表面的四分之三。","Zhànyòng bùshǎo shíjiān take up much time; time-consuming 2 constitute; hold; make up; account for 占多数 zhàn duō shù constitute the majority 占少数 zhàn shǎoshù constitute the minority 占统治地位 zhàn tǒngzhì dìwèi hold (or occupy) a dominant position 占世界第一位 zhàn shìjiè dì-yī wèi rank first in the world 占总产值的百分之四十 zhàn zǒngchǎnzhí de bǎifēn zhī sìshí make up (or account for, amount to) 40 per cent of the total output value 海洋几乎占地球表面的四分之三。 Hǎiyáng jīhū zhàn dìqiú biǎomiàn de sì fēnzhī sān.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","可资","kězī","可以用于；可供（书面）。；可以用于；可供（书面）。","动 可以提供 可资参考。；动 可以提供 可资参考。","名","可资参考；可资参考","中性","动 <文> 可以提供 可资参考。","","","",""
"November 2025/生词；PKU Sem1 文学课/生词","埋","mái","V. bury；V. bury","V. bury；V. bury","名","","中性","","","","",""
"November 2025/生词；PKU Sem1 文学课/生词","寿材","shòucái","coffin (or timber for making a coffin) prepared before one's death；coffin；coffin (or timber for making a coffin) prepared before one's death；coffin","coffin (or timber for making a coffin) prepared before one's death；coffin；coffin (or timber for making a coffin) prepared before one's death；coffin","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","掏","tāo","draw out；pull out；fish out or；dig (a hole, etc.)；hollow out；scoop out 在墙上掏一个洞 Zài qiáng shàng tāo yī ge dòng make a hole in the wall；colloquial steal from sb.'s pocket；draw out；pull out；fish out or；dig (a hole, etc.)；hollow out；scoop out 在墙上掏一个洞 Zài qiáng shàng tāo yī ge dòng make a hole in the wall；colloquial steal from sb.'s pocket","draw out；pull out；fish out or；dig (a hole, etc.)；hollow out；scoop out 在墙上掏一个洞 Zài qiáng shàng tāo yī ge dòng make a hole in the wall；colloquial steal from sb.'s pocket；draw out；pull out；fish out or；dig (a hole, etc.)；hollow out；scoop out 在墙上掏一个洞 Zài qiáng shàng tāo yī ge dòng make a hole in the wall；colloquial steal from sb.'s pocket","名","掏耳朵；掏炉灰；掏鸟窝；掏手枪；掏耳朵；掏炉灰；掏鸟窝；掏手枪","口语","掏耳朵 Tāo ěrduo pick one’s ears 掏炉灰 tāo lúhuī clear the ashes from a stove 掏鸟窝 tāo niǎowō take young birds or eggs out of a nest; go bird’s-nesting 掏手枪 tāo shǒuqiāng draw a pistol 掏蛐蛐儿 tāo qū qūr catch crickets 从口袋里掏出笔记本 cóng kǒudài lǐ tāo chū bǐjìběn pull a notebook from one’s pocket; take a notebook out of one’s pocket 这顿饭是他掏的钱。","Tāo ěrduo pick one’s ears 掏炉灰 tāo lúhuī clear the ashes from a stove 掏鸟窝 tāo niǎowō take young birds or eggs out of a nest; go bird’s-nesting 掏手枪 tāo shǒuqiāng draw a pistol 掏蛐蛐儿 tāo qū qūr catch crickets 从口袋里掏出笔记本 cóng kǒudài lǐ tāo chū bǐjìběn pull a notebook from one’s pocket; take a notebook out of one’s pocket 这顿饭是他掏的钱。 Zhè dùn fàn shì tā tāo de qián.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","搜罗","sōuluó","hunt high and low for (persons or things)；collect；gather；recruit 搜罗人才 sōuluó réncái recruit qualified persons；hunt high and low for (persons or things)；collect；gather；recruit 搜罗人才 sōuluó réncái recruit qualified persons","hunt high and low for (persons or things)；collect；gather；recruit 搜罗人才 sōuluó réncái recruit qualified persons；scout for talent 搜罗大量史料 sōuluó dàliàng shǐliào collect a large amount of historical data；hunt high and low for (persons or things)；collect；gather；recruit 搜罗人才 sōuluó réncái recruit qualified persons；scout for talent 搜罗大量史料 sōuluó dàliàng shǐliào collect a large amount of historical data","名","搜罗人才；搜罗大量史料；搜罗人才；搜罗大量史料","中性","","","一词多义，结合上下文判断具体义项。","",""
