Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),"Mô tả ngoại hình, dung mạo, khí chất hoặc cử chỉ; gợi vẻ trẻ trung, tươi, ngọt ngào, trong sáng.","Thường bổ ngữ cho người, nhan sắc, phong cách, biểu cảm cụ thể (ví dụ: 清纯的长相, 眼神清纯).","Cô ấy để tóc đen dài, khi cười trông rất trong sáng.",Nam nữ chính trong phim đều có khí chất trong sáng đặc trưng của học sinh.
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),"Mô tả tâm hồn, suy nghĩ, động cơ bên trong hoặc quan hệ trừu tượng (tình bạn, tình yêu); không vướng ác ý hay tham lam.","Bổ ngữ danh từ trừu tượng (纯洁的友谊, 纯洁的心灵), có thể dùng như danh từ (保持内心的纯洁).","Tâm hồn trẻ em là trong sáng nhất, không một chút tạp chất.","Giữa chúng tôi chỉ là quan hệ đồng nghiệp trong sáng, xin đừng hiểu lầm."
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),"Từ văn viết trang trọng, thể hiện tiến trình từng bước, mở rộng phạm vi (từ nhỏ đến lớn, từ gần đến xa).","Liên từ chỉ nối từ hoặc cụm trong câu, không đứng một mình mở mệnh đề mới.","Chính sách này không chỉ liên quan cá nhân, gia đình, mà cả tương lai cả nước.","Nghiên cứu của anh được công nhận từ trường, tỉnh đến cả giới học thuật trong nước."
Chapter 3,乃至 - 甚至,甚至 (shènzhì),"Nêu ví dụ cực đoan, bất ngờ, vượt kỳ vọng thông thường; nhấn sự choáng ngợp.",Vừa liên từ vừa phó từ; có thể nối mệnh đề độc lập; hay đi với 连……都/也…….,Anh bận đến mức thậm chí không có thời gian ăn.,"Vấn đề này rất phức tạp, thậm chí chuyên gia giàu kinh nghiệm cũng không giải được."
Chapter 3,体验 - 体味,体验 (tǐyàn),"Nhấn hành động, sự hiện diện thân thể; tự mình trải qua tình huống, lối sống, hoạt động hoặc dùng thử sản phẩm.","Đi với tân ngữ cụ thể hoặc chủ động (体验生活, 体验新产品, 体验虚拟现实).",Người trẻ nên đi nhiều nơi du lịch để trải nghiệm lối sống khác nhau.,Huawei mời nhiều người yêu công nghệ trải nghiệm smartphone mới nhất.
Chapter 3,体验 - 体味,体味 (tǐwèi),"Nhấn suy ngẫm và chiều sâu cảm xúc; nếm, chiêm nghiệm hoặc thưởng thức khái niệm, cảm giác trừu tượng.","Đi với tân ngữ trừu tượng, sâu sắc (体味人生的酸甜苦辣, 体味诗歌的意境).",Chỉ người từng thất bại mới thật sự nếm trải vị thành công khó khăn thế nào.,"Tắt điện thoại, uống trà thong thả, nếm khoảnh khắc bình yên ấy."
Chapter 3,体验 - 体会,体会 (tǐhuì),"Nhấn kết quả tinh thần, bài học, cảm nhận sau trải nghiệm; trả lời điều học được hoặc cảm thấy.",Hay dùng cả động từ lẫn danh từ (谈谈你的体会 = nói về cảm nhận/bài học).,Chỉ khi làm cha mẹ mới thật sự thấu hiểu nỗi vất vả ngày xưa cha mẹ nuôi mình.,"Sau buổi nói chuyện, mọi người chia sẻ cảm nhận và thu hoạch."
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),"Sự ngại ngùng nhẹ nhàng, thường dễ thương hoặc trung tính; e thẹn lãng mạn, khiêm tốn hoặc ngượng xã giao.","Có thể mô tả hành động hoặc biểu cảm (羞涩地一笑, 脸上露出羞涩的神情).","Lần đầu hẹn hò người mình thích, anh hơi ngại ngùng.","Trước ống kính, cô bé nông thôn nở nụ cười ngại ngùng."
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),"Kết hợp ngại với sợ, rụt rè, thiếu tự tin (怯); nhút nhát, không dám lên tiếng.","Nhấn trạng thái tâm lý hoặc tính cách trong giao tiếp (性格羞怯, 羞怯地不敢见人).","Bạn mới này tính rụt rè, luôn nép góc im lặng.","Anh đứng dưới sân khấu rụt rè, không dám bước lên diễn thuyết."
Chapter 3,风行 - 流行,风行 (fēngxíng),"Gợi tốc độ lan rất nhanh, sức cuốn mạnh, phổ biến áp đảo; cơn sốt văn hóa đột ngột.","Trang trọng/văn hơn; thường có bổ ngữ phạm vi (风行一时, 风行全球); ít dùng phó từ mức độ như 很.",Lối sống tối giản vài năm qua lan khắp thế giới.,"Vài năm trước game smartphone ấy từng là cơn sốt, gần như ai cũng chơi."
Chapter 3,风行 - 流行,流行 (liúxíng),"Từ chuẩn, rộng, chỉ điều được công chúng chấp nhận, dùng hoặc thích tại một thời điểm; không nhấn sức cuốn dữ dội.","Có thể thêm phó từ mức độ (很流行, 非常流行); cũng chỉ bệnh lây (流行性感冒).",Giới trẻ hiện rất thích mặc đồ phong cách retro.,"Giai điệu bài hát nhạc pop này rất đơn giản, nghe một lần là nhớ."
Chapter 3,夸张 - 夸大,夸张 (kuāzhāng),"Có thể là biện pháp nghệ thuật trung tính (phó đại) hoặc mô tả lời nói, cử chỉ kịch tính, phô trương trong đời sống.",Có thể là tính từ (表情太夸张了) hoặc danh từ/động từ trong ngữ cảnh tu từ.,Họa sĩ truyện tranh thường dùng cách phóng đại để làm nổi nét mặt nhân vật.,"Chỉ bị thương nhẹ mà khóc thảm thế, hơi kịch quá."
Chapter 3,夸张 - 夸大,夸大 (kuādà),"Động từ tiêu cực: bóp méo sự thật bằng cách nói quá mức sự việc, con số; ám chỉ không trung thực.","Chỉ là động từ ngoại động, cần tân ngữ rõ (夸大事实, 夸大病情).","Quảng cáo công ty rõ ràng phóng đại công dụng sản phẩm, nghi lừa người tiêu dùng.","Đối mặt khó khăn phải thực tế, không che giấu cũng không bóp méo sự thật."
Chapter 4,赞许 - 赞同,赞许 (zànxǔ),"Nhấn ngưỡng mộ, khen ngợi, tán thành; thường từ người địa vị cao hơn xuống thấp hơn (sếp–nhân viên, trưởng bối–hậu bối).",Hay dùng như danh từ (投去赞许的目光) hoặc tân ngữ trừu tượng.,"Thấy Tiểu Minh nhường ghế cho người già, thầy nhìn em với ánh mắt khen ngợi.",Ý tưởng đổi mới của anh được ban lãnh đạo nhất trí khen ngợi.
Chapter 4,赞许 - 赞同,赞同 (zàntóng),"Nhấn đồng thuận về quan điểm, đề xuất, lập trường; ngang hàng, không nhất thiết kèm khen.",Chỉ là động từ; tân ngữ thường là ý kiến hoặc người (我赞同你的看法 / 赞同这个方案).,"Nghe phân tích thị trường, đại đa số quản lý tỏ ý đồng ý với ý kiến anh.",Tôi không đồng ý với cách hy sinh chất lượng để đuổi tốc độ.
Chapter 4,快捷 - 敏捷,快捷 (kuàijié),"Mô tả dịch vụ, hệ thống, giao thông, công cụ tiết kiệm thời gian, hiệu quả cao; nhấn tốc độ quy trình.",Thường bổ ngữ cho dịch vụ hoặc thao tác trừu tượng (快捷的支付方式).,"Internet ngày nay giúp truyền tin cực nhanh, vài giây là tới khắp thế giới.","Tàu điện ngầm là phương tiện nhanh nhất trong thành phố, không lo tắc đường."
Chapter 4,快捷 - 敏捷,敏捷 (mǐnjié),"Mô tả cử động thân thể hoặc năng lực tinh thần (tư duy, phản xạ) nhanh, khéo, phối hợp tốt.","Bổ ngữ cho hành động, tư duy con người (思维敏捷, 身手敏捷).","Dù đã già, ông cụ vẫn cử động rất nhanh nhẹn.",Lập trình viên cần tư duy nhanh để tìm lỗi code trong thời gian ngắn.
Chapter 4,预测 - 推测,预测 (yùcè),"Dự báo tương lai dựa trên dữ liệu khoa học, tính toán chuyên môn, thống kê hoặc mô hình.","Có thể là động từ hoặc danh từ; thường đi với kết quả tương lai (预测天气, 预测经济走向).","Đài khí tượng dự báo chiều mai mưa lớn, khuyên người dân hạn chế ra đường.",Chuyên gia đang dự báo tác động của AI lên thị trường việc làm năm năm tới.
Chapter 4,预测 - 推测,推测 (tuīcè),"Suy đoán, suy luận sự thật chưa biết, việc quá khứ, động cơ hoặc nguyên nhân từ manh mối, bằng chứng, logic hiện có.","Có thể là động từ hoặc danh từ; thường với logic, ý định, nguyên nhân quá khứ/hiện tại (根据线索推测).","Cảnh sát theo dấu chân hiện trường đoán chiều cao nghi phạm khoảng 1,8 m.","Nhìn mắt sưng đỏ, có thể đoán cô vừa khóc rất to."
Chapter 4,过于 - 过分,过于 (guòyú),Phó từ trang trọng “quá mức”; bổ ngữ khách quan cho trạng thái hoặc cảm xúc tâm lý.,"Chỉ là phó từ; bắt buộc theo sau tính từ hoặc động từ (过于谦虚, 过于担心), không đứng một mình.","Anh theo đuổi hoàn hảo quá mức trong công việc, làm chậm tiến độ dự án.","Cha mẹ không cần lo lắng quá mức cho tương lai con, nên cho con cơ hội tự đối mặt thế giới."
Chapter 4,过于 - 过分,过分 (guòfèn),"Tính từ: lời nói, hành vi vượt ranh giới đạo đức hoặc chấp nhận được; mang sắc trách móng, bất mãn mạnh.","Có thể làm vị ngữ độc lập (你太过分了！), cũng có thể làm phó từ.","Anh la mắng phục vụ trước đám đông, hành vi ấy thật quá đáng.","Dù anh sai, bắt quỳ giữa công chúng cũng quá tay."
Chapter 4,快速 - 迅速,快速 (kuàisù),Nhấn tốc độ cao kéo dài liên tục; mô tả khách quan hoạt động vận hành tốc độ cao.,"Hay làm định ngữ trước danh từ (快速通道, 快速消费品).","Thành phố phát triển nhanh, ngoại ô trước đây giờ thành khu thương mại sầm uất.","Đây là thời đại lấy thông tin nhanh, nhưng đọc vụn vặt làm mất suy nghĩ sâu."
Chapter 4,快速 - 迅速,迅速 (xùnsù),"Nhấn phản ứng kịp thời, thời gian ngắn, thay đổi ngay sau tín hiệu kích hoạt.","Hay làm phó từ cho hành động thực hiện ngay, không trì hoãn (迅速撤离, 迅速作出反应).","Cháy xảy ra, lính cứu hỏa nhanh chóng tới hiện trường và khống chế lửa.","Nghe tiếng gõ cửa, cún nhảy khỏi sofa chạy ra cửa vẫy đuôi."
Chapter 5,依赖 - 依靠,依赖 (yīlài),"Sắc tiêu cực hoặc hạn chế: không tự lập, thiếu tự chủ, hoặc nương tựa không lành mạnh.",Tân ngữ trừu tượng (依赖技术); hay dùng cấu trúc 对……产生依赖.,"Nhiều trẻ phụ thuộc quá mức vào sự thúc giục của cha mẹ, hoàn toàn thiếu khả năng tự học.",Dựa thuốc lâu dài để giảm lo âu thi cử không phải giải pháp lâu dài.
Chapter 5,依赖 - 依靠,依靠 (yīkào),"Trung tính hoặc tích cực: tìm nền tảng vững, người bảo vệ hoặc nguồn sức mạnh, giúp đỡ cần thiết.",Vừa động từ vừa danh từ “chỗ dựa” (失去了依靠).,"Nhiều năm bôn ba, sự ủng hộ gia đình luôn là chỗ dựa vững để anh tiếp tục.","Muốn đậu kỳ thi piano, không thể chỉ trông may mắn, phải dựa vào luyện tập khổ luyện lâu dài."
