Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),"Décrit l'apparence, le look, le tempérament ou les manières. Évoque un aspect jeune, frais, doux et innocent.","Modifie surtout des personnes concrètes, des visages, des styles ou des expressions (ex. 清纯的长相, 眼神清纯).",Elle a de longs cheveux noirs et paraît très pure et innocente quand elle sourit.,Les deux protagonistes de ce film ont un tempérament d'étudiant frais et innocent.
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),"Décrit l'esprit intérieur, les pensées, les motifs, l'âme ou des relations abstraites (amitié, amour). Non entaché de malice ni d'avidité.","Modifie des noms abstraits (ex. 纯洁的友谊, 纯洁的心灵) et peut fonctionner comme nom (ex. 保持内心的纯洁).","L'esprit d'un enfant est le plus pur, sans la moindre trace d'impureté.","Entre nous, ce n'est qu'une relation professionnelle pure ; ne vous méprenez pas."
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),"Mot écrit et formel montrant une progression graduelle, une montée ou une extension de portée (du petit au grand, du proche au lointain).",Conjonction qui ne relie que des mots ou groupes dans une phrase ; ne peut pas ouvrir une proposition indépendante.,"Cette politique concerne non seulement l'individu et la famille, mais même l'avenir de toute la nation.","Ses résultats de recherche ont été reconnus par l'école, la province et même la communauté académique nationale."
Chapter 3,乃至 - 甚至,甚至 (shènzhì),"Met en avant un exemple extrême, inattendu ou surprenant qui dépasse les attentes normales ; insiste sur l'effet de choc.",Fonctionne comme conjonction et adverbe ; peut relier des propositions indépendantes ; souvent avec 连……都/也…….,Il est si occupé qu'il n'a même pas le temps de manger.,Ce problème est si complexe que même des experts expérimentés ne peuvent pas le résoudre.
Chapter 3,体验 - 体味,体验 (tǐyàn),"Met l'accent sur l'action et la présence physique : vivre une situation, un mode de vie, une activité ou tester un produit en personne.","Prend des objets concrets ou actifs (ex. 体验生活, 体验新产品, 体验虚拟现实).",Les jeunes devraient voyager dans différents endroits pour expérimenter différents modes de vie de première main.,Huawei a invité de nombreux passionnés de tech à essayer leur tout dernier smartphone.
Chapter 3,体验 - 体味,体味 (tǐwèi),"Met l'accent sur la réflexion mentale et la profondeur émotionnelle : goûter, méditer ou apprécier profondément des concepts ou sentiments abstraits.","Prend des objets abstraits et profonds (ex. 体味人生的酸甜苦辣, 体味诗歌的意境).",Seuls ceux qui ont connu l'échec peuvent vraiment savourer à quel point le succès a été difficile à obtenir.,"Éteins ton téléphone, bois tranquillement une tasse de thé et savoure la tranquillité de ce moment."
Chapter 3,体验 - 体会,体会 (tǐhuì),"Insiste sur le résultat mental, la leçon, l'insight ou la compréhension émotionnelle après une expérience ; répond à ce qu'on a appris ou ressenti.",Souvent verbe et nom (ex. 谈谈你的体会 = parler de tes idées / de ce que tu en retires).,Ce n'est qu'en devenant parent soi-même qu'on peut vraiment comprendre les peines que nos parents ont eues pour nous élever.,"Après la conférence, chacun a partagé ses réflexions personnelles et ses acquis."
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),"Timidité douce, souvent attachante ou neutre ; rougir ou gêne sociale romantique ou modeste.","Peut décrire des actions physiques ou des expressions du visage (ex. 羞涩地一笑, 脸上露出羞涩的神情).","Lors de son premier rendez-vous avec la personne qu'il aimait, il paraissait un peu timide.","Face à l'objectif, la petite fille du village offrit un sourire timide."
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),"Combine timidité et peur, crainte ou lâcheté (怯) ; trop timide, manque de confiance, recule ou n'ose pas parler.","Met l'accent sur un trait de personnalité ou un état psychologique en société (ex. 性格羞怯, 羞怯地不敢见人).","Ce nouveau camarade est timide et craintif, toujours caché dans un coin sans parler.","Il restait timidement sous la scène, n'osant pas monter pour faire son discours."
Chapter 3,风行 - 流行,风行 (fēngxíng),"Évoque une vitesse massive, un élan irrésistible et une popularité écrasante ; mode soudaine et intense ou engouement dominant.","Plus formel/littéraire ; prend souvent un modificateur de portée (ex. 风行一时, 风行全球) ; ne prend généralement pas d'adverbes de degré comme 很.",Ce mode de vie minimaliste a balayé le monde ces dernières années.,"Il y a quelques années, ce jeu sur smartphone fut une mode énorme un temps ; presque tout le monde y jouait."
