Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,親族関係や古くからのつながりがあること,私たちは親戚づきあいや昔からの縁がある同郷なので、会うとひときわ親しみを感じる。,血縁関係や長年の付き合いを表す。
Chapter 3,妙龄,女性の青春の盛り,写真の母は当時まさに青春の盛りで、笑顔が明るかった。,文学的で、書き言葉によく使う。
Chapter 3,飘然而至,軽やかに到着する、優雅に現れる,春の気配が暖かな風に乗って軽やかにやって来た。,到来を文学的に描写する表現。
Chapter 3,去世,亡くなる,母が亡くなった後も、家には彼女が当時着ていた春服が残されていた。,死を表す丁寧な婉曲表現。
Chapter 3,心中,心の中で、内心では,その手紙を読むと、彼女の心にはまた母への追慕がわき上がった。,文学的な叙述によく使う。
Chapter 3,泛起,感情などがこみ上げる、波などが浮かぶ,昔のことに触れると、彼の目に涙がにじんだ。,感情やさざ波などに使う。
Chapter 3,追思,故人をしのぶ、追憶する,毎年清明節になると、彼は墓前に行って母をしのぶ。,改まった追悼の表現。
Chapter 3,惆怅,もの悲しい、しんみりした,古い品々が思い出を誘い、彼女は少しもの悲しくなった。,文学的な気分を表す語。
Chapter 3,装束,服装、身なり,彼女の服装は簡潔で上品で、職業女性の雰囲気によく合っていた。,書き言葉では動詞としても使える。
Chapter 3,时髦,流行に合った、おしゃれな,このコートは当時とても流行していて、今見ても古びていない。,服装についてよく使う。
Chapter 3,发型,髪型,彼女はさっぱりした髪型に変え、全体にずっと生き生きして見えた。,外見描写でよく使う語。
Chapter 3,脐,へそ,ローライズのズボンが流行した頃、へそ出しの服はかなり議論を呼んだ。,身体や服装に関する語。
Chapter 3,触目惊心,見て心が震えるほど衝撃的な,これほど深刻な浪費は、見る者を本当にぞっとさせる。,強い否定的な視覚的衝撃を表す。
Chapter 3,征集,募集する、広く集める,雑誌社が随筆を募集しており、彼は母を回想する文章を投稿した。,出版関係でよく使う。
Chapter 3,文集,文集、作品集、アンソロジー,この文集には、服装と記憶についての作者の文章が収められている。,出版用語。
Chapter 3,附录,付録、補足資料,付録には作者の若い頃の写真と衣服のサイズ記録が載っている。,学術書や本で使う語。
Chapter 3,谈吐,話しぶり、言葉遣い,彼女の話しぶりは落ち着いていて、よい教養が感じられた。,話し方の様子を指す。
Chapter 3,得体,適切な、場に合った,面接では、場に合った服装をすることがとても重要だ。,ふさわしさをほめる表現。
Chapter 3,就算,たとえ、仮に,たとえ型が古くなっても、母はその服を捨てるに忍びなかった。,譲歩を表す接続表現。
Chapter 3,推敲,言葉遣いを何度も練る、推敲する,彼はこの文章の題名を長い間推敲してから決めた。,賈島の故事に由来する。
Chapter 3,眼影,アイシャドー,彼女はアイシャドーを薄く少しだけ塗り、表情が生き生きして見えた。,化粧品の語彙。
Chapter 3,灰晶,灰色がかった水晶のような光沢,この灰色がかったきらめきのアイシャドーは、普段のメイクにとても合う。,本文特有の色合いを表す語。
Chapter 3,唇膏,口紅、リップ,彼女は淡い色の口紅を選び、素朴で上品な春服に合わせた。,化粧品の一種。
Chapter 3,面容,顔立ち、表情,古い写真の母の顔は、やさしくも芯があった。,顔を表す改まった、文学的な語。
Chapter 3,别扭,ぎこちない、不自然で気持ち悪い,この服はサイズが合わず、着るととても窮屈で不自然だ。,人間関係や服装にも使える。
Chapter 3,借题发挥,ある話題を口実に自分の考えを述べる,彼は本当に服の話をしているのではなく、それを口実に消費観を論じていた。,批判的な響きを持つことが多い。
Chapter 3,俏,きれいで、活発でかわいらしい,春服を着ると、彼女はいっそう可憐に見えた。,女性や外見についてよく使う。
Chapter 3,酷,かっこいい、スタイリッシュな,彼女は短い髪にトレンチコートを合わせると、とてもかっこいいと思っている。,外来語的な用法。
Chapter 3,时尚,ファッション、流行,流行はすぐ変わるが、クラシックな型は長く見ても飽きない。,名詞にも形容詞にもなる。
