Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,監督して促す,親は子どもが宿題を時間どおりに終えるよう促すべきだ。,行動を起こすよう促すこと。
Chapter 5,考级,級位・段位試験を受ける,多くの親は夏休みに子どもをピアノの級位試験に連れて行く。,標準化された技能試験。
Chapter 5,奢望,過大な望み、身の程を超えた要求,彼にとっては、腹いっぱい食べられるだけでもぜいたくな望みだった。,現実的でない期待。
Chapter 5,熏陶,よい影響を受ける、薫陶を受ける,彼は幼いころから学問のある家庭で育ち、伝統文化のよい薫陶を受けた。,長い時間をかけて受ける前向きな影響。
Chapter 5,高雅,上品な、洗練された,このコンサートホールでは上品な芸術公演がよく開かれる。,趣味、芸術、ふるまいなどを表す。
Chapter 5,就业,就職する、雇用,政府はさまざまなルートで大学卒業生の就職問題を解決しようとしている。,労働の場に入ること。
Chapter 5,意愿,意向、願望,専攻を選ぶときは、子ども自身の意向を尊重すべきだ。,本人の意思。
Chapter 5,苦心,苦心、心を尽くした努力,親のその苦心を、君はいまはまだ十分には理解できない。,大きな配慮と心遣い。
Chapter 5,期望值,期待値、期待の高さ,期待値を高く設定しすぎると、挫折感を抱きやすい。,期待の程度。
Chapter 5,鹏程万里,前途洋々である,学業が進歩し、前途洋々でありますように。,祝いの言葉でよく使われる成語。
Chapter 5,料,予想する、見込む,彼は今日は来ないと思っていたが、思いがけず早く到着した。,多くは「没／不」と一緒に使う。
Chapter 5,尽力而为,力を尽くす、できる限りやる,試験の結果がどうであれ、全力を尽くしたなら悔いはない。,結果ではなく努力を強調する。
Chapter 5,但愿,ただ願う、どうか,明日は晴れて、活動が順調に進みますように。,心からの願いを表す。
Chapter 5,成才,有用な人材になる、立派に育つ,親が懸命に働くのは、子どもを学校に通わせて立派に育てるためだ。,潜在能力を発揮して成功すること。
Chapter 5,包办,すべて引き受けて手配する、勝手に決める,親は子どもの人生の選択をすべて代わりに決めるべきではない。,過度な支配を含意することが多い。
Chapter 5,心甘情愿,心から喜んでする,子どもによりよい教育を受けさせるため、親は苦労もいとわない。,完全に自分から望んでいること。
Chapter 5,心态,心構え、心理状態,困難に直面したとき、前向きで楽観的な心構えを保つことは大切だ。,心の状態。
Chapter 5,传授,知識や技術を伝授する,老教授は若者に学術知識を惜しみなく伝えた。,技能や知恵を教えること。
Chapter 5,撒手,手を放す、関わるのをやめる,子どもはもう大きくなったので、親は手を放すことを学ぶべきだ。,責任を手放すこと。
Chapter 5,强加,押しつける、無理に課す,親は自分の願いを子どもに押しつけるべきではない。,相手の意思を尊重しないニュアンスがある。
Chapter 5,足够,十分な、足りる,十分な自信があれば、乗り越えられない困難はない。,量が必要な水準に達していること。
Chapter 5,后劲,あとから効いてくる力、余韻,この酒はあとからかなり効くので、飲むときは気をつけて。,続いて残る影響。
Chapter 5,揠苗助长,成長を急がせてかえって台無しにする,学習は段階を踏むべきで、焦って成果を求めるとかえって逆効果になる。,焦りを戒める古典的な成語。
Chapter 5,神童,神童、天才児,数学コンテストでの彼の成績を見て、皆は彼を神童と呼んだ。,才能のある子どもによく使う。
Chapter 5,了不得,すばらしい、たいへんな,この子は五歳で何十首もの詩を暗唱できるなんて、本当にすごい。,称賛にも程度の強調にも使える。
Chapter 5,体验,実際に体験する,作家はよく農村へ生活を体験しに行き、創作のインスピレーションを得る。,自分で関わって経験すること。
Chapter 5,学业,学業、勉学,新学期に学業が進歩することを願っています。,教育や学習の道のり。
Chapter 5,弱点,弱点、短所,彼は性格がせっかちすぎる。それが彼の最大の弱点だ。,欠点や弱いところ。
Chapter 5,人际交往,対人コミュニケーション、人付き合い,大学は知識を学ぶ場所であるだけでなく、人付き合いを練習する場でもある。,社交すること。
Chapter 5,卓越,卓越した、非常に優れた,彼は医学研究の分野で卓越した成果を上げた。,並外れた質。
Chapter 5,取决,左右される、によって決まる,成績のよしあしは、主に普段の努力に左右される。,必ず「于」と一緒に使う。
Chapter 5,智力,知能、知的能力,十分な睡眠は青少年の知能の発達にとても重要だ。,考え、問題を解く能力。
Chapter 5,夸奖,ほめる、称賛する,近所の人たちは皆、彼を物わかりのよいよい子だとほめた。,言葉による承認。
Chapter 5,意想不到,思いがけない、予想外の,今回の旅行は多くの思いがけない驚きをもたらしてくれた。,意外な結果。
Chapter 5,层面,レベル、側面,私たちはこの問題を複数の側面から分析する必要がある。,より深い、または広い角度。
Chapter 5,功利,功利的な、名利を追うこと,教育は功利的になりすぎず、学生の全面的な発達に目を向けるべきだ。,報酬だけに注目すること。
Chapter 5,挑食,好き嫌いが多い、偏食する,子どもの偏食は栄養の偏りを招きやすい。,よくない食習慣。
Chapter 5,娇气,甘ったれた、打たれ弱い,今の子どもは一人っ子が多いので、少し甘えがあるのも無理はない。,すぐ傷ついたりへこたれたりすること。
Chapter 5,脆弱,もろい、弱い,彼は精神的な耐性が弱く、打撃に耐えられない。,身体的または精神的な弱さ。
Chapter 5,挫折,挫折、つまずき,人生の道では、誰でも多少の挫折に出会う。,困難や失敗。
Chapter 5,承受,耐える、受け止める,医師である以上、大きな仕事のプレッシャーに耐えられなければならない。,重みやストレスを支えること。
Chapter 5,智商,知能指数、IQ,彼はIQが高いが、勉強に熱心ではない。,知能を測る指標。
Chapter 5,情商,EQ、心の知能指数,職場では、EQがIQより重要になることが多い。,感情知能。
Chapter 5,自理,自分のことを自分で処理する,彼は大学に入る前に、身の回りのことを自分でできるようになった。,個人の自立。
Chapter 5,可怜天下父母心,天下の親心は限りなく深い,子どもは大人になって初めて、親の無私の愛を本当に理解する。,詩句に由来する有名な表現で、親が口にすることも多い。
Chapter 5,三天打鱼两天晒网,三日坊主で続かない,語学学習は三日坊主ではいけない。毎日練習を続けるべきだ。,一貫性のなさを戒める。
Chapter 5,放羊,子どもを放任する、監督しない,親は子どもを放任してはいけない。必要なときはやはりしつけるべきだ。,羊を放っておくことに由来する比喩。
