Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,giám sát và thúc giục,Phụ huynh nên thúc giục con hoàn thành bài tập đúng giờ.,Thúc đẩy hành động.
Chapter 5,考级,thi cấp độ chuyên môn,Nhiều phụ huynh hè đưa con đi thi cấp piano.,Kiểm tra kỹ năng theo chuẩn.
Chapter 5,奢望,hy vọng viển vông; đòi hỏi quá mức,"Với anh ấy, được ăn no cũng là một hy vọng xa vời.",Kỳ vọng không thực tế.
Chapter 5,熏陶,ảnh hưởng tích cực; thấm nhiễm,"Anh lớn lên trong gia đình học thức, chịu ảnh hưởng văn hóa truyền thống tốt.",Ảnh hưởng tích cực dần theo thời gian.
Chapter 5,高雅,thanh cao; tao nhã,Nhà hát này thường tổ chức biểu diễn nghệ thuật tao nhã.,"Mô tả thẩm mỹ, nghệ thuật hoặc cách ứng xử."
Chapter 5,就业,việc làm; có việc làm,Chính phủ đang nỗ lực giải quyết việc làm cho sinh viên tốt nghiệp qua nhiều kênh.,Bước vào lực lượng lao động.
Chapter 5,意愿,nguyện vọng; mong muốn,Chúng ta nên tôn trọng nguyện vọng cá nhân của con khi chọn ngành.,Ý chí riêng.
Chapter 5,苦心,nỗi khó nhọc; tâm tư chăm chút,"Nỗi khó nhọc của cha mẹ, giờ con chưa hiểu hết.",Sự quan tâm và suy nghĩ sâu.
Chapter 5,期望值,mức kỳ vọng,"Nếu đặt kỳ vọng quá cao, dễ cảm thấy thất bại.",Mức độ hy vọng.
Chapter 5,鹏程万里,tiền đồ rộng mở,"Chúc em tiến bộ học tập, tiền đồ rộng mở.",Thành ngữ chúc mừng thông dụng.
Chapter 5,料,đoán; dự đoán,"Tôi đoán hôm nay anh ấy không đến, không ngờ anh tới sớm.",Thường đi với 没/不.
Chapter 5,尽力而为,cố gắng hết sức,"Kết quả thế nào, miễn cố gắng hết sức là không hối tiếc.","Nhấn nỗ lực, không nhấn kết quả."
Chapter 5,但愿,mong rằng; ước gì,Mong mai trời nắng để hoạt động diễn ra thuận lợi.,Thể hiện mong muốn chân thành.
Chapter 5,成才,trưởng thành có ích,Cha mẹ vất vả để con học hành và thành người.,Đạt được tiềm năng.
Chapter 5,包办,ôm đồm mọi việc; sắp xếp thay,Cha mẹ không nên ôm đồm mọi lựa chọn đời sống của con.,Thường ám chỉ kiểm soát quá mức.
Chapter 5,心甘情愿,tự nguyện; lòng muốn,"Để con được giáo dục tốt hơn, cha mẹ sẵn lòng chịu khó.",Sự sẵn lòng hoàn toàn.
Chapter 5,心态,thái độ tinh thần,"Đối mặt khó khăn, giữ thái độ lạc quan rất quan trọng.",Trạng thái tâm lý.
Chapter 5,传授,"truyền dạy (kiến thức, kỹ năng)",Giáo sư già truyền dạy kiến thức học thuật cho người trẻ.,Dạy kỹ năng hoặc trí tuệ.
Chapter 5,撒手,buông tay; không can thiệp,"Con đã lớn, cha mẹ nên biết buông tay.",Từ bỏ trách nhiệm.
Chapter 5,强加,ép buộc; áp đặt,Cha mẹ không nên áp đặt mong muốn của mình lên con.,Thiếu tôn trọng ý chí người khác.
Chapter 5,足够,đủ; đầy đủ,"Chỉ cần đủ tự tin, không có khó khăn nào không vượt qua được.",Lượng đủ.
Chapter 5,后劲,sức bật sau; ảnh hưởng kéo dài,"Rượu này hậu mạnh, uống phải cẩn thận.",Tác động tiếp diễn.
Chapter 5,揠苗助长,kéo cây giúp lớn (vội vàng phá việc),Học phải từng bước; vội vàng chỉ phản tác dụng.,Cảnh báo nóng vội.
Chapter 5,神童,thần đồng,Thành tích thi toán của cậu khiến mọi người gọi là thần đồng.,Thường chỉ trẻ tài năng.
Chapter 5,了不得,đáng kể; lắm (mức độ),"Bé năm tuổi thuộc hàng chục bài thơ, thật giỏi.",Vừa khen vừa nhấn mức độ.
Chapter 5,体验,trải nghiệm trực tiếp,Nhà văn thường về nông thôn trải nghiệm đời sống để tìm cảm hứng.,Sự tham gia trực tiếp.
Chapter 5,学业,học vấn; việc học,Chúc em tiến bộ học tập trong học kỳ mới.,Con đường học tập.
Chapter 5,弱点,điểm yếu,"Anh nóng tính, đó là điểm yếu lớn nhất.",Khuyết điểm.
Chapter 5,人际交往,giao tiếp giữa người với người,Đại học không chỉ để học kiến thức mà còn để rèn giao tiếp.,Giao lưu xã hội.
Chapter 5,卓越,xuất sắc; vượt trội,Anh đạt thành tựu xuất sắc trong nghiên cứu y học.,Phẩm chất phi thường.
Chapter 5,取决,phụ thuộc vào; do… quyết định,Điểm tốt hay không chủ yếu phụ thuộc nỗ lực hằng ngày.,Luôn đi với 于.
Chapter 5,智力,trí lực,Ngủ đủ rất quan trọng cho phát triển trí lực thanh thiếu niên.,Năng lực tư duy.
Chapter 5,夸奖,khen ngợi,Hàng xóm đều khen cậu là đứa trẻ ngoan.,Sự tán thưởng bằng lời.
Chapter 5,意想不到,bất ngờ; không lường trước,Chuyến đi mang lại nhiều bất ngờ thú vị.,Kết quả gây ngạc nhiên.
Chapter 5,层面,tầng; khía cạnh,Chúng ta cần phân tích vấn đề từ nhiều khía cạnh.,Góc nhìn sâu hoặc rộng hơn.
Chapter 5,功利,công lợi; chủ nghĩa công lợi,"Giáo dục không nên quá công lợi, cần chú trọng phát triển toàn diện.",Chỉ hướng vào lợi ích.
Chapter 5,挑食,kén ăn,Trẻ kén ăn dễ thiếu dinh dưỡng.,Thói ăn uống tiêu cực.
Chapter 5,娇气,"yếu ớt; nhạy cảm, khó chịu đựng",Trẻ một mình khó tránh hơi yếu ớt.,Dễ tổn thương.
Chapter 5,脆弱,mong manh; yếu đuối,Khả năng chịu đựng tâm lý của anh khá yếu.,Yếu về thể chất hoặc tinh thần.
Chapter 5,挫折,thất bại; trở ngại,"Trên đường đời, ai cũng gặp thất bại.","Khó khăn, thất bại."
Chapter 5,承受,chịu đựng; gánh vác,Làm bác sĩ phải chịu được áp lực công việc lớn.,Gánh trọng lượng hoặc stress.
