Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,"Dùng để liệt kê nhiều việc hoặc lý do xảy ra cùng lúc, ám chỉ bận rộn hoặc quá tải. “Vừa [X], vừa [Y], mà còn [Z]…”"
Chapter 5,再……再……也……,"Nhấn mạnh dù điều kiện hoặc nỗ lực đến mức nào thì kết quả vẫn không đổi. “Dù [X] thế nào, dù [Y] thế nào, vẫn…”"
Chapter 5,……得不能再……了,"Cấu trúc cực độ: đã đến giới hạn tuyệt đối, không thể hơn nữa. “[X] đến mức không thể [X] thêm được.”"
Chapter 5,可……可……,"Cho thấy có thể làm theo cách này hoặc cách kia, tùy sở thích hoặc khả năng. “Có thể [X], cũng có thể [Y].”"
Chapter 5,取决于……,Kết quả hoàn toàn phụ thuộc vào một điều kiện hoặc yếu tố. “Tùy thuộc vào… / do… quyết định.”
Chapter 5,……是……了点儿，不过……,"Thừa nhận một mặt hơi tiêu cực, rồi nêu mặt tích cực quan trọng hơn. “[X] hơi… một chút, nhưng…”"
Chapter 7,……都……了，哪能跟……比呀,"Câu hỏi tu từ nhấn mạnh khoảng cách quá lớn, không thể so sánh. “[X] đã… rồi, sao so với [Y] được?”"
Chapter 7,……了事,"Xử lý cho qua, làm qua loa để xong việc. “Làm cho xong / đối phó cho qua.”"
Chapter 7,……则……，……不……则……,"Cấu trúc điều kiện trang trọng: nếu… thì…; nếu không… thì…. “Nếu [điều kiện], thì [A]; nếu không, thì [B].”"
Chapter 7,不失为,Cách nói trang trọng: vẫn có thể coi là một lựa chọn hoặc phương án khả dĩ. “Vẫn có thể xem là… / không tệ là…”
Chapter 7,为了……起见，……,"Nêu động cơ hoặc lý do thận trọng đằng sau hành động phòng ngừa. “Vì… / để…, nên…”"
Chapter 7,……是……，……是……,"Nhấn mạnh hai việc hoàn toàn khác nhau, không nên lẫn lộn. “[X] là [X], [Y] là [Y].”"
Chapter 8,……而已,"Đặt cuối câu để hạ thấp tầm quan trọng, quy mô hoặc giá trị. “Chỉ là… thôi / không hơn…”"
Chapter 8,……的可怜,"Bổ ngữ cho động từ/tính từ, chỉ mức độ ít ỏi, tồi tệ đáng thương. “… đến mức thảm hại / ít ỏi khủng khiếp.”"
Chapter 8,……透了,"Gắn sau động từ/tính từ, thường mang nghĩa cực độ, nhiều khi tiêu cực hoặc kiệt sức. “… hết sức / … tận cùng.”"
Chapter 8,可想而知,Thành ngữ: có thể dễ dàng hình dung kết quả hoặc mức độ từ sự thật đã có. “Có thể tưởng tượng được / hẳn là…”
Chapter 8,想也/都别想,"Từ chối mạnh, thân mật: đừng có mơ. “Đừng có mơ / không có chuyện đó.”"
Chapter 8,难以……,"Theo sau động từ hai âm tiết, diễn tả việc khó hoặc không thể làm được. “Khó… / không dễ…”"
Chapter 9,时不时地……,Hành động xảy ra thường xuyên nhưng không đều. “Thỉnh thoảng / lúc lúc.”
Chapter 9,……得够呛 （……真够呛）,"Khẩu ngữ: tình huống hoặc cảm giác cực kỳ khó chịu, không chịu nổi. “… kinh khủng / … chịu không nổi.”"
Chapter 9,……，不仅如此……,"Chuyển ý, bổ sung chi tiết cao hơn, làm leo thang điểm trước. “…, không những vậy, mà còn…”"
Chapter 9,不……则已，一……就得（要）……,"Không làm thì thôi, một làm là đến mức cực đoan hoặc hậu quả tất yếu. “Không [X] thì thôi, [X] là phải…”"
Chapter 9,……得慌,"Đi với một số tính từ/động từ tâm lý, chỉ cảm giác khó chịu, bứt rứt. “… khó chịu chết / … muốn chết.”"
Chapter 9,（饱/忍/大）受（尽）……之苦,"Chịu đựng hoặc trải qua nỗi khổ, gian nan, bệnh tật nặng nề. “Chịu đựng / nếm trải nỗi khổ…”"
