Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,родственные или давние связи,"Мы — старожилы, связанные родством, поэтому встреча особенно тёплая.",Родство или давнее знакомство.
Chapter 3,妙龄,расцвет молодости (о женщине),"На фото мать была в расцвете молодости, с яркой улыбкой.","Книжный стиль, часто о женщинах."
Chapter 3,飘然而至,легко прийти; грациозно появиться,Дыхание весны легко пришло с тёплым ветром.,Книжное описание прихода.
Chapter 3,去世,скончаться; умереть (эвфемизм),После смерти матери семья сохранила её весеннюю одежду.,Вежливый эвфемизм.
Chapter 3,心中,в сердце; внутри,"Читая письмо, она снова почувствовала в сердце тоску по матери.",Часто в литературном повествовании.
Chapter 3,泛起,всплыть; подняться (о чувствах),"Вспоминая прошлое, у него на глазах блеснули слёзы.",О чувствах или волнах.
Chapter 3,追思,чтить память (об умершем),Каждый Цинмин он приходит к могиле почтить память матери.,Формальное поминовение.
Chapter 3,惆怅,грусть; тоска,Старые вещи вызвали воспоминания и лёгкую грусть.,Книжное настроение.
Chapter 3,装束,наряд; одеяние,"Её наряд был прост и элегантен, подходил деловой женщине.",Может быть и глаголом в письменной речи.
Chapter 3,时髦,модный; стильный,Это пальто тогда было очень модным и сейчас не выглядит старомодным.,Часто об одежде.
Chapter 3,发型,причёска,Она сменила причёску и стала выглядеть бодрее.,Описание внешности.
Chapter 3,脐,пупок,"Когда были в моде низкие брюки, топы с открытым пупком вызывали споры.",Анатомия / одежда.
Chapter 3,触目惊心,шокирующий; потрясающий,Такая расточительность — по-настоящему шокирующее зрелище.,Сильное негативное впечатление.
Chapter 3,征集,собирать; объявлять набор,"Журнал объявляет набор эссе, он прислал воспоминания о матери.",Издательский контекст.
Chapter 3,文集,собрание сочинений,В сборник вошли тексты автора об одежде и памяти.,Издательский термин.
Chapter 3,附录,приложение,В приложении — ранние фото и записи размеров одежды.,Книжный / академический термин.
Chapter 3,谈吐,манера речи; слог,"Она говорит спокойно, видна хорошая воспитанность.",Стиль речи.
Chapter 3,得体,уместный; приличный,На собеседовании уместный наряд очень важен.,Похвала за такт.
Chapter 3,就算,даже если,"Даже если фасон устарел, мать не могла выбросить ту вещь.",Уступительный союз.
