"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"Chapter 3","沾亲带故","zhān qīn dài gù","有亲戚或故旧关系。","related through family or old ties","形","～的朋友；～的关系","中性","我们是沾亲带故的老乡，见面格外亲切。","We are old townsfolk related by family ties, so meeting feels especially warm.","Describes kinship or long acquaintance.","","亲戚"
"Chapter 3","妙龄","miàolíng","指女子正当青春美好的年纪。","prime of youth (for women)","名","～少女；～时期；正值～","褒义","照片里的母亲当时正是妙龄，笑容明亮。","In the photo, Mother was in the prime of her youth, with a bright smile.","Literary, often in written style.","","青春"
"Chapter 3","飘然而至","piāorán ér zhì","形容轻快地到来。","arrive lightly; appear gracefully","动","香气～；脚步声～","书面","春天的气息随着暖风飘然而至。","The breath of spring arrived lightly on the warm breeze.","Literary description of arrival.","","悄然而至"
"Chapter 3","去世","qùshì","人死去（婉辞）。","pass away","动","不幸～；亲人～；早年～","中性","母亲去世后，家里一直留着她当年的春装。","After Mother passed away, the family kept the spring clothes she once wore.","Polite euphemism for death.","","逝世"
"Chapter 3","心中","xīnzhōng","心里；内心。","in one's heart; inwardly","名","～一动；～明白；～有数","中性","读到那封信，她心中又泛起对母亲的追思。","Reading that letter, she again felt longing for her mother in her heart.","Often in literary narration.","","心里"
"Chapter 3","泛起","fàn qǐ","（波浪、感情等）浮现、涌起。","well up; rise (of feelings)","动","～涟漪；～回忆；～笑意","中性","提起往事，他眼中泛起泪光。","Mentioning the past brought a glisten of tears to his eyes.","Used for emotions or ripples.","","涌起"
"Chapter 3","追思","zhuīsī","追念、思念（已故的人）。","cherish the memory of (the deceased)","动","深切～；～故人；～母亲","书面","每年清明，他都会去墓前追思母亲。","Every Qingming, he goes to the grave to cherish his mother's memory.","Formal remembrance.","","怀念"
"Chapter 3","惆怅","chóuchàng","伤感，失意，心里不痛快。","melancholy; sorrowful","形","感到～；～的心情；无限～","中性","旧物触景，她不免有些惆怅。","Old objects stirred memories, leaving her somewhat melancholy.","Literary mood word.","","伤感"
"Chapter 3","装束","zhuāngshù","衣着打扮。","dress; attire","名","一身～；～得体；～朴素","中性","她的装束简洁大方，很符合职业女性的气质。","Her attire was simple and elegant, fitting a professional woman.","Can also be used as a verb in writing.","","打扮"
"Chapter 3","时髦","shímáo","形容样式新、跟得上时尚。","fashionable; stylish","形","～款式；～衣服；很～","中性","这件外套当年很时髦，现在看也不过时。","This coat was very fashionable then and still does not look dated.","Often about clothing.","","时尚"
"Chapter 3","发型","fàxíng","头发梳理成的样式。","hairstyle","名","改变～；～整齐；～新颖","中性","她换了一个清爽的发型，整个人精神了许多。","She changed to a fresh hairstyle and looked much more energetic.","Common in appearance description.","","发式"
"Chapter 3","脐","qí","肚子中间脐带脱落留下的痕迹；肚脐。","navel; belly button","名","～贴；露～；～眼","中性","低腰裤流行时，露脐装曾引起不少讨论。","When low-rise pants were popular, midriff-baring tops sparked much discussion.","Anatomy/clothing term.","","肚脐"
"Chapter 3","触目惊心","chù mù jīng xīn","看到某种严重情况而内心震惊。","shocking; startling","成语","～的场面；～的数字；令人～","贬义","浪费如此严重，实在触目惊心。","Such serious waste is truly shocking to see.","Strong negative visual impact.","","骇人听闻"
"Chapter 3","征集","zhēngjí","用公告或询问等方式收集（作品、意见等）。","collect; solicit; call for","动","～稿件；～意见；～作品","中性","杂志社正在征集散文，他投了一篇回忆母亲的文章。","The magazine is soliciting essays, and he submitted one about his mother.","Common in publishing.","","收集"
"Chapter 3","文集","wénjí","把许多文章汇编成的书。","collected works; anthology","名","出版～；一部～；～序言","中性","这本文集收录了作者关于服装与记忆的文字。","This anthology collects the author's writings on clothing and memory.","Publishing term.","","选集"
"Chapter 3","附录","fùlù","附在正文后面的补充材料。","appendix","名","书后～；～说明；～表格","中性","附录里附有作者早年照片和衣物尺寸记录。","The appendix includes early photos and clothing size records.","Academic/book term.","","附件"
