Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,"Перечисляет несколько дел или причин, происходящих одновременно; чувство занятости или перегруза. «И то …, и то …, а ещё …»"
Chapter 5,再……再……也……,"Подчёркивает: какими бы ни были условия или усилия, результат не изменится. «Как ни …, как ни …, всё равно …»"
Chapter 5,……得不能再……了,"Суперлатив: степень достигла абсолютного предела. «Настолько …, что больше нельзя быть …»"
Chapter 5,可……可……,"Показывает выбор или гибкость: можно поступить так или иначе. «Можно …, а можно и …»"
Chapter 5,取决于……,Результат полностью зависит от условия или фактора. «Зависит от… / определяется…»
Chapter 5,……是……了点儿，不过……,"Сначала признаётся небольшой недостаток, затем важный плюс. «… немного уж …, но …»"
Chapter 7,……都……了，哪能跟……比呀,"Риторический вопрос: разница слишком велика, сравнение невозможно. «… уже на таком уровне — как сравнивать с …?»"
Chapter 7,……了事,"Закончить дело небрежно, лишь бы сбыться с рук. «Сделать кое-как / отделаться формально»"
Chapter 7,……则……，……不……则……,"Книжная условная конструкция: «если …, то …; если нет — то …». Структура 则…不…则…"
Chapter 7,不失为,"Формально: даже если не идеально, всё же хороший выбор или способ. «Можно считать … / неплохой вариант — …»"
Chapter 7,为了……起见，……,Указывает осторожную причину превентивного действия. «Ради … / для … — …»
Chapter 7,……是……，……是……,"Подчёркивает, что два дела разные и их нельзя смешивать. «… — это …, … — это … (разные вещи)»"
Chapter 8,……而已,"В конце фразы снижает значимость, масштаб или цену. «Всего лишь … / не больше чем …»"
Chapter 8,……的可怜,Дополнение к глаголу или прилагательному: количество или степень жалко малы. «Жалко мало / ужасно мало»
Chapter 8,……透了,"После глагола или прилагательного — крайняя степень, часто негативная или «до предела». «Совсем … / насквозь …»"
Chapter 8,可想而知,"Идиома: по известным фактам легко представить исход или трудность. «Можно себе представить / понятно, что…»"
Chapter 8,想也/都别想,Резкий разговорный отказ нереалистичной просьбе. «И не думай! / ни за что»
Chapter 8,难以……,После двусложного глагола: действие трудно или невозможно выполнить. «Трудно … / непросто …»
Chapter 9,时不时地……,"Действие случается часто, но нерегулярно. «Время от времени / то и дело»"
Chapter 9,……得够呛 （……真够呛）,Разговорно: состояние или чувство невыносимо тяжёлое. «До нельзя … / здорово досталось»
Chapter 9,……，不仅如此……,"Переход к более сильному дополнению. «…, и не только это, но и … / к тому же …»"
Chapter 9,不……则已，一……就得（要）……,Пока не начнёшь — тишина; начнёшь — сразу крайний результат. «Не … — и ладно; а уж … — то сразу …»
Chapter 9,……得慌,С частью прилагательных и глаголов психики — невыносимое ощущение. «… до невыносимости / … ужас как …»
Chapter 9,（饱/忍/大）受（尽）……之苦,"Глубоко пережить или страдать от боли, лишений, болезни. «Испытать на себе … / изнуряться …»"
