Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),"दिखावट, रूप, स्वभाव या अंदाज़ के लिए; ताज़ा, मासूम, प्यारा रूप।","आमतौर पर व्यक्ति, रूप, शैली या भाव संशोधित करता है (जैसे 清纯的长相, 眼神清纯)।",उसके लंबे काले बाल हैं और मुस्कुराते समय वह बहुत मासूम लगती है।,"इस फ़िल्म के दोनों मुख्य किरदारों में छात्रों वाला ताज़ा, मासूम स्वभाव है।"
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),"मन, विचार, मकसद, आत्मा या अमूर्त रिश्तों (दोस्ती, प्रेम) के लिए; बुराई या लालच से अछूता।","अमूर्त संज्ञाएँ संशोधित करता है (जैसे 纯洁的友谊, 纯洁的心灵) और संज्ञा भी बन सकता है।","बच्चे का मन सबसे शुद्ध होता है, उसमें एक भी दाग नहीं।",हमारे बीच केवल पेशेवर सहकर्मी का रिश्ता है; कृपया गलत मत समझिए।
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),"औपचारिक, लिखित; छोटे से बड़े, नज़दीक से दूर तक क्रमिक विस्तार।","संयोजक; वाक्य के भीतर शब्द/वाक्यांश जोड़ता है, स्वतंत्र उपवाक्य नहीं शुरू करता।","यह नीति व्यक्ति, परिवार और यहाँ तक कि पूरे देश के भविष्य से जुड़ी है।","उनके शोध को विद्यालय, प्रांत और राष्ट्रीय शैक्षिक समुदाय तक मान्यता मिली।"
Chapter 3,乃至 - 甚至,甚至 (shènzhì),"चरम, अप्रत्याशित या आश्चर्यजनक उदाहरण पर ज़ोर; सामान्य अपेक्षा से आगे।",संयोजक और क्रिया-विशेषण दोनों; स्वतंत्र उपवाक्य जोड़ सकता है; अक्सर 连……都/也…… के साथ।,वह इतना व्यस्त है कि खाने का समय भी नहीं मिलता।,यह समस्या बहुत जटिल है; अनुभवी विशेषज्ञ भी इसे हल नहीं कर पाते।
Chapter 3,体验 - 体味,体验 (tǐyàn),"क्रिया और शारीरिक उपस्थिति पर; स्थिति, जीवनशैली या उत्पाद को प्रत्यक्ष अनुभव करना।","ठोस या सक्रिय वस्तुएँ लेता है (जैसे 体验生活, 体验新产品)।",युवाओं को अलग-अलग जगह घूमकर विभिन्न जीवनशैली का अनुभव करना चाहिए।,हुआवी ने कई डिजिटल प्रेमियों को अपना नवीनतम स्मार्टफ़ोन आज़माने के लिए बुलाया।
Chapter 3,体验 - 体味,体味 (tǐwèi),मानसिक चिंतन और भावनात्मक गहराई; अमूर्त विचारों को गहराई से चखना या समझना।,"अमूर्त, गहरे विषय लेता है (जैसे 体味人生的酸甜苦辣, 体味诗歌的意境)।","जो असफलता झेल चुके हैं, वही सफलता की क़ीमत सच में समझ सकते हैं।","फ़ोन बंद करिए, चुपचाप चाय पीइए और उस पल की शांति का आनंद लीजिए।"
Chapter 3,体验 - 体会,体会 (tǐhuì),"अनुभव के बाद मिली समझ, सबक या भावनात्मक अंतर्दृष्टि; आपने क्या महसूस या सीखा।",क्रिया और संज्ञा दोनों (जैसे 谈谈你的体会 = अपनी समझ साझा करें)।,"जब आप स्वयं माता-पिता बनते हैं, तभी उन्होंने हमें पालने की मेहनत समझ में आती है।",व्याख्यान सुनने के बाद सभी ने अपनी समझ और लाभ साझा किए।
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),"कोमल, अक्सर प्यारा या तटस्थ शर्म; रोमांटिक या सामाजिक लज्जा।",शारीरिक क्रिया या चेहरे के भाव भी बता सकता है (जैसे 羞涩地一笑)।,पहली बार पसंद की व्यक्ति के साथ डेट पर जाते समय वह थोड़ा शर्मीला लगा।,कैमरे के सामने ग्रामीण लड़की ने शर्मीली मुस्कान दी।
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),"शर्म के साथ डर या कायरता (怯); बहुत संकोची, आत्मविश्वास कम, पीछे हटना।","सामाजिक स्थिति या स्वभाव पर (जैसे 性格羞怯, 羞怯地不敢见人)।","नया सहपाठी बहुत संकोची है, हमेशा कोने में चुपचाप बैठता है।","वह डरते-डरते मंच के नीचे खड़ा रहा, मंच पर जाने की हिम्मत नहीं हुई।"
Chapter 3,风行 - 流行,风行 (fēngxíng),"तेज़ गति, अजेय लहर, भारी लोकप्रियता; अचानक तीव्र सांस्कृतिक उफान।","अधिक औपचारिक/साहित्यिक; अक्सर दायरा शब्द चाहिए (风行一时, 风行全球); 很 जैसे क्रिया-विशेषण नहीं।",हाल के वर्षों में यह न्यूनतम जीवनशैली दुनिया भर में छा गई है।,कुछ साल पहले वह स्मार्टफ़ोन गेम कुछ समय के लिए क्रेज़ बन गया; लगभग सभी खेलते थे।
