Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),외모·기질·태도. 젊고 상쾌하며 순수해 보이는 인상.,구체적 사람·외모·스타일·표정을 수식 (清纯的长相 등).,그녀는 검은 긴 머리에 웃을 때 매우 청순해 보인다.,이 영화 남녀 주인공은 학생 특유의 청순한 기질이 있다.
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),마음·사상·영혼·우정·사랑 등 추상적 관계. 악의나 욕심이 없음.,추상 명사 수식 (纯洁的友谊). 명사로도 씀 (保持内心的纯洁).,아이의 마음은 가장 순수해 조금의 잡념도 없다.,우리는 순수한 동료 관계일 뿐이니 오해하지 마라.
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),문어적. 범위가 작은 것에서 큰 것으로 단계적 확대·상승.,접속사. 문장 안에서 어구를 연결. 독립절을 시작하지 않음.,"이 정책은 개인·가정, 나아가 국가의 미래까지 관련된다.",그의 연구 성과는 학교·성·전국 학계의 인정을 받았다.
Chapter 3,乃至 - 甚至,甚至 (shènzhì),극단적·뜻밖의 예를 강조. 충격·놀람의 뉘앙스.,접속사·부사. 독립절 연결 가능. 连……都/也……와 자주 결합.,그는 너무 바빠서 밥 먹을 시간조차 없다.,이 문제는 너무 복잡해 경험 많은 전문가도 풀지 못한다.
Chapter 3,体验 - 体味,体验 (tǐyàn),행동·현장 참여에 초점. 직접 겪거나 제품·활동을 체험.,"구체·능동적 대상 (体验生活, 体验新产品).",젊은이는 여러 곳을 여행하며 다른 생활 방식을 직접 체험해야 한다.,화웨이는 많은 디지털 애호가를 초대해 최신 스마트폰을 체험하게 했다.
Chapter 3,体验 - 体味,体味 (tǐwèi),정신적 성찰·감정의 깊이. 천천히 음미·깊이 느낌.,"추상·심오한 대상 (体味人生的酸甜苦辣, 体味诗歌的意境).",실패를 겪어 본 사람만이 성공의 값을 진정으로 음미할 수 있다.,휴대폰을 끄고 차 한 잔을 조용히 마시며 그 순간의 고요를 음미하라.
Chapter 3,体验 - 体会,体会 (tǐhuì),경험 후 얻은 깨달음·교훈·감정적 이해.,동사·명사 모두 (谈谈你的体会).,부모가 되어야 비로소 부모가 우리를 키우며 겪은 고생을 진정 이해할 수 있다.,강연을 듣고 나서 모두가 각자의 소감과 수확을 나누었다.
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),부드럽고 사랑스러운 수줍음. 연애·수줍은 미소 등.,표정·동작 묘사 (羞涩地一笑).,처음 좋아하는 사람과 데이트할 때 그는 다소 수줍어 보였다.,카메라 앞 시골 소녀가 수줍은 미소를 지었다.
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),수줍음에 겁·소심함(怯)이 더해짐. 자신 없이 움츠러듦.,"성격·심리 상태 (性格羞怯, 羞怯地不敢见人).",새로 온 급우는 성격이 소심해 구석에만 숨어 말을 안 한다.,그는 무대 아래에서 소심하게 서서 연설하러 나가지 못했다.
Chapter 3,风行 - 流行,风行 (fēngxíng),압도적 속도·기세의 유행. 갑작스럽고 강한 문화 열풍.,문어적. 범위 수식 (风行一时). 很 등 정도 부사와 잘 안 씀.,이 미니멀리즘 생활 방식이 최근 전 세계적으로 유행했다.,몇 년 전 그 스마트폰 게임이 한때 대유행해 거의 모두가 했다.
Chapter 3,风行 - 流行,流行 (liúxíng),일반적·넓은 유행어. 맹렬한 기세를 강조하지 않음.,很流行 등 정도 부사 가능. 질병 유행(流行性感冒)에도 씀.,요즘 젊은이 사이에 빈티지 옷차림이 매우 유행한다.,이 팝송 멜로디는 간단해 한 번만 들어도 기억된다.
Chapter 3,夸张 - 夸大,夸张 (kuāzhāng),"과장법·연극적 표현, 또는 일상 말·행동이 지나치게 드라마틱함.",형용사·수사 맥락 (表情太夸张了).,만화가는 인물 얼굴 특징을 과장하는 기법을 자주 쓴다.,가벼운 상처인데 그렇게 울다니 좀 과한 것 같다.
Chapter 3,夸张 - 夸大,夸大 (kuādà),사실을 일부러 부풀려 왜곡. 부정적·불성실함.,"타동사. 목적어 필수 (夸大事实, 夸大病情).",이 회사 광고는 제품 효능을 분명히 과장해 소비자를 기만한 혐의가 있다.,어려움에 직면하면 사실대로 말해야 하며 숨기거나 부풀려서도 안 된다.
Chapter 4,赞许 - 赞同,赞许 (zànxǔ),"감탄·칭찬·인정. 상대위→하위(상사→부하, 어른→아이) 흐름이 많음.",명사로도 (投去赞许的目光).,샤오밍이 노인에게 자리를 양보하자 선생님이 찬탄의 눈빛을 보냈다.,그의 혁신적 아이디어는 경영진의 만장일치 칭찬을 받았다.
Chapter 4,赞许 - 赞同,赞同 (zàntóng),"의견·제안·입장에 대한 동의. 동등 관계, 칭찬 뉘앙스는 약함.",동사. 의견·사람을 목적어로 (赞同你的看法).,그의 시장 분석을 듣고 대부분의 매니저가 그 의견에 동의했다.,나는 속도를 위해 품질을 희생하는 방식에 동의하지 않는다.
