Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,감독하며 재촉하다,부모는 아이가 제때 숙제를 끝내도록 재촉해야 한다.,행동을 밀어붙일 때.
Chapter 5,考级,급수·등급 시험을 보다,많은 부모가 여름 방학에 아이를 피아노 급수 시험에 보낸다.,표준화된 실력 평가.
Chapter 5,奢望,지나친 희망; 과한 요구,그에게 배부르게 한 끼 먹는 것조차 사치스러운 희망이다.,비현실적 기대.
Chapter 5,熏陶,(긍정적으로) 영향을 주다; 윤택하게 하다,그는 서재 있는 집에서 자라 전통 문화의 좋은 영향을 받았다.,오랜 시간에 걸친 긍정적 영향.
Chapter 5,高雅,고상하고 우아한,이 콘서트홀은 고상한 예술 공연을 자주 연다.,취향·예술·태도를 묘사.
Chapter 5,就业,취업; 일자리를 얻다,정부는 여러 경로로 대학생 취업 문제 해결에 힘쓰고 있다.,노동 시장에 진입.
Chapter 5,意愿,바람; 의지,전공을 고를 때 아이의 개인적 바람을 존중해야 한다.,스스로의 의지.
Chapter 5,苦心,애쓴 마음; 고생,부모의 애쓴 마음을 너는 아직 완전히 이해하지 못한다.,깊은 정성과 배려.
Chapter 5,期望值,기대 수준,기대 수준이 너무 높으면 좌절하기 쉽다.,희망의 정도.
Chapter 5,鹏程万里,앞날이 크게 열리다(축하 성어),학업이 발전하고 앞길이 크게 열리기를 바란다.,흔한 축하 성어.
Chapter 5,料,예상하다; 짐작하다,오늘은 안 올 줄 알았는데 일찍 도착했다.,没/不와 자주 결합.
Chapter 5,尽力而为,최선을 다하다,시험 결과가 어떻든 최선을 다했으면 후회 없다.,결과보다 노력을 강조.
Chapter 5,但愿,다만 바라건대; …이면 좋겠다,내일 날씨가 맑아 행사가 순조롭기를 바란다.,진심 어린 소망.
Chapter 5,成才,인재가 되다; 출세하다,부모는 아이가 공부해 인재 되기를 위해 열심히 일한다.,잠재력을 실현.
Chapter 5,包办,전부 대신 맡아 처리하다; 일방적으로 결정하다,부모가 아이 인생의 모든 선택을 대신해서는 안 된다.,과도한 통제를 뜻할 때가 많음.
Chapter 5,心甘情愿,기꺼이; 마음으로 받아들이다,더 나은 교육을 위해 부모는 기꺼이 고생을 감수한다.,전적인 자발성.
Chapter 5,心态,마음가짐; 태도,어려움 앞에서 긍정적 마음가짐을 유지하는 것이 중요하다.,정신 상태.
Chapter 5,传授,(지식·기술을) 전수하다,노교수는 학문 지식을 젊은이에게 아낌없이 전수했다.,기술·지혜를 가르침.
Chapter 5,撒手,손을 놓다; 관여하지 않다,아이가 컸으니 부모도 놓아 주는 법을 배워야 한다.,책임에서 물러남.
Chapter 5,强加,억지로 떠맡기다; 강요하다,부모는 자신의 바람을 아이에게 억지로 떠맡기면 안 된다.,상대 의지를 무시함.
Chapter 5,足够,충분하다,충분한 자신만 있으면 이겨 낼 수 없는 어려움은 없다.,적정한 양.
Chapter 5,后劲,여운; 뒤늦은 힘,이 술은 여운이 강해 마실 때 조심해야 한다.,지속되는 영향.
Chapter 5,揠苗助长,조급해 오히려 망치다(묘를 잡아당김 비유),공부는 차근차근해야 하며 조급하면 역효과다.,성급함을 경계하는 고사.
