Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就算……也……,काल्पनिक अनुमति: 'भले ही'। बोलचाल में सबसे आम; यथार्थवादी परिस्थितियाँ जिनसे परिणाम नहीं बदलता।,"भले कल भारी बारिश हो, हमें पहाड़ पर चढ़ना ही है।","भले आप कुछ न कहें, मैं अनुमान लगा सकता हूँ कि यह किसने किया।","भले इस बार परीक्षा में असफल रहें, आपको आत्मविश्वास नहीं खोना चाहिए।"
Chapter 3,即便……也……,"काल्पनिक अनुमति: 'भले ही / यद्यपि'। 就算 से अधिक औपचारिक, लिखित; समाचार या औपचारिक संदर्भ।","भले भारी आर्थिक दबाव हो, कंपनी को उत्पाद की गुणवत्ता नहीं घटानी चाहिए।","भले आपके पास सर्वोत्तम कौशल हो, बिना मेहनत प्रतियोगिता नहीं जीत सकते।","भले कई साल बीत गए हों, बचपन की वे सुंदर यादें अब भी पहले जैसी स्पष्ट हैं।"
Chapter 3,哪怕……也……,"काल्पनिक अनुमति; मज़बूत भावनात्मक दृढ़ता, त्याग या चरम कष्ट सहने की इच्छा।","भले केवल एक प्रतिशत आशा हो, हमें सौ प्रतिशत प्रयास करना होगा।","सपना पूरा करने के लिए भले बहुत कष्ट झेलना पड़े, उसे यह स्वीकार्य लगता है।","भले पूरी दुनिया विरोध करे, मैं अपने चुनाव पर कायम रहूँगा।"
Chapter 3,纵然……也……,"काल्पनिक अनुमति; सबसे साहित्यिक, औपचारिक, काव्यात्मक; रोज़मर्रा में दुर्लभ।","भले हज़ारों पहाड़-नदियाँ हों, घर लौटने के मेरे कदम नहीं रुकेंगे।","भले उसमें हज़ार कमियाँ हों, आपको सार्वजनिक रूप से मारना नहीं चाहिए।","क्लासिक साहित्य का आकर्षण भले सदियाँ बीत जाएँ, कभी मिटेगा नहीं।"
Chapter 3,多多,उपयोग 1: क्रिया से पहले क्रिया-विशेषण — 'और अधिक [कुछ] करना'; विनम्र अनुरोध या सलाह।,यह बिल्कुल नया प्रोजेक्ट है; आगे कृपया मेरा बहुत सहयोग करें।,नए उत्पाद के डिज़ाइन में कमियाँ अनिवार्य हैं; कृपया विशेषज्ञों से बहुत सहनशीलता की अपेक्षा है।,नए स्कूल में आकर सहपाठियों से बहुत बातचीत करें ताकि जल्दी अनुकूलन हो।
Chapter 3,多多,उपयोग 2: बाद में 'और भी / साथ में' या मुहावरा 多多益善 — 'जितना ज़्यादा उतना अच्छा'।,इस महत्वपूर्ण बचाव सामग्री के लिए जितना ज़्यादा उतना अच्छा।,"जब तक असली कौशल सीख सकें, थोड़ा बहुत कष्ट क्या बिगाड़ता है?",किताबों के बजट की बात हो तो मेरे लिए वह हान ज़िन की तरह है — जितना ज़्यादा उतना अच्छा।
Chapter 3,动词+不再,समाप्ति: 'अब [क्रिया] नहीं' या कुछ करना बंद; अतीत में होने वाली क्रिया/स्थिति का निश्चित अंत।,"यह अच्छी खबर सुनकर उसके मन की चिंता पूरी तरह मिट गई, अब नहीं रही।",जवानी एक बार चली गई तो लौटती नहीं; वर्तमान के अच्छे पलों को संजोएँ।,"नए नियमों से पहले की लंबी अनुमोदन प्रक्रिया अब सरल नहीं रही, समाप्त हो गई।"
Chapter 3,动词+免不了,"अनिवार्यता: 'टाल नहीं सकते', 'अवश्य होगा'; प्राकृतिक, रोकना असंभव परिणाम।",नवाचारी पहली बार सड़क पर गाड़ी चलाते समय थोड़ी घबराहट अनिवार्य है।,पूरी तरह अलग स्वभाव के दो लोग साथ रहें तो रोज़मर्रा में टकराव अनिवार्य है।,उसकी लापरवाही से कंपनी को नुकसान हुआ; इस बार प्रबंधक की आलोचना अनिवार्य है।
Chapter 3,八成/七成/九成/X成,उपयोग 1: सटीक प्रतिशत; प्रत्येक 成 = 10%।,सर्वेक्षण से पता चलता है कि लगभग 70% कर्मचारी वर्तमान वेतन से संतुष्ट हैं।,इस साल मौसम के कारण बगीचे में सेब की पैदावार लगभग 20% कम हुई।,"इस अनुबंध के अनुसार परियोजना का लाभ आपको 60%, मुझे 40% मिलेगा।"
Chapter 3,八成/七成/九成/X成,उपयोग 2: बोलचाल क्रिया-विशेषण 'शायद / बहुत संभावना' (आमतौर पर 八成 या 九成)।,आसमान इतना घना है; लगता है शायद भारी बारिश होगी।,अभी तक जवाब नहीं आया; मुझे लगता है नौ बार में से नौ बार उसने भूल गया।,वह पूरे दिन अनमना था; शायद कोई परेशानी आ पड़ी है।
