"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"Chapter 6","初中","chūzhōng","中学教育阶段的一部分，通常指七到九年级。","junior high school (grades 6-9)","名","～阶段；～毕业；读～","中性","不少家长在孩子上初中后，开始重新规划教育开支。","Many parents start replanning education spending after their children enter junior high.","Used in social commentary to anchor a concrete issue in education or consumption.","","中学"
"Chapter 6","轮流","lúnliú","按照顺序一个接一个地进行。","to take turns","动","～发言；～值班；～上台","中性","社区志愿者轮流值班，保障了夜间服务热线畅通。","Community volunteers take turns on duty, keeping the night service hotline open.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","交替"
"Chapter 6","一贯","yíguàn","在较长时间内保持同样的做法或态度。","consistent, all along","形","～作风；～主张；～态度","中性","社论认为，家长的消费选择如果过于一贯，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 一贯, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","始终"
"Chapter 6","有求必应","yǒu qiú bì yìng","只要有人请求就尽力答应。","respond to every plea","俗语","对群众～；几乎～；真正～","中性","评论指出，一些家庭在育儿方式上出现了有求必应的倾向，需要及时调整节奏。","The commentary points out that some families show a tendency toward 有求必应 in parenting and need to adjust in time.","Useful in editorials to characterize recurring social or parenting patterns succinctly.","","热心"
"Chapter 6","名称","míngchēng","事物、组织或概念所使用的名字。","name (of a thing or an organization)","名","产品～；公司～；官方～","中性","这款新产品上市后，官方名称很快在社交媒体上引发讨论。","After the new product launched, its official name quickly sparked discussion on social media.","Used in social commentary to anchor a concrete issue in education or consumption.","","名字"
"Chapter 6","舍不得","shěbude","因珍惜而不愿意放弃或花掉。","to be reluctant to use or part with","动","～花钱；～丢掉；～离开","中性","报道把舍不得这件事放进家庭教育场景里讨论，提醒家长别被焦虑牵着做决定。","The report discusses 舍不得 within family-education scenarios and reminds parents not to let anxiety drive their decisions.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","不忍"
"Chapter 6","中档","zhōngdàng","质量或价格处于中等层次。","middle-grade","形","～品牌；～产品；～价位","中性","社论认为，家长的消费选择如果过于中档，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 中档, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","中等"
"Chapter 6","高档","gāodàng","质量、定位或价格较高。","top-grade","形","～餐厅；～住宅；～品牌","中性","社论认为，家长的消费选择如果过于高档，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 高档, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","高端"
"Chapter 6","面子","miànzi","个人在他人面前的体面和尊严。","face, dignity","名","给～；顾～；丢～","中性","为了面子买超出预算的商品，反而加重了家庭经济压力。","Buying beyond budget just to save face actually increases family financial pressure.","Used in social commentary to anchor a concrete issue in education or consumption.","","体面"
"Chapter 6","玩具","wánjù","供儿童玩耍或娱乐使用的物品。","toy, plaything","名","儿童～；益智～；电动～","中性","调查显示，家长给孩子买玩具时越来越看重安全认证。","Surveys show parents increasingly value safety certification when buying toys for children.","Used in social commentary to anchor a concrete issue in education or consumption.","","玩意"
"Chapter 6","时下","shíxià","当前这个时期或当下社会。","at present, right now","名","～热门；～流行；～话题","书面","时下不少年轻人更愿意把钱花在体验型消费上。","At present, many young people prefer to spend money on experience-based consumption.","Used in social commentary to anchor a concrete issue in education or consumption.","","当下"
"Chapter 6","水准","shuǐzhǔn","能力、质量或水平所达到的程度。","level, standard","名","服务～；技术～；整体～","中性","这家社区图书馆的服务水准明显提升，借阅量随之增长。","The service level of this community library has improved noticeably, and borrowing has grown.","Used in social commentary to anchor a concrete issue in education or consumption.","","水平"
"Chapter 6","上涨","shàngzhǎng","数量、价格或水平向上增加。","(water level, price, etc.) to rise","动","价格～；成本～；需求～","中性","报道把上涨这件事放进家庭教育场景里讨论，提醒家长别被焦虑牵着做决定。","The report discusses 上涨 within family-education scenarios and reminds parents not to let anxiety drive their decisions.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","上升"
"Chapter 6","文具","wénjù","学习和办公使用的书写及辅助用品。","writing materials","名","办公～；购买～；学习～","中性","开学季一到，文具销量就会明显上升。","Once the school season starts, sales of writing materials rise noticeably.","Used in social commentary to anchor a concrete issue in education or consumption.","","用品"
"Chapter 6","词典","cídiǎn","按一定顺序收录词语并加以解释的工具书。","dictionary","名","查～；电子～；双语～","中性","遇到生词时，他习惯先查词典再联系上下文理解。","When he meets an unfamiliar word, he checks the dictionary first and then uses context.","Used in social commentary to anchor a concrete issue in education or consumption.","","字典"
"Chapter 6","款式","kuǎnshì","产品在外观或设计上的样式。","model, style","名","新～；经典～；多种～","中性","今年秋季，这款外套的新款式一上架就被抢购一空。","This autumn, the new style of this coat sold out as soon as it hit shelves.","Used in social commentary to anchor a concrete issue in education or consumption.","","样式"
"Chapter 6","新颖","xīnyǐng","形式新鲜且有创意。","new and original, novel","形","设计～；题材～；观点～","褒义","社论认为，家长的消费选择如果过于新颖，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 新颖, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","新鲜"
"Chapter 6","狡猾","jiǎohuá","心思多且善于用手段，不够真诚。","sly, crafty","形","手段～；十分～；老练～","贬义","社论认为，家长的消费选择如果过于狡猾，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 狡猾, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","奸诈"
"Chapter 6","昂贵","ángguì","价格明显偏高。","costly, expensive","形","价格～；费用～；过于～","中性","社论认为，家长的消费选择如果过于昂贵，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 昂贵, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","高价"
"Chapter 6","照旧","zhàojiù","与过去一样，没有变化。","as before, as usual","副","一切～；工作～；按计划～","中性","尽管条件有限，老李还是照旧每天早起去菜市场摆摊。","Despite limited conditions, Lao Li still goes to the market early every day as usual.","Common in formal writing, discussion, and news-style contexts.","","仍旧"
"Chapter 6","退休","tuìxiū","达到规定条件后离开工作岗位。","to retire","动","办理～；提前～；正式～","中性","报道把退休这件事放进家庭教育场景里讨论，提醒家长别被焦虑牵着做决定。","The report discusses 退休 within family-education scenarios and reminds parents not to let anxiety drive their decisions.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","离休"
"Chapter 6","千方百计","qiān fāng bǎi jì","想尽各种办法去达成目的。","by all possible means","形","～降低成本；～争取机会；～解决问题","中性","社论认为，家长的消费选择如果过于千方百计，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 千方百计, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","想方设法"
"Chapter 6","说服","shuōfú","通过理由使对方接受自己的观点。","to circumvent, to persuade, to convince","动","努力～；成功～；难以～","中性","报道把说服这件事放进家庭教育场景里讨论，提醒家长别被焦虑牵着做决定。","The report discusses 说服 within family-education scenarios and reminds parents not to let anxiety drive their decisions.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","劝服"
"Chapter 6","谋","móu","为实现目标而筹划或打算。","to plan, to scheme","动","～发展；～出路；～利益","中性","报道把谋这件事放进家庭教育场景里讨论，提醒家长别被焦虑牵着做决定。","The report discusses 谋 within family-education scenarios and reminds parents not to let anxiety drive their decisions.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","策划"
"Chapter 6","吃力","chīlì","做起来费劲，需要较大体力或精力。","entail strenuous effort","形","做得～；学起来～；推进很～","中性","社论认为，家长的消费选择如果过于吃力，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 吃力, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","费劲"
"Chapter 6","无可奈何","wú kě nài hé","没有办法，只能接受现状。","have no other alternative","俗语","感到～；显得～；只能～","中性","评论指出，一些家庭在育儿方式上出现了无可奈何的倾向，需要及时调整节奏。","The commentary points out that some families show a tendency toward 无可奈何 in parenting and need to adjust in time.","Useful in editorials to characterize recurring social or parenting patterns succinctly.","","无奈"
"Chapter 6","艰辛","jiānxīn","过程困难且付出很大。","hard","形","过程～；生活～；创业～","书面","社论认为，家长的消费选择如果过于艰辛，反而可能给孩子带来额外压力。","The editorial argues that if parents' spending choices become too 艰辛, children may face extra pressure.","Used to evaluate attitudes or tendencies in opinion pieces about parenting and society.","","艰苦"
"Chapter 6","支付","zhīfù","按约定付出金钱或成本。","to pay (money)","动","线上～；延期～；按月～","中性","报道把支付这件事放进家庭教育场景里讨论，提醒家长别被焦虑牵着做决定。","The report discusses 支付 within family-education scenarios and reminds parents not to let anxiety drive their decisions.","Often appears in reported actions or decisions in parenting and consumer-behavior writing.","","付款"
