Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,清纯 - 纯洁,清纯 (qīngchún),外見・雰囲気・仕草を描写する。若々しく清らかで甘い、無邪気な印象を含む。,具体的な人・顔立ち・スタイル・表情などを修飾する（例：清纯的长相、眼神清纯）。,彼女は黒い長い髪をしており、笑うととても清純に見える。,この映画の男女主役は、学生特有の清純な雰囲気を持っている。
Chapter 3,清纯 - 纯洁,纯洁 (chúnjié),内面・思想・動機・魂、または友情・愛情などの抽象的関係を描写する。悪意や欲に染まっていない。,抽象名詞を修飾する（例：纯洁的友谊、纯洁的心灵）。名詞としても使える（例：保持内心的纯洁）。,子どもの心は最も純潔で、わずかな汚れもない。,私たちの間は純粋な同僚関係です。誤解しないでください。
Chapter 3,乃至 - 甚至,乃至 (nǎizhì),書き言葉。範囲が小さいものから大きいものへ段階的に広がる・エスカレートする。,文の中で語句や句をつなぐ接続詞。単独で新しい節を始められない。,この政策は個人や家庭だけでなく、国全体の未来にも関わる。,彼の研究成果は校内、省内、さらには全国の学界から認められた。
Chapter 3,乃至 - 甚至,甚至 (shènzhì),極端で意外な例を強調し、常識を超えることを示す。衝撃的なニュアンス。,接続詞・副詞の両方。独立節をつなげる。しばしば「连……都/也……」と共起。,彼は忙しくて、食事をする時間さえない。,この問題は非常に複雑で、経験豊富な専門家でも解決できない。
Chapter 3,体验 - 体味,体验 (tǐyàn),行動・身体的参加に焦点。状況・生活様式・活動・製品を自分で経験する。,具体的・能動的な対象を取る（例：体验生活、体验新产品、体验虚拟现实）。,若者はさまざまな場所へ旅行し、違う生活様式を体験すべきだ。,Huaweiは多くのデジタル愛好家を招き、最新のスマートフォンを体験してもらった。
Chapter 3,体验 - 体味,体味 (tǐwèi),精神的な省察・感情の深さに焦点。抽象概念や感情をじっくり味わい、深く味わう。,抽象的・深い対象を取る（例：体味人生的酸甜苦辣、体味诗歌的意境）。,失敗を経験した人だけが、成功の大変さを本当に味わえる。,スマホを切り、静かにお茶を飲み、その瞬間の静けさを味わう。
Chapter 3,体验 - 体会,体会 (tǐhuì),経験のあとに得た心の結果・教訓・洞察・理解を強調する。何を学び感じたかに答える。,動詞・名詞の両方（例：谈谈你的体会＝感想・学びを話す）。,自分が親になって初めて、両親が私たちを育てた苦労を本当に理解できる。,講義を聞いたあと、皆が心の体会と収穫を共有した。
Chapter 3,羞涩 - 羞怯,羞涩 (xiūsè),穏やかで、しばしば愛らしい中性の恥ずかしさ。恋愛的・控えめ・社会的な照れ。,動作や表情を描写できる（例：羞涩地一笑、脸上露出羞涩的神情）。,初めて好きな人とデートしたとき、彼は少しはにかんでいた。,カメラの前で、その村の少女ははにかんだ微笑みを見せた。
Chapter 3,羞涩 - 羞怯,羞怯 (xiūqiè),恥ずかしさに恐れ・おくびょう（怯）を伴う。自信がなく、引っ込み、発言を恐れる。,心理状態や性格を表す（例：性格羞怯、羞怯地不敢见人）。,この新入生は内気で、いつも隅っこに隠れて黙っている。,彼は舞台の下でおくびょうに立ち、舞台に上がってスピーチする勇気がなかった。
Chapter 3,风行 - 流行,风行 (fēngxíng),巨大な勢い・押し寄せる人気・圧倒的な流行。突然の強烈な文化ブーム。,やや書き言葉的。範囲の修飾語を伴うことが多い（例：风行一时、风行全球）。「很」などの程度副詞は通常不可。,このミニマリストの生活様式は近年、世界中に広がった。,数年前、そのスマホゲームは一時大流行し、ほとんどみんなが遊んでいた。
