Chapter,hanzi,meaning,example_en,usage_note
Chapter 6,初中,,,
Chapter 6,轮流,,,
Chapter 6,一贯,,,
Chapter 6,有求必应,,,
Chapter 6,名称,,,
Chapter 6,舍不得,,,
Chapter 6,中档,,,
Chapter 6,高档,,,
Chapter 6,面子,,,
Chapter 6,玩具,,,
Chapter 6,时下,,,
Chapter 6,水准,,,
Chapter 6,上涨,,,
Chapter 6,文具,,,
Chapter 6,词典,,,
Chapter 6,款式,,,
Chapter 6,新颖,,,
Chapter 6,狡猾,,,
Chapter 6,昂贵,,,
Chapter 6,照旧,,,
Chapter 6,退休,,,
Chapter 6,千方百计,,,
Chapter 6,说服,,,
Chapter 6,谋,,,
Chapter 6,吃力,,,
Chapter 6,无可奈何,,,
Chapter 6,艰辛,,,
Chapter 6,支付,,,
Chapter 6,化妆品,,,
Chapter 6,此时,,,
Chapter 6,懒惰,,,
Chapter 6,娇气,,,
Chapter 6,无穷无尽,,,
Chapter 6,挥霍,,,
Chapter 6,来之不易,,,
Chapter 6,财力,,,
Chapter 6,理智,,,
Chapter 6,开支,,,
Chapter 6,财务,,,
Chapter 6,不妨,,,
Chapter 6,开销,,,
Chapter 6,取舍,,,
Chapter 7,透视,,,
Chapter 7,形态,,,
Chapter 7,展望,,,
Chapter 7,话题,,,
Chapter 7,颇,,,
Chapter 7,耐人寻味,,,
Chapter 7,扮演,,,
Chapter 7,角色,,,
Chapter 7,无所谓,,,
Chapter 7,增添,,,
Chapter 7,结晶,,,
Chapter 7,赞同,,,
Chapter 7,给予,,,
Chapter 7,低下,,,
Chapter 7,门当户对,,,
Chapter 7,人品,,,
Chapter 7,投缘,,,
Chapter 7,因素,,,
Chapter 7,身材,,,
Chapter 7,长相,,,
Chapter 7,享乐,,,
Chapter 7,范畴,,,
Chapter 7,社交,,,
Chapter 7,主导,,,
Chapter 7,微不足道,,,
Chapter 7,娱乐,,,
Chapter 7,书籍,,,
Chapter 7,时尚,,,
Chapter 7,别具一格,,,
Chapter 7,风格,,,
Chapter 7,冲动,,,
Chapter 7,储蓄,,,
Chapter 7,收支,,,
Chapter 7,学业,,,
Chapter 7,看重,,,
Chapter 7,针对,,,
Chapter 7,依次,,,
Chapter 7,率,,,
Chapter 7,倒数,,,
Chapter 7,总的来说,,,
Chapter 8,短信,,,
Chapter 8,零食,,,
Chapter 8,正餐,,,
Chapter 8,征集,,,
Chapter 8,应邀,,,
Chapter 8,评委,,,
Chapter 8,蓬勃,,,
Chapter 8,主办,,,
Chapter 8,主编,,,
Chapter 8,文坛,,,
Chapter 8,随即,,,
Chapter 8,针锋相对,,,
Chapter 8,偏见,,,
Chapter 8,定义,,,
Chapter 8,调侃,,,
Chapter 8,幽默,,,
Chapter 8,滑稽,,,
Chapter 8,探讨,,,
Chapter 8,心态,,,
Chapter 8,看待,,,
Chapter 8,扛,,,
Chapter 8,梯子,,,
Chapter 8,登,,,
Chapter 8,评论,,,
Chapter 8,寓言,,,
Chapter 8,格言,,,
Chapter 8,精巧,,,
Chapter 8,激励,,,
Chapter 8,称道,,,
Chapter 8,情节,,,
Chapter 8,惦记,,,
Chapter 8,喜新厌旧,,,
Chapter 8,采访,,,
Chapter 8,指望,,,
Chapter 8,面世,,,
Chapter 8,俨然,,,
Chapter 8,焦点,,,
Chapter 8,评书,,,
Chapter 8,牵挂,,,
Chapter 8,充实,,,
Chapter 8,卓越,,,
Chapter 8,技巧,,,
Chapter 9,差异,,,
Chapter 9,少女,,,
Chapter 9,盼,,,
Chapter 9,元旦,,,
Chapter 9,心头,,,
Chapter 9,截然,,,
Chapter 9,天文,,,
Chapter 9,高考,,,
Chapter 9,封闭,,,
Chapter 9,挤,,,
Chapter 9,唯一,,,
Chapter 9,固定,,,
Chapter 9,解题,,,
Chapter 9,互动,,,
Chapter 9,单元,,,
Chapter 9,演讲,,,
Chapter 9,幻灯片,,,
Chapter 9,头头是道,,,
Chapter 9,发怵,,,
Chapter 9,交谈,,,
Chapter 9,成形,,,
Chapter 9,思路,,,
Chapter 9,恰当,,,
Chapter 9,快速,,,
Chapter 9,投入,,,
Chapter 9,自在,,,
Chapter 9,毕竟,,,
Chapter 9,分量,,,
Chapter 9,等级,,,
Chapter 9,排队,,,
Chapter 9,领略,,,
Chapter 9,残酷,,,
Chapter 9,悬念,,,
Chapter 9,两极,,,
Chapter 9,分化,,,
Chapter 9,严,,,
Chapter 9,烦恼,,,
Chapter 9,附属,,,
Chapter 9,扎实,,,
Chapter 10,智商,,,
Chapter 10,协调,,,
Chapter 10,涵养,,,
Chapter 10,正值,,,
Chapter 10,应届,,,
Chapter 10,流传,,,
Chapter 10,临场,,,
Chapter 10,出色,,,
Chapter 10,凑巧,,,
Chapter 10,人事,,,
Chapter 10,搀扶,,,
Chapter 10,简历,,,
Chapter 10,优异,,,
Chapter 10,栽,,,
Chapter 10,跟头,,,
Chapter 10,待人处世,,,
Chapter 10,行情,,,
Chapter 10,测定,,,
Chapter 10,说法,,,
Chapter 10,豪言,,,
Chapter 10,敬业,,,
Chapter 10,施展,,,
Chapter 10,才华,,,
Chapter 10,实习,,,
Chapter 10,感慨,,,
Chapter 10,打交道,,,
Chapter 10,盲从,,,
Chapter 10,选定,,,
Chapter 10,筛选,,,
Chapter 10,级别,,,
Chapter 10,贵宾,,,
Chapter 10,播音,,,
Chapter 10,荧屏,,,
Chapter 10,情景,,,
Chapter 10,以往,,,
Chapter 10,区域,,,
Chapter 10,运转,,,
Chapter 10,互补,,,
Chapter 10,换位,,,
Chapter 10,指南,,,
Chapter 10,误事,,,
Chapter 10,汇集,,,
Chapter 10,策略,,,
Chapter 11,能源,,,
Chapter 11,主角,,,
Chapter 11,燃烧,,,
Chapter 11,战略,,,
Chapter 11,占据,,,
Chapter 11,穷尽,,,
Chapter 11,适宜,,,
Chapter 11,就地,,,
Chapter 11,间接,,,
Chapter 11,负载,,,
Chapter 11,辐射,,,
Chapter 11,总和,,,
Chapter 11,贫乏,,,
Chapter 11,密度,,,
Chapter 11,沿海,,,
Chapter 11,岛屿,,,
Chapter 11,观测,,,
Chapter 11,储量,,,
Chapter 11,折合,,,
Chapter 11,一带,,,
Chapter 11,走廊,,,
Chapter 11,欠缺,,,
Chapter 11,粉碎,,,
Chapter 11,容量,,,
Chapter 11,有机,,,
Chapter 11,废弃,,,
Chapter 11,城镇,,,
Chapter 11,野生,,,
Chapter 11,充当,,,
Chapter 11,运输,,,
Chapter 11,并非,,,
Chapter 11,估算,,,
Chapter 11,接收,,,
Chapter 11,储藏,,,
Chapter 11,散发,,,
Chapter 11,潮汐,,,
Chapter 12,看中,,,
Chapter 12,背景,,,
Chapter 12,本土,,,
Chapter 12,论坛,,,
Chapter 12,热点,,,
Chapter 12,总监,,,
Chapter 12,整合,,,
Chapter 12,运作,,,
Chapter 12,方案,,,
Chapter 12,困惑,,,
Chapter 12,加剧,,,
Chapter 12,总裁,,,
Chapter 12,多元化,,,
Chapter 12,招收,,,
Chapter 12,员工,,,
Chapter 12,团队,,,
Chapter 12,氛围,,,
Chapter 12,诚信,,,
Chapter 12,正直,,,
Chapter 12,协作,,,
Chapter 12,负面,,,
Chapter 12,推向,,,
Chapter 12,业务,,,
Chapter 12,环节,,,
Chapter 12,出发点,,,
Chapter 12,分配,,,
Chapter 12,顾问,,,
Chapter 12,便于,,,
Chapter 12,分支,,,
Chapter 12,冒险,,,
Chapter 12,考核,,,
Chapter 12,含义,,,
Chapter 12,理念,,,
Chapter 12,梦想,,,
Chapter 12,福利,,,
Chapter 13,基数,,,
Chapter 13,身份证,,,
Chapter 13,换发,,,
Chapter 13,派出所,,,
Chapter 13,生僻,,,
Chapter 13,输入,,,
Chapter 13,搁置,,,
Chapter 13,办理,,,
Chapter 13,尴尬,,,
Chapter 13,获悉,,,
Chapter 13,软件,,,
Chapter 13,保准,,,
Chapter 13,频率,,,
Chapter 13,成立,,,
Chapter 13,国庆,,,
Chapter 13,通用,,,
Chapter 13,覆盖,,,
Chapter 13,攀升,,,
Chapter 13,可想而知,,,
Chapter 13,国度,,,
Chapter 13,避免,,,
Chapter 13,悬挂,,,
Chapter 13,普照,,,
Chapter 13,传播,,,
Chapter 13,无关紧要,,,
Chapter 13,纳入,,,
Chapter 13,滥用,,,
Chapter 13,耽误,,,
Chapter 13,倒霉,,,
Chapter 13,抓捕,,,
Chapter 13,犯法,,,
Chapter 13,通缉,,,
Chapter 13,罪犯,,,
