Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,supervisar e instar,Los padres deben instar a sus hijos a terminar la tarea a tiempo.,Impulsa a la acción.
Chapter 5,考级,tomar un examen de grado,Muchos padres llevan a sus hijos para exámenes de piano durante el descanso de verano.,Pruebas de habilidad estandarizadas.
Chapter 5,奢望,esperanza salvaje; demanda extravagante,"Para él, poder comer una comida completa es una esperanza extravagante.",Una expectativa irrealista.
Chapter 5,熏陶,influir (positivamente); educar,Creció en una familia de tradición literaria y recibió una buena influencia cultural tradicional.,Influencia positiva gradual con el tiempo.
Chapter 5,高雅,refinado; elegante,Esta sala de conciertos suele albergar actuaciones artísticas refinadas.,"Describe el gusto, el arte o la manera."
Chapter 5,就业,empleo; conseguir empleo,El gobierno trabaja intensamente para resolver el empleo de los graduados universitarios por varios canales.,Incorporarse al mundo laboral.
Chapter 5,意愿,aspiración; deseo,Debemos respetar las aspiraciones personales de los niños al elegir una carrera.,La propia voluntad.
Chapter 5,苦心,esfuerzo penoso; dedicación,Todavía no puedes comprender del todo el esfuerzo y la dedicación de tus padres.,Mucho cuidado y reflexión.
Chapter 5,期望值,nivel de espera,"Si el nivel de expectativa es demasiado alto, es fácil sentirse frustrado.",Grado de esperanza.
Chapter 5,鹏程万里,tener un futuro brillante por delante,Le deseo progreso académico y un futuro brillante por delante.,idioma congratulatorio común.
Chapter 5,料,esperar; anticipar,"Pensé que hoy no vendría, pero llegó antes de lo previsto.",A menudo se usa con 没/不.
Chapter 5,尽力而为,hacer todo lo posible,"Cualquiera que sea el resultado del examen, si haces todo lo posible no te arrepentirás.","Enfatiza el esfuerzo, no el resultado."
Chapter 5,但愿,Sólo espero; si sólo,Sólo espero que el tiempo esté claro mañana para que nuestra actividad pueda ir sin problemas.,Expresa un deseo sincero.
Chapter 5,成才,ser una persona útil,Los padres trabajan duro sólo para apoyar la educación y el éxito de sus hijos.,Alcanzar potencial.
Chapter 5,包办,tomar el control de todo; organizar para alguien,Los padres no deben organizar cada elección de vida para sus hijos.,A menudo implica sobrecontrol.
Chapter 5,心甘情愿,estar perfectamente dispuesto,"Para dar a su hijo una mejor educación, los padres están perfectamente dispuestos a sufrir dificultades.",Total disposición.
Chapter 5,心态,mentalidad; actitud,"Cuando se enfrentan a dificultades, es importante mantener una mentalidad positiva y optimista.",Estado de ánimo.
Chapter 5,传授,pasar (conocimiento),El viejo profesor desinteresado pasó de conocimiento académico a los jóvenes.,Enseñanza de habilidades / sabiduría.
Chapter 5,撒手,lavar las manos de uno; dejar ir,Los niños han crecido; los padres deben aprender a dejar ir.,Dejar la responsabilidad.
Chapter 5,强加,fuerza sobre,Los padres no deben imponer sus propios deseos a sus hijos.,Sugiere falta de respeto por la voluntad de los demás.
Chapter 5,足够,suficiente; suficiente,"Mientras haya suficiente confianza, ninguna dificultad es insuperable.",Cantidad adecuada.
Chapter 5,后劲,post-efecto; poder persistente,Este vino tiene un fuerte post-efecto; ten cuidado al beber.,Impacto continuo.
Chapter 5,揠苗助长,estropear las cosas acelerando el crecimiento (lit. levantar las plántulas),El aprendizaje debe ser gradual; el progreso acelerado sólo retrocede.,Clásica precaución contra la impaciencia.
Chapter 5,神童,niño prodigio,Su actuación en el concurso de matemáticas llevó a la gente a llamarle prodigio.,Se usa sobre todo para niños con talento precoz.
Chapter 5,了不得,notable; terriblemente (de acuerdo),"Este niño puede recitar docenas de poemas a cinco, notables.",Puede elogiar o enfatizar el grado.
Chapter 5,体验,experiencia (de primera mano),Los escritores suelen ir al campo para experimentar la vida y encontrar inspiración.,Participación personal.
Chapter 5,学业,uno de los estudios; académicos,Espero que avance en sus estudios en el nuevo semestre.,Camino de la educación.
Chapter 5,弱点,punto débil; debilidad,Es demasiado impaciente; esa es su mayor debilidad.,Pata o punto blando.
Chapter 5,人际交往,comunicación interpersonal,"La universidad no es sólo para aprender conocimientos, sino también para practicar la comunicación interpersonal.",Socializar.
Chapter 5,卓越,sobresaliente; brillante,Ha logrado resultados notables en la investigación médica.,Calidad excepcional.
Chapter 5,取决,depender; ser determinado por,Si las calificaciones son buenas depende principalmente de su esfuerzo habitual.,Siempre se usa con À.
Chapter 5,智力,inteligencia,El sueño adecuado es muy importante para el desarrollo intelectual de los adolescentes.,Capacidad mental.
Chapter 5,夸奖,alabanza; elogio,Todos los vecinos lo alabaron por ser un niño sensible.,Aprobación verbal.
Chapter 5,意想不到,inesperado; imprevisto,Este viaje me trajo muchas sorpresas inesperados.,Resultado sorprendente.
Chapter 5,层面,nivel; aspecto,Necesitamos analizar este problema desde múltiples niveles.,Ángulo más profundo o más amplio.
Chapter 5,功利,utilitario; fama y riqueza,La educación no debe ser demasiado utilitaria; debe centrarse en el desarrollo general.,Centrarse en la recompensa.
Chapter 5,挑食,ser exigente con la comida,Los niños que son exigentes con los alimentos pueden fácilmente provocar desequilibrios nutricionales.,hábitos alimenticios negativos.
Chapter 5,娇气,frágiles; chillidos,"La mayoría de los niños de hoy son sólo niños, así que es inevitable que sean un poco frágiles.",Fácilmente molesto o herido.
Chapter 5,脆弱,frágiles; débiles,Su resiliencia mental es bastante frágil y no puede tomar un golpe.,Debilidad física o mental.
Chapter 5,挫折,contratiempos; frustración,"En el camino de la vida, todos encontrarán algunos contratiempos.",Dificultades / fracaso.
Chapter 5,承受,oso; perdura;,"Como médico, uno debe ser capaz de soportar una gran presión de trabajo.",Apoyo al peso o al estrés.
Chapter 5,智商,IQ,"Aunque su coeficiente intelectual es alto, no trabaja duro en estudiar.",Métrico mental.
Chapter 5,情商,EQ,"En el lugar de trabajo, EQ es a menudo más importante que el IQ.",Inteligencia emocional.
Chapter 5,自理,autocuidado; prever uno mismo,Aprendió a cuidarse antes de ir a la universidad.,La independencia personal.
Chapter 5,可怜天下父母心,el amor de los padres por sus hijos es ilimitado,Sólo cuando los niños crecen realmente entienden el amor desinteresado de sus padres.,Línea famosa de un poema; a menudo hablada por los padres.
Chapter 5,三天打鱼两天晒网,trabajo por ajuste y comienzos; falta de persistencia,No se puede estudiar un idioma con ajuste y comienza; practicar todos los días.,Alerta contra la inconsistencia.
Chapter 5,放羊,dejar que los niños corran salvajes; descuidar la supervisión,Los padres no pueden descuidar a sus hijos; la disciplina es necesaria cuando procede.,Metáforo por dejar las ovejas desatendidas.
Chapter 5,吃得苦中苦，方为人上人,sólo por las penurias duraderas puede uno,"Él cree que sólo las dificultades conducen a la excelencia, así que nunca aplaude en el entrenamiento.",Anime la perseverancia.
Chapter 5,望子成龙，望女成凤,Espero que los niños tengan éxito,"Los padres esperan que sus hijos tengan éxito, pero también deben respetar sus intereses.",Expresión común de las expectativas parentales.
Chapter 5,平常心,mentalidad ordinaria; ecuanimidad,Mantenga una mentalidad ordinaria antes de una competencia para realizar a su nivel normal.,Útil para exámenes y competición.
Chapter 5,马拉松,maratón; esfuerzo a largo plazo,"Dominar un idioma es como un maratón, depende de la persistencia.",A menudo se utiliza figurativamente.
Chapter 5,悠着点儿,tómalo con calma; vaya fácil,"Has estado demasiado cansada últimamente, tómatelo con calma y no te empujes.",Un consejo amistoso para frenar.
Chapter 5,老天爷,Cielos; Dios (colloquial),Si esto funciona depende del Cielo ahora.,"Coloquial, no doctrina religiosa."
Chapter 5,豆芽菜,brote de frijol (fig.: delgado niño débil),Los niños deben ejercitar más en lugar de sentarse todo el día y hacerse delgados como brotes de frijol.,Metaforo para el físico frágil.
Chapter 5,小胖墩,pequeño gordito,"Varios chicos chubby corrieron alrededor del jardín de infantes, eran adorables.",Apellido afectuoso.
Chapter 5,衣来伸手，饭来张口,tener todo hecho para uno; ser mimados,El niño es adulto y ya no puede tener todo hecho por ellos.,Crítica la falta de independencia.
Chapter 5,草莓族,Generación de fresas (jóvenes frágiles),La competencia es feroz; los jóvenes no pueden ser frágiles como las fresas.,"Taiwán-origin slang, utilizado críticamente."
Chapter 7,婚纱,vestido de novia,Usar un vestido de novia blanco es el sueño de muchas chicas.,Hermoso de boda.
Chapter 7,折腾,arruinamiento alrededor; desastre alrededor,Se apresuró a salir del hospital antes de recuperarse y terminó enfermando de nuevo del escándalo.,Repetida acción sin fruta.
Chapter 7,如花似玉,tan hermosa como flores y jade,La novia es tan hermosa como flores y jade; todo el mundo alaba su mirada.,idioma clásico para la belleza.
Chapter 7,燕尾服,capa de golondrinas; esmoquin,El conductor caminó sobre el escenario usando un abrigo de golondrinas.,Ropa formal.
Chapter 7,绅士,caballero,Siempre se comporta con una manera muy caballerosa en público.,Forma política y cultural.
Chapter 7,风风雨雨,dificultades; pruebas y tribulaciones,Esta vieja pareja ha pasado por décadas de pruebas y tribulaciones juntos.,Las dificultades de la vida.
Chapter 7,弥补,reparación; reparación,"No importa lo mucho que haga, no puedo compensar la culpa en mi corazón.",Arreglar una brecha o error.
Chapter 7,缺憾,arrepentimiento; defecto; imperfección,"Aunque la boda era perfecta, sus padres no podían asistir, dejando un pequeño arrepentimiento.",A menudo sobre la vida o las relaciones.
Chapter 7,孝心,corazón filial; piedad,Este es el corazón filial del niño; por favor aceptelo.,Intente ser filial.
Chapter 7,清贫,humilde/pobre (pero limpio),Ese viejo profesor vivió una vida humilde pero satisfactoria.,Generalmente se refiere a los intelectuales.
Chapter 7,纯真,puro; inocente,Extraño esa felicidad pura de la infancia más.,Genuine e incorrupted.
Chapter 7,风雨同舟,en el mismo barco; a través de grueso y delgado,"Durante el tiempo más difícil de la compañía, los empleados decidieron estar con el jefe a través de grueso y delgado.",Ayuda mutua en crisis.
Chapter 7,相濡以沫,ayuda mutua en tiempos difíciles,La pareja se ayudó el uno al otro a través de los años difíciles.,Profundo apoyo mutuo.
Chapter 7,酿造,cervecería; crear (metáforicamente),El afecto de una pareja se elabora lentamente a través de la vida cotidiana juntos.,A menudo figurativo para los sentimientos.
Chapter 7,比喻,metáfora; analogía,Al autor le gustaba la juventud al sol a las ocho o nueve de la mañana.,Dispositivo literario.
Chapter 7,贴切,apt; appropriate,Este adjetivo es muy apropiado aquí.,Perfecto para palabras/conceptos.
Chapter 7,秘诀,secreto (de éxito),El trabajo duro y la persistencia son los únicos secretos al éxito.,La clave para un resultado.
Chapter 7,无关紧要,inmaterial; de ninguna consecuencia,"Mientras la dirección general sea correcta, estos detalles son inmateriales.",No es vital.
Chapter 7,包容,tolerar; perdonar; abrazar,Los miembros de la familia deben tolerarse mutuamente y tener más comprensión.,Pensamiento abierto.
Chapter 7,磨合,romper en; encajar en,Los nuevos empleados y el equipo todavía necesitan tiempo para adaptarse.,Nos acostumbramos.
Chapter 7,化解,resolver; disolver,Una sonrisa es la mejor manera de resolver la vergüenza.,Neutralizar un negativo.
Chapter 7,茅塞顿开,repentinamente ver la luz,"Después de la pista del profesor, de repente entendí este problema.",Describe un flash de visión.
Chapter 7,坟墓,tumba;,El matrimonio no es la tumba del amor.,Lugar de descanso final.
Chapter 7,悲剧,tragedia,La codicia es a menudo la causa raíz de la tragedia personal.,Resultado triste o tipo de juego.
Chapter 7,白头到老,envejecer juntos,"En la boda, amigos y familia deseaban que la pareja se envejeciera.",El matrimonio de toda la vida.
