Chapter,hanzi,meaning,example_en,usage_note
Chapter 5,督促,контролировать и призывать,Родители должны побуждать своих детей выполнять домашние задания вовремя.,Подталкивание к действию.
Chapter 5,考级,сдать экзамен,Многие родители отправляют своих детей на экзамены по игре на фортепиано во время летних каникул.,Стандартизированное тестирование навыков.
Chapter 5,奢望,дикая надежда; непомерный спрос,Для него возможность полноценно поесть — это экстравагантная надежда.,Нереалистичные ожидания.
Chapter 5,熏陶,влияние (положительное); воспитывать,Он вырос в ученой семье и получил прекрасное традиционное культурное влияние.,Постепенное положительное влияние с течением времени.
Chapter 5,高雅,изысканный; элегантный,В этом концертном зале часто проходят изысканные артистические представления.,"Описывает вкус, искусство или манеру поведения."
Chapter 5,就业,работа; получить работу,Правительство прилагает все усилия для решения проблемы трудоустройства выпускников по различным каналам.,Присоединение к рабочей силе.
Chapter 5,意愿,стремление; желание,Мы должны уважать личные стремления детей при выборе специальности.,Собственная воля.
Chapter 5,苦心,кропотливые усилия,Вы пока не можете до конца понять кропотливые усилия своих родителей.,Большая забота и мысль.
Chapter 5,期望值,уровень ожидания,"Если уровень ожиданий установлен слишком высоко, легко разочароваться.",Степень надежды.
Chapter 5,鹏程万里,впереди светлое будущее,Желаю вам академического прогресса и светлого будущего.,Распространенная поздравительная идиома.
Chapter 5,料,ожидать; предвидеть,"Я ожидал, что он не придет сегодня, но он пришел рано.",Часто используется с 没/不.
Chapter 5,尽力而为,стараться изо всех сил,"Каким бы ни был результат экзамена, если вы приложите все усилия, вы не пожалеете.","Подчеркивает усилия, а не результат."
Chapter 5,但愿,Я только надеюсь; если бы только,"Я только надеюсь, что завтра будет ясная погода и наша деятельность пройдет гладко.",Выражает искреннее пожелание.
Chapter 5,成才,стать полезным человеком,"Родители много работают, чтобы поддержать образование и успех своих детей.",Достижение потенциала.
Chapter 5,包办,взять на себя ответственность за все; устроить для кого-то,Родители не должны устраивать каждый жизненный выбор за своих детей.,Часто подразумевает чрезмерный контроль.
Chapter 5,心甘情愿,быть совершенно готовым,"Чтобы дать своему ребенку лучшее образование, родители готовы терпеть лишения.",Полная готовность.
Chapter 5,心态,мышление; отношение,"Столкнувшись с трудностями, важно сохранять позитивный и оптимистичный настрой.",Состояние ума.
Chapter 5,传授,передавать (знания),Старый профессор самоотверженно передавал академические знания молодежи.,Педагогические навыки/мудрость.
Chapter 5,撒手,мыть руки; отпустить,Дети выросли; родители должны научиться отпускать.,Уход от ответственности.
Chapter 5,强加,навязывать; навязать,Родители не должны навязывать детям свои желания.,Предполагает отсутствие уважения к воле других.
Chapter 5,足够,достаточно; достаточный,"Пока существует достаточная уверенность, ни одна трудность не является непреодолимой.",Адекватное количество.
Chapter 5,后劲,последействие; сохраняющаяся власть,"Это вино имеет сильное последействие; будьте осторожны, когда пьете.",Продолжающееся воздействие.
Chapter 5,揠苗助长,"портить вещи, торопя рост (букв. выдергивать рассаду)",Обучение должно быть постепенным; стремительный прогресс имеет только неприятные последствия.,Классическое предостережение от нетерпения.
Chapter 5,神童,вундеркинд,Его выступление на математическом соревновании заставило людей назвать его вундеркиндом.,Часто используется для одаренных детей.
Chapter 5,了不得,замечательный; ужасно (степень),Этот ребенок в пять лет может прочитать десятки стихотворений — замечательно.,Может похвалить или подчеркнуть степень.
Chapter 5,体验,опыт (из первых рук),"Писатели часто отправляются в деревню, чтобы ощутить жизнь и найти вдохновение.",Личное участие.
Chapter 5,学业,учеба; ученые,"Я надеюсь, что ты добьешься успехов в учебе в новом семестре.",Образовательный путь.
Chapter 5,弱点,слабое место; слабость,Он слишком нетерпелив; это его самая большая слабость.,Недостаток или слабое место.
Chapter 5,人际交往,межличностное общение,"Университет предназначен не только для получения знаний, но и для практики межличностного общения.",Общение.
Chapter 5,卓越,выдающийся; блестящий,Он добился выдающихся результатов в медицинских исследованиях.,Исключительное качество.
Chapter 5,取决,зависеть от; определяться,Хорошие ли оценки зависят главным образом от ваших обычных усилий.,Всегда используется с 于.
Chapter 5,智力,интеллект,Достаточный сон очень важен для интеллектуального развития подростков.,Умственные способности.
Chapter 5,夸奖,хвалить; комплимент,"Все соседи хвалили его за то, что он разумный ребенок.",Устное одобрение.
Chapter 5,意想不到,непредвиденный; непредвиденный,Эта поездка принесла мне много неожиданных сюрпризов.,Неожиданный результат.
Chapter 5,层面,уровень; аспект,Нам необходимо проанализировать эту проблему на нескольких уровнях.,Более глубокий или широкий угол.
Chapter 5,功利,утилитарный; слава и богатство,Образование не должно быть слишком утилитарным; оно должно быть сосредоточено на общем развитии.,Сосредоточенность исключительно на вознаграждении.
Chapter 5,挑食,быть разборчивым в еде,Привередливость детей в еде может легко привести к дисбалансу питания.,Негативная пищевая привычка.
Chapter 5,娇气,хрупкий; брезгливый,"Большинство современных детей — всего лишь дети, поэтому неизбежно, что они немного хрупкие.",Легко расстроиться или обидеться.
Chapter 5,脆弱,хрупкий; слабый,Его психическая устойчивость довольно хрупка и не выдержит удара.,Физическая или умственная слабость.
Chapter 5,挫折,неудача; разочарование,На жизненном пути каждый встретит некоторые неудачи.,Трудности/неудачи.
Chapter 5,承受,нести; выдерживать,"Будучи врачом, человек должен уметь выдерживать огромную нагрузку на работе.",О физической или психологической нагрузке.
Chapter 5,智商,IQ,"Хотя его IQ высок, он не усердно учится.",Ментальная метрика.
Chapter 5,情商,эмоциональный интеллект,На рабочем месте EQ зачастую важнее IQ.,Способность понимать эмоции.
Chapter 5,自理,самостоятельное лечение; обеспечивать себя,Он научился заботиться о себе еще до поступления в университет.,Личная независимость.
Chapter 5,可怜天下父母心,любовь родителей к своим детям безгранична,"Только когда дети вырастают, они по-настоящему понимают беззаветную любовь своих родителей.",Знаменитая строка из стихотворения; часто говорят родители.
