Chapter,hanzi,meaning,example_en,usage_note
Movie 4,恁,,,
Movie 4,白,,,
Movie 4,中,,,
Movie 4,妞,,,
Movie 4,咋,,,
Movie 4,手艺,,,
Movie 4,双胞胎,,,
Movie 4,轻重缓急,,,
Movie 4,明事理,,,
Movie 4,云游,,,
Movie 4,亲家,,,
Movie 4,熬,,,
Movie 4,拌嘴,,,
Movie 4,抑郁,,,
Movie 4,不为人知,,,
Movie 4,焦虑,,,
Movie 4,丧失,,,
Movie 4,下岗,,,
Movie 4,嫌弃,,,
Movie 4,架子,,,
Movie 4,伺候,,,
Movie 4,犟,,,
Movie 4,横挑鼻子竖挑眼,,,
Movie 4,鸡蛋里面挑骨头,,,
Movie 4,抠,,,
Movie 4,折腾,,,
Movie 4,没心没肺,,,
Movie 4,砸锅卖铁,,,
Movie 4,垫底,,,
Movie 4,三天两头,,,
Movie 4,潜意识,,,
Movie 4,绑架,,,
Movie 4,夹着尾巴做人,,,
Movie 4,懦弱,,,
Movie 4,抛弃,,,
Movie 4,节骨眼,,,
Movie 4,大局观,,,
Movie 4,站稳脚跟,,,
Movie 4,当牛做马,,,
Movie 4,幺蛾子,,,
Movie 4,消停,,,
Movie 4,指手画脚,,,
Movie 4,指使,,,
Movie 4,天高地厚,,,
Movie 4,拖累,,,
Movie 3,甩,,,
Movie 3,卖命,,,
Movie 3,团聚,,,
Movie 3,味觉,,,
Movie 3,退化,,,
Movie 3,巫婆,,,
Movie 3,一团糟,,,
Movie 3,顺眼,,,
Movie 3,伴侣,,,
Movie 3,灰头土脸,,,
Movie 3,官司,,,
Movie 3,女大不中留,,,
Movie 3,巴不得,,,
Movie 3,狗嘴吐不出象牙,,,
Movie 3,知心话,,,
Movie 3,任性,,,
Movie 3,挑剔,,,
Movie 3,绝活,,,
Movie 3,抛绣球,,,
Movie 3,插嘴,,,
Movie 3,单枪匹马,,,
Movie 3,脱臼,,,
Movie 3,言之过早,,,
Movie 3,顶尖,,,
Movie 3,无牵无挂,,,
Movie 3,崩溃,,,
Movie 3,魂不守舍,,,
Movie 3,不妥,,,
Movie 3,操心,,,
Movie 3,生不如死,,,
Movie 3,讽刺,,,
Movie 3,一走了之,,,
Movie 3,不可思议,,,
Movie 3,干涉,,,
Movie 3,上司,,,
Movie 3,荒谬,,,
Movie 3,肉麻,,,
Movie 3,过火,,,
Movie 3,坐镇,,,
Movie 3,伤脑筋,,,
Movie 3,儿孙自有儿孙福,,,
Movie 3,亲如一家,,,
Movie 3,连累,,,
Movie 3,委曲求全,,,
Movie 3,指指点点,,,
