"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","一声不吭","yīshēngbùkēng","比喻not say a word；比喻not say a word","to not say a word；to not say a word","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","另眼相看","lìngyǎnxiāngkàn","regard (or look up to) sb. with special respect；give sb. special treatment；view sb. in a new, more favourable light；see sb. in a new light；regard (or look up to) sb. with special respect；give sb. special treatment；view sb. in a new, more favourable light；see sb. in a new light","regard (or look up to) sb. with special respect；give sb. special treatment；view sb. in a new, more favourable light；see sb. in a new light；regard (or look up to) sb. with special respect；give sb. special treatment；view sb. in a new, more favourable light；see sb. in a new light","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","可想而知","kěxiǎngzhī","(it) goes without saying；can well be imagined；(it) goes without saying；can well be imagined","(it) goes without saying；can well be imagined；(it) goes without saying；can well be imagined","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","彼此彼此","bǐcǐbǐcǐ","you and me both；that makes two of us；you and me both；that makes two of us","you and me both；that makes two of us；you and me both；that makes two of us","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","意在笔先","yìzàibǐxiān","have an idea in the mind before starting writing or painting；have an idea in the mind before starting writing or painting","have an idea in the mind before starting writing or painting；have an idea in the mind before starting writing or painting","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","深居简出","shēnjūjiǎnchū","live in the seclusion (of one's own home and rarely come out)；live in the seclusion (of one's own home and rarely come out)","live in the seclusion (of one's own home and rarely come out)；live in the seclusion (of one's own home and rarely come out)","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","讨个吉利","tǎo ge jílì","P. ask for something as a token of good omen；P. ask for something as a token of good omen","P. ask for something as a token of good omen；P. ask for something as a token of good omen","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"November 2025/成语；PKU Sem1 文学课/成语/期末考试","道听途说","dàotīngtúshuō","hearsay；rumour；hearsay；rumour","hearsay；rumour；hearsay；rumour","成语","这是道听途说；这是道听途说","中性","这是道听途说, 不足为信。","Zhè shì dàotīngtúshuō, bùzú wèi xìn.","固定搭配，整体理解，不宜逐字直译。","",""
"October 2025/成语；November 2025/成语；PKU Sem1 文学课/成语/期中考试","执迷不悟","zhímíbùwù","obstinately stick to a wrong course；perverse；refuse to see one's sense；blind；obstinately stick to a wrong course；perverse；refuse to see one's sense；blind；obstinately stick to a wrong course；perverse；refuse to see one's sense；blind","obstinately stick to a wrong course；perverse；refuse to see one's sense；blind；obstinately stick to a wrong course；perverse；refuse to see one's sense；blind；obstinately stick to a wrong course；perverse；refuse to see one's sense；blind","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"October 2025/成语；November 2025/成语；PKU Sem1 文学课/成语/期中考试","迫不及待","pòbùjídài","very impatient；unable to hold back；too impatient to wait；very impatient；unable to hold back；too impatient to wait；very impatient；unable to hold back；too impatient to wait","very impatient；unable to hold back；too impatient to wait；very impatient；unable to hold back；too impatient to wait；very impatient；unable to hold back；too impatient to wait","成语","","中性","他们都迫不及待地想知道发生了什么事。","Tāmen dōu pòbùjídài de xiǎng zhīdao fāshēng le shénme shì.","固定搭配，整体理解，不宜逐字直译。","",""
