Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,"동시에 여러 일·이유를 나열하며 바쁘거나 벅찬 상태를 나타냄. '…이기도 하고 …이기도 하고, 게다가 …까지'."
Chapter 5,再……再……也……,조건이나 노력이 아무리 극단적이어도 결과는 바뀌지 않음을 강조. '아무리 …해도 / …해도 여전히 …'.
Chapter 5,……得不能再……了,최상급: '~할 수 없을 만큼 너무 …하다'. 한계에 달했음을 나타냄.
Chapter 5,可……可……,선택·양면 가능: '~해도 되고 ~해도 된다'. 취향이나 능력에 따라 달라짐.
Chapter 5,取决于……,결과가 특정 조건에 전적으로 달려 있음. '~에 달려 있다'.
Chapter 5,……是……了点儿，不过……,"작은 단점을 인정한 뒤 큰 장점으로 상쇄. '…하기는 좀 …하지만, 그러나 …'."
Chapter 7,……都……了，哪能跟……比呀,두 대상의 격차가 커서 비교가 불가능함을 강조하는 반문. '…인데 어찌 …와 비교하겠는가?'
Chapter 7,……了事,대충 끝내거나 형식적으로 처리해 넘김. '…하고 말다 / 흘려보내다'.
Chapter 7,……则……，……不……则……,"조건문: '~하면 …하고, 그렇지 않으면 …'. 则…不…则… 구조."
Chapter 7,不失为,완벽하진 않아도 여전히 좋은 선택·방법임. '~라고 할 만하다 / 나쁘지 않은 …'.
Chapter 7,为了……起见，……,예방·이유를 밝히며 행동. '~을 위해 / ~하기 위하여 …'.
Chapter 7,……是……，……是……,"두 가지를 명확히 구분. '…는 …이고, …는 …이다(섞지 말 것)'."
Chapter 8,……而已,문장 끝에서 중요도·규모를 축소. '그뿐이다 / 단지 …일 뿐'.
Chapter 8,……的可怜,정도가 한심할 만큼 적거나 낮음. '가엾을 만큼 …하다'.
Chapter 8,……透了,"극도로, 보통 부정적·철저한 뉘앙스. '완전히 …해 버렸다'."
Chapter 8,可想而知,상황을 보면 결과·어려움을 쉽게 짐작할 수 있음. '상상할 수 있다'.
Chapter 8,想也/都别想,비현실적 요구를 단호히 거절. '꿈도 꾸지 마 / 터도 없다'.
Chapter 8,难以……,이음절 동사 앞에서 '~하기 어렵다'를 표현.
Chapter 9,时不时地……,불규칙하게 자주. '때때로 / 가끔씩'.
Chapter 9,……得够呛 （……真够呛）,구어: 상황·감정이 견디기 힘들 정도. '지긋지긋하게 / 엄청 …하다'.
Chapter 9,……，不仅如此……,앞 내용에 더해 상위·추가 정보. '…할 뿐만 아니라 …까지'.
Chapter 9,不……则已，一……就得（要）……,"하지 않으면 아무 일 없지만, 하기 시작하면 극단적 결과. '안 하면 그만, 하면 …'."
Chapter 9,……得慌,형용사·심리동사와 결합해 '~해서 견딜 수 없다'.
Chapter 9,（饱/忍/大）受（尽）……之苦,어떤 고통·괴로움을 깊이 겪다. '…의 고통을 크게 겪다'.
