"category","Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"chengyu","October 2025/成语","一厢情愿地想","yīxiāngqíngyuàndexiǎng","wishthink","wishthink","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","一夕数惊","yīxīshùjīng","字面指 one scare after another in a single night；fig. to live in fear","lit. one scare after another in a single night；fig. to live in fear","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","一张一弛","yīzhāngyīchí","tension alternating with relaxation","tension alternating with relaxation","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","一无所有","yīwúsuǒyǒu","not having anything at all；utterly lacking；without two sticks to rub together","not having anything at all；utterly lacking；without two sticks to rub together","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","一模一样","yīmúyīyàng","exactly alike；(idiom) exactly alike；identical；also pr. [yi1mo2-yi1yang4]","exactly alike；identical；also pr","成语","","中性","她长得跟她母亲一模一样。","Tā zhǎng de gēn tā mǔqin yīmúyīyàng.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","一气之下","yīqìzhīxià","in a fit of pique；in a fury","in a fit of pique；in a fury","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","一股脑儿","yīgǔnǎor","dialect completely；lock, stock and barrel","dialect completely；lock, stock and barrel","成语","一股脑儿告诉你罢","中性","好！","Yīgǔnǎor gàosu nǐ bà.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","一见钟情","yījiànzhōngqíng","fall in love at first sight","fall in love at first sight","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","一言既出,驷马难追","yī yán jì chū sìmǎ nán zhuī","F.E. A word spoken is past recalling","F.E. A word spoken is past recalling","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","一言难尽","yīyánnánjìn","hard to explain in a few words；complicated and not easy to express succinctly","hard to explain in a few words；complicated and not easy to express succinctly","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语；November 2025/成语；December 2025/成语","一诺千金","yīnuòqiānjīn","promise worth a thousand pieces of gold—promise that can be counted on；(lit.) a promise worth a thousand pieces of gold (idiom)；(fig.) a promise that can be counted on；promise worth a thousand pieces of gold—promise that can be counted on；(lit.) a promise worth a thousand pieces of gold (idiom)；(fig.) a promise that can be counted on；promise worth a thousand pieces of gold—promise that can be counted on；(lit.) a promise worth a thousand pieces of gold (idiom)；(fig.) a promise that can be counted on","promise worth a thousand pieces of gold—promise that can be counted on；(lit.) a promise worth a thousand pieces of gold；(fig.) a promise that can be counted on；promise worth a thousand pieces of gold—promise that can be counted on；(lit.) a promise worth a thousand pieces of gold；(fig.) a promise that can be counted on；promise worth a thousand pieces of gold—promise that can be counted on；(lit.) a promise worth a thousand pieces of gold；(fig.) a promise that can be counted on","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","一蹴而就","yīcùjiù","succeed at the first try；比喻get there in one step (idiom)；easily done；success at a stroke；比喻get results overnight","succeed at the first try；to get there in one step；easily done；success at a stroke；to get results overnight","成语","","中性","只要资金到位, 这个工程会一蹴而就。","Zhǐyào zījīn dàowèi, zhège gōngchéng huì yị̄cù'érjiù.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","不劳而获","bùláohuò","比喻reap without sowing；比喻get sth without working for it；比喻sponge off others","to reap without sowing；to get sth without working for it；to sponge off others","成语","","贬义","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","不可避免","bùkěbìmiǎn","不可避免","inevitable；unavoidable","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","不同凡响","bùtóngfánxiǎng","F.E. outstanding；字面指 not a common chord (idiom)；outstanding；灿烂；out of the common run","F.E. outstanding；lit. not a common chord；outstanding；brilliant；out of the common run","成语","","褒义","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","不拘小节","bùjūxiǎojié","not be punctilious；not bother about trifles","not be punctilious；not bother about trifles","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","不胜其烦","bùshèngqífán","F.E. be pestered beyond endurance","F.E. be pestered beyond endurance","成语","","贬义","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","不落俗套","bùluòsútào","conform to no conventional pattern；比喻conform to no conventional pattern；unconventional；offbeat","conform to no conventional pattern；to conform to no conventional pattern；unconventional；offbeat","成语","不落俗套","中性","你的设计很新颖, 不落俗套。","Nǐ de shèjì hěn xīnyǐng, bụ̀luòsútào.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","与世隔绝","yǔshìgéjué","be secluded from the real world；地狱","be secluded from the real world；withdraw into one's shell 过着与世隔绝的日子 guò zhe yǔshìgéjué de rìzi live an isolated life","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
