Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,沾亲带故,có quan hệ họ hàng hoặc quen biết lâu năm,"Chúng tôi là đồng hương có quan hệ họ hàng, gặp nhau càng thấy thân thiết.",Mô tả quan hệ họ hàng hoặc quen biết lâu.
Chapter 3,妙龄,tuổi xuân đẹp nhất (thường chỉ phụ nữ),"Trong ảnh, mẹ đang ở tuổi xuân đẹp nhất, nụ cười tươi sáng.","Văn viết, thường dùng trong văn học."
Chapter 3,飘然而至,đến nhẹ nhàng; xuất hiện thanh thoát,Hơi xuân theo gió ấm đến nhẹ nhàng.,Miêu tả sự xuất hiện theo phong cách văn học.
Chapter 3,去世,qua đời; mất,"Sau khi mẹ qua đời, gia đình vẫn giữ bộ đồ xuân bà từng mặc.",Cách nói lịch sự về cái chết.
Chapter 3,心中,trong lòng; thầm kín,"Đọc bức thư ấy, trong lòng cô lại dâng lên nỗi nhớ mẹ.",Thường gặp trong văn kể chuyện.
Chapter 3,泛起,dâng lên; trào dâng (cảm xúc),"Nhắc đến quá khứ, trong mắt anh dâng lên ánh nước.",Dùng cho cảm xúc hoặc gợn sóng.
Chapter 3,追思,tưởng nhớ; hồi tưởng (người đã khuất),"Mỗi Tết Thanh minh, anh đến mộ tưởng nhớ mẹ.",Cách nhớ người đã mất trang trọng.
Chapter 3,惆怅,buồn bã; u sầu,"Đồ cũ gợi ký ức, khiến cô hơi buồn bã.",Từ miêu tả tâm trạng văn học.
Chapter 3,装束,trang phục; cách ăn mặc,"Trang phục của cô giản dị mà thanh lịch, rất hợp phong cách phụ nữ công sở.",Cũng có thể dùng như động từ trong văn viết.
Chapter 3,时髦,thời trang; hợp mốt,"Chiếc áo khoác này ngày xưa rất hợp mốt, giờ nhìn vẫn không lỗi thời.",Thường nói về quần áo.
Chapter 3,发型,kiểu tóc,"Cô đổi kiểu tóc mới, trông sống động hơn hẳn.",Thường dùng khi miêu tả ngoại hình.
Chapter 3,脐,rốn; rốn bụng,"Khi quần lưng thấp thịnh hành, áo hở rốn từng gây nhiều tranh luận.",Thuật ngữ giải phẫu hoặc thời trang.
Chapter 3,触目惊心,kinh hoàng; chấn động,Lãng phí nghiêm trọng đến thế thật kinh hoàng.,Tác động thị giác tiêu cực mạnh.
Chapter 3,征集,thu thập; kêu gọi đóng góp,"Tạp chí đang kêu gọi bài văn, anh gửi một bài về mẹ.",Thường dùng trong xuất bản.
Chapter 3,文集,tập văn; tuyển tập,Tập văn này tập hợp các bài viết của tác giả về quần áo và ký ức.,Thuật ngữ xuất bản.
Chapter 3,附录,phụ lục,Phụ lục có ảnh thuở trẻ và ghi chép số đo quần áo.,"Thuật ngữ sách vở, học thuật."
